player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
Arvell Reese,2.5,0.4276,+134,0.5724,-134,3.5718
David Bailey,3.5,0.6078,-155,0.3922,+155,3.8542
Carnell Tate,5.5,0.4144,+141,0.5856,-141,6.446267760656394
Francis Mauigoa,5.5,0.486,+106,0.514,-106,7.4272
Rueben Bain,7.5,0.5118,-105,0.48819999999999997,+105,8.395637382429458
Sonny Styles,7.5,0.5228,-110,0.47719999999999996,+110,9.188114754098361
Jeremiyah Love,5.5,0.4856,+106,0.5144,-106,9.254512635379061
Mansoor Delane,9.5,0.5582,-126,0.44179999999999997,+126,10.28539778449144
Caleb Downs,9.5,0.4106,+144,0.5893999999999999,-144,10.798572884811417
Makai Lemon,11.5,0.5704,-133,0.4296,+133,11.580592773041007
Jermod McCoy,11.5,0.3708,+170,0.6292,-170,12.872716074727983
Jordyn Tyson,13.5,0.5876,-142,0.4124,+142,13.453673469387756
Spencer Fano,12.5,0.4432,+126,0.5568,-126,14.13933236574746
Monroe Freeling,13.5,0.548,-121,0.45199999999999996,+121,14.669720949604331
Olaivavega Ioane,14.5,0.4746,+111,0.5254,-111,16.552694222029864
Kenyon Sadiq,18.5,0.4804,+108,0.5196000000000001,-108,17.47826086956522
Dillon Thieneman,18.5,0.6164,-161,0.38360000000000005,+161,17.496908632928783
Keldric Faulk,16.5,0.4898,+104,0.5102,-104,17.900253057781526
Drew Allar,21.5,0.0014,+71329,0.9986,-71329,18.25
Kadyn Proctor,18.5,0.5054,-102,0.49460000000000004,+102,18.910434590778735
Akheem Mesidor,19.5,0.5408,-118,0.45920000000000005,+118,19.094227504244483
Omar Cooper Jr.,20.5,0.4866,+106,0.5134000000000001,-106,19.55434069538596
Garrett Nussmeier,30.5,0.0022,+45355,0.9978,-45355,20.333333333333332
Emmanuel McNeil-Warren,22.5,0.515,-106,0.485,+106,21.24709020368574
Blake Miller,23.5,0.5584,-126,0.4416,+126,22.04468450773386
Caleb Lomu,23.5,0.5062,-103,0.4938,+103,22.585826771653544
Kevin Concepcion,23.5,0.4492,+123,0.5508,-123,23.04027149321267
Peter Woods,25.5,0.5738,-135,0.4262,+135,24.120702091849
Ty Simpson,31.5,0.1156,+765,0.8844,-765,24.49684542586751
Avieon Terrell,28.5,0.5174,-107,0.48260000000000003,+107,24.504004271222637
T.J. Parker,26.5,0.4594,+118,0.5406,-118,26.11153759313615
Denzel Boston,26.5,0.4458,+124,0.5542,-124,26.172017249640632
Kayden McDonald,28.5,0.5708,-133,0.4292,+133,26.342776998597476
Cashius Howell,29.5,0.4654,+115,0.5346,-115,28.349298500241897
Max Iheanachor,31.5,0.383,+161,0.617,-161,28.704901960784312
Caleb Banks,31.5,0.171,+485,0.829,-485,28.78998911860718
Emmanuel Pregnon,31.5,0.078,+1182,0.922,-1182,29.051124744376278
C.J. Allen,31.5,0.1428,+600,0.8572,-600,29.21257142857143
Jacob Rodriguez,31.5,0.008,+12400,0.992,-12400,29.630434782608695
Zion Young,31.5,0.3568,+180,0.6432,-180,29.897687181497453
Colton Hood,31.5,0.3376,+196,0.6624,-196,29.91623246492986
Chase Bisontis,31.5,0.0854,+1071,0.9146,-1071,29.928469241773964
Jadarian Price,31.5,0.01,+9900,0.99,-9900,30.23170731707317
Malachi Lawrence,31.5,0.0472,+2019,0.9528,-2019,30.55599214145383
Chris Johnson,31.5,0.1006,+894,0.8994,-894,30.667272727272728
Brandon Cisse,31.5,0.0358,+2693,0.9642,-2693,30.76144578313253
Christen Miller,31.5,0.0106,+9334,0.9894,-9334,30.892307692307693
R Mason Thomas,31.5,0.025,+3900,0.975,-3900,31.016216216216215
Anthony Hill Jr.,31.5,0.0036,+27678,0.9964,-27678,31.181818181818183
