team,position,count,probability,moneyline
ARI,OT,1873,0.3746,+167
ARI,LB,1482,0.2964,+237
ARI,EDGE,1454,0.2908,+244
ARI,RB,110,0.022,+4445
ARI,WR,38,0.0076,+13058
ARI,CB,31,0.0062,+16029
ARI,S,12,0.0024,+41567
BAL,WR,1989,0.3978,+151
BAL,IOL,1549,0.3098,+223
BAL,TE,562,0.1124,+790
BAL,EDGE,312,0.0624,+1503
BAL,OT,255,0.051,+1861
BAL,RB,107,0.0214,+4573
BAL,S,95,0.019,+5163
BAL,CB,77,0.0154,+6394
BAL,LB,53,0.0106,+9334
BAL,QB,1,0.0002,+499900
BUF,EDGE,2002,0.4004,+150
BUF,WR,1572,0.3144,+218
BUF,DT,644,0.1288,+676
BUF,IOL,202,0.0404,+2375
BUF,S,170,0.034,+2841
BUF,OT,152,0.0304,+3189
BUF,CB,118,0.0236,+4137
BUF,LB,81,0.0162,+6073
BUF,RB,30,0.006,+16567
BUF,TE,18,0.0036,+27678
BUF,QB,11,0.0022,+45355
CAR,EDGE,1639,0.3278,+205
CAR,WR,1209,0.2418,+314
CAR,OT,858,0.1716,+483
CAR,TE,498,0.0996,+904
CAR,DT,341,0.0682,+1366
CAR,S,164,0.0328,+2949
CAR,CB,159,0.0318,+3045
CAR,RB,102,0.0204,+4802
CAR,LB,20,0.004,+24900
CAR,IOL,8,0.0016,+62400
CAR,QB,2,0.0004,+249900
CHI,DT,3122,0.6244,-166
CHI,S,667,0.1334,+650
CHI,CB,403,0.0806,+1141
CHI,OT,290,0.058,+1624
CHI,WR,199,0.0398,+2413
CHI,EDGE,175,0.035,+2757
CHI,RB,58,0.0116,+8521
CHI,LB,31,0.0062,+16029
CHI,TE,20,0.004,+24900
CHI,QB,19,0.0038,+26216
CHI,IOL,16,0.0032,+31150
CIN,S,2347,0.4694,+113
CIN,LB,997,0.1994,+402
CIN,OT,523,0.1046,+856
CIN,IOL,319,0.0638,+1467
CIN,CB,302,0.0604,+1556
CIN,WR,277,0.0554,+1705
CIN,RB,102,0.0204,+4802
CIN,EDGE,90,0.018,+5456
CIN,TE,42,0.0084,+11805
CIN,QB,1,0.0002,+499900
CLE,OT,4129,0.8258,-474
CLE,WR,3912,0.7824,-360
CLE,EDGE,459,0.0918,+989
CLE,CB,286,0.0572,+1648
CLE,LB,263,0.0526,+1801
CLE,IOL,252,0.0504,+1884
CLE,S,200,0.04,+2400
CLE,DT,185,0.037,+2603
CLE,RB,141,0.0282,+3446
CLE,QB,135,0.027,+3604
CLE,TE,38,0.0076,+13058
DAL,CB,3412,0.6824,-215
DAL,EDGE,1914,0.3828,+161
DAL,S,1269,0.2538,+294
DAL,OT,1112,0.2224,+350
DAL,LB,783,0.1566,+539
DAL,DT,565,0.113,+785
DAL,WR,538,0.1076,+829
DAL,RB,205,0.041,+2339
DAL,TE,112,0.0224,+4364
DAL,IOL,88,0.0176,+5582
DAL,QB,2,0.0004,+249900
DET,OT,4011,0.8022,-406
DET,EDGE,275,0.055,+1718
DET,DT,194,0.0388,+2477
DET,S,162,0.0324,+2986
DET,WR,105,0.021,+4662
DET,RB,74,0.0148,+6657
DET,TE,74,0.0148,+6657
DET,IOL,44,0.0088,+11264
DET,LB,34,0.0068,+14606
DET,CB,27,0.0054,+18419
HOU,OT,1969,0.3938,+154
HOU,DT,1754,0.3508,+185
HOU,IOL,282,0.0564,+1673
HOU,CB,273,0.0546,+1732
HOU,EDGE,265,0.053,+1787
HOU,RB,159,0.0318,+3045
HOU,WR,141,0.0282,+3446
HOU,LB,64,0.0128,+7712
HOU,S,40,0.008,+12400
HOU,QB,34,0.0068,+14606
HOU,TE,19,0.0038,+26216
KC,EDGE,3061,0.6122,-158
KC,CB,2781,0.5562,-125
KC,OT,1865,0.373,+168
KC,WR,1012,0.2024,+394
KC,S,850,0.17,+488
KC,LB,149,0.0298,+3256
KC,DT,115,0.023,+4248
KC,IOL,50,0.01,+9900
KC,RB,50,0.01,+9900
KC,TE,40,0.008,+12400
KC,QB,27,0.0054,+18419
LAC,EDGE,1689,0.3378,+196
LAC,WR,1374,0.2748,+264
LAC,DT,754,0.1508,+563
LAC,S,615,0.123,+713
LAC,OT,250,0.05,+1900
LAC,IOL,162,0.0324,+2986
LAC,CB,73,0.0146,+6749
LAC,RB,40,0.008,+12400
LAC,TE,22,0.0044,+22627
LAC,LB,19,0.0038,+26216
LAC,QB,2,0.0004,+249900
LAR,WR,2409,0.4818,+108
LAR,OT,1955,0.391,+156
LAR,LB,193,0.0386,+2491
LAR,EDGE,106,0.0212,+4617
LAR,RB,82,0.0164,+5998
LAR,S,73,0.0146,+6749
LAR,TE,66,0.0132,+7476
LAR,IOL,61,0.0122,+8097
LAR,CB,54,0.0108,+9159
LAR,QB,1,0.0002,+499900
LV,QB,5000,1.0,-inf
MIA,CB,2902,0.5804,-138
MIA,WR,2562,0.5124,-105
MIA,EDGE,1717,0.3434,+191
MIA,IOL,1172,0.2344,+327
MIA,OT,429,0.0858,+1066
MIA,S,429,0.0858,+1066
MIA,TE,364,0.0728,+1274
MIA,LB,185,0.037,+2603
MIA,DT,145,0.029,+3348
MIA,RB,70,0.014,+7043
MIA,QB,25,0.005,+19900
MIN,S,3471,0.6942,-227
MIN,RB,389,0.0778,+1185
MIN,CB,320,0.064,+1462
MIN,OT,213,0.0426,+2247
MIN,DT,212,0.0424,+2258
MIN,EDGE,155,0.031,+3126
MIN,WR,122,0.0244,+3998
MIN,TE,82,0.0164,+5998
MIN,LB,20,0.004,+24900
MIN,IOL,16,0.0032,+31150
NE,EDGE,1980,0.396,+153
NE,OT,978,0.1956,+411
NE,DT,863,0.1726,+479
NE,WR,424,0.0848,+1079
NE,LB,260,0.052,+1823
NE,CB,180,0.036,+2678
NE,TE,179,0.0358,+2693
NE,QB,46,0.0092,+10770
NE,IOL,44,0.0088,+11264
NE,S,26,0.0052,+19131
NE,RB,20,0.004,+24900
NO,CB,2039,0.4078,+145
NO,WR,1297,0.2594,+286
NO,EDGE,1155,0.231,+333
NO,OT,178,0.0356,+2709
NO,LB,143,0.0286,+3397
NO,S,88,0.0176,+5582
NO,RB,76,0.0152,+6479
NO,IOL,19,0.0038,+26216
NO,TE,5,0.001,+99900
NYG,WR,1348,0.2696,+271
NYG,LB,1183,0.2366,+323
NYG,OT,972,0.1944,+414
NYG,S,727,0.1454,+588
NYG,RB,657,0.1314,+661
NYG,EDGE,68,0.0136,+7253
NYG,CB,45,0.009,+11011
NYJ,EDGE,3444,0.6888,-221
NYJ,LB,2737,0.5474,-121
NYJ,WR,1876,0.3752,+167
NYJ,IOL,495,0.099,+910
NYJ,OT,426,0.0852,+1074
NYJ,CB,338,0.0676,+1379
NYJ,S,229,0.0458,+2083
NYJ,RB,162,0.0324,+2986
NYJ,QB,155,0.031,+3126
NYJ,TE,134,0.0268,+3631
NYJ,DT,4,0.0008,+124900
PHI,OT,2286,0.4572,+119
PHI,WR,1439,0.2878,+247
PHI,EDGE,687,0.1374,+628
PHI,S,349,0.0698,+1333
PHI,TE,79,0.0158,+6229
PHI,DT,55,0.011,+8991
PHI,CB,49,0.0098,+10104
PHI,LB,29,0.0058,+17141
PHI,RB,19,0.0038,+26216
PHI,IOL,5,0.001,+99900
PHI,QB,3,0.0006,+166567
PIT,OT,2801,0.5602,-127
PIT,WR,1043,0.2086,+379
PIT,CB,539,0.1078,+828
PIT,RB,221,0.0442,+2162
PIT,EDGE,131,0.0262,+3717
PIT,QB,96,0.0192,+5108
PIT,S,60,0.012,+8233
PIT,IOL,43,0.0086,+11528
PIT,DT,41,0.0082,+12095
PIT,LB,13,0.0026,+38362
PIT,TE,12,0.0024,+41567
SEA,CB,2165,0.433,+131
SEA,EDGE,1832,0.3664,+173
SEA,IOL,427,0.0854,+1071
SEA,LB,145,0.029,+3348
SEA,OT,134,0.0268,+3631
SEA,DT,109,0.0218,+4487
SEA,RB,77,0.0154,+6394
SEA,QB,37,0.0074,+13414
SEA,S,29,0.0058,+17141
SEA,WR,26,0.0052,+19131
SEA,TE,19,0.0038,+26216
SF,OT,1386,0.2772,+261
SF,WR,1313,0.2626,+281
SF,EDGE,1270,0.254,+294
SF,CB,365,0.073,+1270
SF,IOL,221,0.0442,+2162
SF,S,180,0.036,+2678
SF,DT,134,0.0268,+3631
SF,LB,63,0.0126,+7837
SF,RB,37,0.0074,+13414
SF,TE,21,0.0042,+23710
SF,QB,10,0.002,+49900
TB,EDGE,2561,0.5122,-105
TB,TE,1116,0.2232,+348
TB,CB,481,0.0962,+940
TB,IOL,365,0.073,+1270
TB,OT,191,0.0382,+2518
TB,WR,96,0.0192,+5108
TB,RB,77,0.0154,+6394
TB,S,73,0.0146,+6749
TB,LB,40,0.008,+12400
TEN,RB,1751,0.3502,+186
TEN,EDGE,1627,0.3254,+207
TEN,WR,765,0.153,+554
TEN,LB,687,0.1374,+628
TEN,OT,112,0.0224,+4364
TEN,S,39,0.0078,+12721
TEN,CB,19,0.0038,+26216
WAS,EDGE,1812,0.3624,+176
WAS,WR,1184,0.2368,+322
WAS,LB,917,0.1834,+445
WAS,S,572,0.1144,+774
WAS,RB,206,0.0412,+2327
WAS,CB,173,0.0346,+2790
WAS,OT,126,0.0252,+3868
WAS,IOL,5,0.001,+99900
WAS,TE,5,0.001,+99900
