position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5404,-118,0.4596,+118,6.376
OT,5.5,0.283,+253,0.7170000000000001,-253,5.8948
WR,5.5,0.3136,+219,0.6864,-219,5.654
CB,3.5,0.4778,+109,0.5222,-109,3.5222
S,2.5,0.3822,+162,0.6178,-162,2.589271417133707
LB,2.5,0.855,-590,0.14500000000000002,+590,2.1182
DT,1.5,0.248,+303,0.752,-303,1.8759138911454103
IOL,1.5,0.7142,-250,0.28580000000000005,+250,1.247332479726846
QB,1.5,0.879,-726,0.121,+726,1.1214
RB,1.5,0.9772,-4286,0.022800000000000042,+4286,1.013726281792491
TE,1.5,0.7054,-239,0.2946,+239,1.0
