position,avg_taken_round1,min,max
EDGE,6.376,3,9
OT,5.8948,3,7
WR,5.654,2,6
CB,3.5222,1,6
S,2.589271417133707,1,3
LB,2.1182,1,4
DT,1.8759138911454103,1,4
IOL,1.247332479726846,1,3
QB,1.1214,1,3
RB,1.013726281792491,1,2
TE,1.0,1,1
