player,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_pick
David Bailey,2.5,0.3798,+163,0.6202,-163,3.7848
Arvell Reese,2.5,0.45,+122,0.55,-122,3.896
Carnell Tate,5.5,0.4384,+128,0.5616,-128,6.2466986794717885
Francis Mauigoa,5.5,0.5062,-103,0.4938,+103,7.617770662397438
Rueben Bain,7.5,0.5508,-123,0.44920000000000004,+123,8.224068882659191
Sonny Styles,7.5,0.5324,-114,0.4676,+114,9.213944801826106
Jeremiyah Love,5.5,0.5122,-105,0.4878,+105,10.370004037141703
Mansoor Delane,8.5,0.4096,+144,0.5904,-144,10.413236481033092
Caleb Downs,9.5,0.426,+135,0.5740000000000001,-135,10.591002044989775
Makai Lemon,10.5,0.4238,+136,0.5762,-136,11.095652173913043
Jermod McCoy,11.5,0.3924,+155,0.6075999999999999,-155,12.35791624106231
Jordyn Tyson,12.5,0.3948,+153,0.6052,-153,12.886099203919168
Monroe Freeling,13.5,0.58,-138,0.42000000000000004,+138,14.79178947368421
Spencer Fano,16.5,0.5004,-100,0.49960000000000004,+100,15.736842105263158
Olaivavega Ioane,14.5,0.5382,-117,0.4618,+117,16.03704510786664
Dillon Thieneman,18.5,0.6588,-193,0.34119999999999995,+193,17.32083922677982
Kenyon Sadiq,18.5,0.477,+110,0.523,-110,17.448539835554296
Keldric Faulk,16.5,0.546,-120,0.45399999999999996,+120,17.56062858356339
Akheem Mesidor,18.5,0.4296,+133,0.5704,-133,18.667090754877016
Garrett Nussmeier,21.5,0.0026,+38362,0.9974,-38362,18.714285714285715
Drew Allar,21.5,0.001,+99900,0.999,-99900,19.0
Kadyn Proctor,17.5,0.5188,-108,0.48119999999999996,+108,19.045712986126905
Omar Cooper Jr.,19.5,0.4934,+103,0.5065999999999999,-103,19.126183659986786
Emmanuel McNeil-Warren,21.5,0.4634,+116,0.5366,-116,20.621188222923237
Blake Miller,22.5,0.4348,+130,0.5651999999999999,-130,21.805028346068525
Caleb Lomu,23.5,0.5406,-118,0.45940000000000003,+118,22.247264260768336
Kevin Concepcion,23.5,0.4834,+107,0.5166,-107,22.822832052689353
Ty Simpson,31.5,0.11,+809,0.89,-809,23.170357751277685
Avieon Terrell,27.5,0.4968,+101,0.5032,-101,23.651135358301385
Peter Woods,24.5,0.3442,+191,0.6557999999999999,-191,23.72785534447242
T.J. Parker,26.5,0.4944,+102,0.5056,-102,25.79340909090909
Denzel Boston,26.5,0.4834,+107,0.5166,-107,26.03647276084949
Kayden McDonald,27.5,0.475,+111,0.525,-111,26.091334894613585
Cashius Howell,29.5,0.516,-107,0.484,+107,28.317374690941783
Max Iheanachor,31.5,0.4282,+134,0.5718,-134,28.678635547576302
Caleb Banks,31.5,0.1864,+436,0.8136,-436,28.79093717816684
Emmanuel Pregnon,31.5,0.0826,+1111,0.9174,-1111,29.112204724409448
C.J. Allen,31.5,0.1196,+736,0.8804,-736,29.473684210526315
Chase Bisontis,31.5,0.093,+975,0.907,-975,29.93850267379679
Zion Young,31.5,0.4168,+140,0.5831999999999999,-140,29.953872633390706
Colton Hood,31.5,0.3718,+169,0.6282,-169,29.99708879184862
Jacob Rodriguez,31.5,0.0056,+17757,0.9944,-17757,30.029411764705884
Jadarian Price,31.5,0.0078,+12721,0.9922,-12721,30.279411764705884
Malachi Lawrence,31.5,0.0518,+1831,0.9482,-1831,30.553345388788426
Brandon Cisse,31.5,0.0334,+2894,0.9666,-2894,30.81188118811881
Christen Miller,31.5,0.009,+11011,0.991,-11011,30.865384615384617
Chris Johnson,31.5,0.0932,+973,0.9068,-973,30.978635990139686
R Mason Thomas,31.5,0.0208,+4708,0.9792,-4708,31.051948051948052
Anthony Hill Jr.,31.5,0.0028,+35614,0.9972,-35614,31.125
