pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,11,7,5,4
3,11,8,7,4
4,12,8,7,6
5,13,11,9,6
6,17,12,11,5
7,17,12,11,8
8,18,14,9,6
9,19,14,12,7
10,21,15,13,5
11,24,17,11,5
12,25,19,11,5
13,26,16,8,6
14,27,17,9,5
15,27,11,7,5
16,31,21,15,6
17,29,15,9,6
18,30,16,7,3
19,31,19,12,5
20,30,21,14,6
21,38,16,11,8
22,36,18,12,8
23,36,18,13,8
24,40,19,14,6
25,39,13,9,4
26,41,20,10,6
27,41,21,15,6
28,41,19,13,5
29,44,20,8,6
30,45,23,13,6
31,44,24,11,7
32,45,18,10,7
