position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5928,-146,0.4072,+146,6.2896
OT,5.5,0.2544,+293,0.7456,-293,5.9466
WR,5.5,0.3674,+172,0.6326,-172,5.5888
CB,3.5,0.4754,+110,0.5246,-110,3.5242
S,2.5,0.3026,+230,0.6974,-230,2.6822
LB,2.5,0.8496,-565,0.15039999999999998,+565,2.1324
DT,1.5,0.3118,+221,0.6881999999999999,-221,1.7853061224489797
IOL,1.5,0.722,-260,0.278,+260,1.2384713919726729
QB,1.5,0.8762,-708,0.12380000000000002,+708,1.1238
RB,1.5,0.9766,-4174,0.023399999999999976,+4174,1.016911616670022
TE,1.5,0.7924,-382,0.2076,+382,1.0
