position,avg_taken_round1,min,max
EDGE,6.2896,3,9
OT,5.9466,3,7
WR,5.5888,3,6
CB,3.5242,1,6
S,2.6822,1,3
LB,2.1324,1,4
DT,1.7853061224489797,1,4
IOL,1.2384713919726729,1,3
QB,1.1238,1,2
RB,1.016911616670022,1,2
TE,1.0,1,1
