pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,4,4,2
3,11,7,6,3
4,12,7,6,6
5,12,9,7,6
6,17,11,9,5
7,17,11,11,6
8,18,11,7,5
9,19,12,9,6
10,21,13,11,5
11,23,12,10,5
12,23,16,11,4
13,25,8,7,4
14,26,11,6,5
15,25,6,6,6
16,30,18,13,6
17,26,13,6,5
18,29,12,5,3
19,29,17,8,4
20,30,18,11,5
21,35,14,9,8
22,35,16,12,8
23,32,15,11,8
24,38,15,8,6
25,37,10,5,4
26,39,15,8,6
27,40,18,11,7
28,40,15,11,4
29,39,12,8,6
30,42,18,10,7
31,43,19,9,6
32,44,14,9,5
