player,position,avg_pick
Fernando Mendoza,QB,1.0
David Bailey,EDGE,3.188
Arvell Reese,LB,3.3062
Carnell Tate,WR,5.825
Francis Mauigoa,OT,6.747
Sonny Styles,LB,8.590210355987056
Jeremiyah Love,RB,8.932838813151564
Mansoor Delane,CB,9.293234587670137
Caleb Downs,S,9.651536453103033
Rueben Bain,EDGE,9.713141025641026
Makai Lemon,WR,12.154139871382636
Jordyn Tyson,WR,12.518913480885312
Jermod McCoy,CB,13.530700847632831
Spencer Fano,OT,14.511737089201878
Olaivavega Ioane,IOL,15.400082321465321
Drew Allar,QB,16.0
Monroe Freeling,OT,16.479034567396194
Keldric Faulk,EDGE,17.370987403494514
Dillon Thieneman,S,17.47739447182344
Kenyon Sadiq,TE,17.854850129808828
Kadyn Proctor,OT,18.953108645593467
Garrett Nussmeier,QB,19.333333333333332
Omar Cooper Jr.,WR,19.607579208945953
Akheem Mesidor,EDGE,19.831954169318905
Cole Payton,QB,21.0
Emmanuel McNeil-Warren,S,21.59820485744456
Blake Miller,OT,22.86046511627907
Caleb Lomu,OT,23.13620962276937
Kevin Concepcion,WR,23.807326686760955
Ty Simpson,QB,23.94550408719346
Peter Woods,DT,24.919757759273278
Avieon Terrell,CB,25.40139275766017
Denzel Boston,WR,26.39803554724041
Kayden McDonald,DT,26.562982689747002
T.J. Parker,EDGE,26.690255969025596
Max Iheanachor,OT,28.869339622641508
Caleb Banks,DT,28.93062200956938
Cashius Howell,EDGE,29.122499382563596
C.J. Allen,LB,29.49014084507042
Emmanuel Pregnon,IOL,29.529411764705884
Jadarian Price,RB,29.576923076923077
Colton Hood,CB,30.308275862068964
Chase Bisontis,IOL,30.32134831460674
Zion Young,EDGE,30.35530821917808
Jacob Rodriguez,LB,30.52
Malachi Lawrence,EDGE,30.72608695652174
Christen Miller,DT,30.848484848484848
Chris Johnson,CB,31.069993913572734
R Mason Thomas,EDGE,31.1010101010101
Brandon Cisse,CB,31.180555555555557
Anthony Hill Jr.,LB,31.333333333333332
Lee Hunter,DT,32.0
