pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
1,Fernando Mendoza,1.0,0.0,1.0,1.0,v1,2026-04-22T08:36:52,,
18,Dillon Thieneman,0.4948,0.0,0.4948,0.4948,v1,2026-04-22T08:36:52,,
12,Jermod McCoy,0.4512,0.0,0.4512,0.4512,v1,2026-04-22T08:36:52,,
2,David Bailey,0.4486,0.0,0.4486,0.4486,v1,2026-04-22T08:36:52,,
17,Kadyn Proctor,0.4396,0.0,0.4396,0.4396,v1,2026-04-22T08:36:52,,
14,Olaivavega Ioane,0.3528,0.0,0.3528,0.3528,v1,2026-04-22T08:36:52,,
15,Keldric Faulk,0.3372,0.0,0.3372,0.3372,v1,2026-04-22T08:36:52,,
25,Peter Woods,0.3276,0.0,0.3276,0.3276,v1,2026-04-22T08:36:52,,
8,Mansoor Delane,0.4292,0.113217111596065,0.315982888403935,0.315982888403935,v1,2026-04-22T08:36:52,DraftKings,2026-04-15 15:51:34
19,Kenyon Sadiq,0.2956,0.0,0.2956,0.2956,v1,2026-04-22T08:36:52,,
2,Arvell Reese,0.4392,0.7343734660187259,-0.2951734660187259,0.2951734660187259,v1,2026-04-22T08:36:52,DraftKings,2026-04-15 15:51:34
7,Rueben Bain,0.2842,0.0,0.2842,0.2842,v1,2026-04-22T08:36:52,,
25,Kayden McDonald,0.2672,0.0,0.2672,0.2672,v1,2026-04-22T08:36:52,,
13,Jordyn Tyson,0.2632,0.0,0.2632,0.2632,v1,2026-04-22T08:36:52,,
15,Kenyon Sadiq,0.2534,0.0,0.2534,0.2534,v1,2026-04-22T08:36:52,,
10,Caleb Downs,0.4074,0.1589006626170234,0.24849933738297658,0.24849933738297658,v1,2026-04-22T08:36:52,DraftKings,2026-04-15 15:51:34
18,Emmanuel McNeil-Warren,0.2284,0.0,0.2284,0.2284,v1,2026-04-22T08:36:52,,
30,Colton Hood,0.2272,0.0,0.2272,0.2272,v1,2026-04-22T08:36:52,,
11,Makai Lemon,0.2234,0.0,0.2234,0.2234,v1,2026-04-22T08:36:52,,
24,Caleb Lomu,0.2146,0.0,0.2146,0.2146,v1,2026-04-22T08:36:52,,
3,Francis Mauigoa,0.34,0.1263856274360412,0.21361437256395882,0.21361437256395882,v1,2026-04-22T08:36:52,DraftKings,2026-04-15 15:51:34
28,Kayden McDonald,0.212,0.0,0.212,0.212,v1,2026-04-22T08:36:52,,
31,Cashius Howell,0.2118,0.0,0.2118,0.2118,v1,2026-04-22T08:36:52,,
32,Chris Johnson,0.207,0.0,0.207,0.207,v1,2026-04-22T08:36:52,,
13,Spencer Fano,0.2056,0.0,0.2056,0.2056,v1,2026-04-22T08:36:52,,
32,Colton Hood,0.2012,0.0,0.2012,0.2012,v1,2026-04-22T08:36:52,,
26,Denzel Boston,0.2006,0.0,0.2006,0.2006,v1,2026-04-22T08:36:52,,
26,T.J. Parker,0.1978,0.0,0.1978,0.1978,v1,2026-04-22T08:36:52,,
8,Rueben Bain,0.1974,0.0,0.1974,0.1974,v1,2026-04-22T08:36:52,,
24,Kevin Concepcion,0.1956,0.0,0.1956,0.1956,v1,2026-04-22T08:36:52,,
25,Emmanuel McNeil-Warren,0.1944,0.0,0.1944,0.1944,v1,2026-04-22T08:36:52,,
11,Jordyn Tyson,0.1918,0.0,0.1918,0.1918,v1,2026-04-22T08:36:52,,
29,Avieon Terrell,0.1906,0.0,0.1906,0.1906,v1,2026-04-22T08:36:52,,
5,Carnell Tate,0.2416,0.0569254192482456,0.1846745807517544,0.1846745807517544,v1,2026-04-22T08:36:52,DraftKings,2026-04-15 15:51:34
28,Max Iheanachor,0.1846,0.0,0.1846,0.1846,v1,2026-04-22T08:36:52,,
13,Makai Lemon,0.182,0.0,0.182,0.182,v1,2026-04-22T08:36:52,,
28,Peter Woods,0.1808,0.0,0.1808,0.1808,v1,2026-04-22T08:36:52,,
