juice_bucket,rows,avg_price,over_hit_rate,implied_probability,calibration_gap
coin_flip,2312,-109.97664359861592,0.504757785467128,0.523749978845299,-0.01899219337817093
moderate_favorite,9,-123.11111111111111,0.5555555555555556,0.5517068792930861,0.0038486762624694304
plus_money,12,101.5,0.6666666666666666,0.49631948488966543,0.1703471817770012
