position,spread_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,dog_0_to_3,1.0,0.0,1.0,0.0,2.12,1.68,-1.0,0.6799999999999999
FB,favorite_0_to_3,3.0,0.6666666666666666,0.3333333333333333,0.0,1.9333333333333333,2.143333333333333,0.013333333333333345,-0.5233333333333333
FB,favorite_3_to_7,2.0,0.5,0.5,0.0,2.33,1.595,0.25,-0.16000000000000003
FB,favorite_7_plus,1.0,1.0,0.0,0.0,1.89,1.89,0.8899999999999999,-1.0
HB,dog_0_to_3,255.0,0.5294117647058824,0.47058823529411764,0.0,1.9361176470588237,1.9004313725490196,-0.0050980392156862704,-0.13694117647058823
HB,dog_3_to_7,257.0,0.490272373540856,0.5097276264591439,0.0,1.9601556420233464,1.8666926070038912,-0.05536964980544748,-0.060466926070038916
HB,dog_7_plus,137.0,0.5401459854014599,0.45985401459854014,0.0,1.9366423357664233,1.9044525547445257,0.025766423357664214,-0.13861313868613134
HB,favorite_0_to_3,252.0,0.4880952380952381,0.5119047619047619,0.0,1.9252380952380954,1.9138095238095238,-0.08253968253968255,-0.04257936507936505
HB,favorite_3_to_7,248.0,0.5241935483870968,0.47580645161290325,0.0,1.9249193548387096,1.914516129032258,-0.005725806451612907,-0.10048387096774193
HB,favorite_7_plus,130.0,0.49230769230769234,0.5076923076923077,0.0,1.945076923076923,1.8865384615384615,-0.0563846153846154,-0.053307692307692306
HB,missing,5.0,0.6,0.4,0.0,1.98,1.8539999999999999,0.19599999999999995,-0.264
TE,dog_0_to_3,277.0,0.48736462093862815,0.5126353790613718,0.0,1.9405054151624548,1.8937184115523464,-0.07805054151624548,-0.05350180505415162
TE,dog_3_to_7,294.0,0.5102040816326531,0.4897959183673469,0.0,1.936360544217687,1.8910884353741497,-0.017448979591836732,-0.08146258503401359
TE,dog_7_plus,158.0,0.5253164556962026,0.47468354430379744,0.0,1.9649367088607597,1.8611392405063287,0.00702531645569621,-0.13740506329113922
TE,favorite_0_to_3,286.0,0.479020979020979,0.5209790209790209,0.0,1.945244755244755,1.8813636363636361,-0.0841958041958042,-0.035419580419580425
TE,favorite_3_to_7,272.0,0.5698529411764706,0.43014705882352944,0.0,1.9726470588235292,1.860514705882353,0.105625,-0.21566176470588233
TE,favorite_7_plus,152.0,0.4407894736842105,0.5592105263157895,0.0,1.9370394736842105,1.894671052631579,-0.15842105263157896,0.04723684210526317
TE,missing,6.0,0.5,0.5,0.0,1.9783333333333333,1.8150000000000002,0.040000000000000036,-0.05000000000000001
WR,dog_0_to_3,693.0,0.4357864357864358,0.5642135642135642,0.0,1.9535353535353535,1.8702597402597405,-0.17317460317460318,0.03344877344877345
WR,dog_3_to_7,690.0,0.47246376811594204,0.527536231884058,0.0,1.9449855072463769,1.8778260869565222,-0.09621739130434781,-0.02365217391304348
WR,dog_7_plus,361.0,0.4792243767313019,0.5207756232686981,0.0,1.936398891966759,1.8878393351800553,-0.09368421052631577,-0.037756232686980605
WR,favorite_0_to_3,718.0,0.4596100278551532,0.5403899721448467,0.0,1.9445821727019499,1.8823398328690808,-0.12674094707520892,-0.0023676880222841265
WR,favorite_3_to_7,691.0,0.49782923299565845,0.5021707670043415,0.0,1.9282489146164978,1.8972793053545587,-0.0567149059334298,-0.06302460202604918
WR,favorite_7_plus,349.0,0.45272206303724927,0.5472779369627507,0.0,1.9387679083094553,1.8928939828080233,-0.1340974212034384,0.02329512893982808
WR,missing,12.0,0.3333333333333333,0.6666666666666666,0.0,1.8683333333333334,1.9491666666666667,-0.43166666666666664,0.24250000000000002
