position,spread_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,dog_0_to_3,67.0,0.43283582089552236,0.5671641791044776,0.0,-110.22388059701493,-109.77611940298507,-0.17485694059347529,0.08341409833947153
QB,dog_3_to_7,79.0,0.569620253164557,0.43037974683544306,0.0,-109.75949367088607,-110.31645569620254,0.08843652235628209,-0.17964643119722729
QB,dog_7_plus,27.0,0.4444444444444444,0.5555555555555556,0.0,-78.33333333333333,-112.4074074074074,-0.14284110950777615,0.050670640834575315
QB,favorite_0_to_3,69.0,0.5507246376811594,0.4492753623188406,0.0,-100.56521739130434,-108.07246376811594,0.05374890692718952,-0.14661708092416056
QB,favorite_3_to_7,79.0,0.4936708860759494,0.5063291139240507,0.0,-99.31645569620254,-108.20253164556962,-0.05847153499110875,-0.03918169343085283
QB,favorite_7_plus,23.0,0.391304347826087,0.6086956521739131,0.0,-102.73913043478261,-91.52173913043478,-0.25685219983152985,0.1689721043848991
RB,dog_0_to_3,144.0,0.5138888888888888,0.4861111111111111,0.0,-110.0,-110.0,-0.0189393939393939,-0.07196969696969692
RB,dog_3_to_7,169.0,0.5029585798816568,0.4970414201183432,0.0,-110.0,-110.0,-0.039806347498655144,-0.05110274341043567
RB,dog_7_plus,56.0,0.44642857142857145,0.5535714285714286,0.0,-110.07142857142857,-109.92857142857143,-0.14772727272727273,0.05743077677039946
RB,favorite_0_to_3,139.0,0.5251798561151079,0.4748201438848921,0.0,-109.96402877697842,-110.03597122302158,0.002927528107384272,-0.09352517985611505
RB,favorite_3_to_7,164.0,0.4695121951219512,0.5304878048780488,0.0,-110.0,-110.0,-0.10363558322200948,0.012772399039631316
RB,favorite_7_plus,53.0,0.32075471698113206,0.6792452830188679,0.0,-110.0,-110.0,-0.3876500857632933,0.2967409948542025
TE,dog_3_to_7,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,favorite_0_to_3,3.0,0.6666666666666666,0.3333333333333333,0.0,-110.0,-110.0,0.27272727272727276,-0.3636363636363636
TE,favorite_3_to_7,3.0,0.6666666666666666,0.3333333333333333,0.0,-110.0,-110.0,0.27272727272727276,-0.3636363636363636
WR,dog_0_to_3,4.0,0.75,0.25,0.0,-112.0,-108.5,0.4164098613251156,-0.5227272727272727
WR,dog_3_to_7,9.0,0.2222222222222222,0.7777777777777778,0.0,-84.88888888888889,-113.55555555555556,-0.5757575757575757,0.4620856451842368
WR,dog_7_plus,1.0,0.0,1.0,0.0,-114.0,-106.0,-1.0,0.9433962264150944
WR,favorite_0_to_3,1.0,1.0,0.0,0.0,102.0,-124.0,1.02,-1.0
WR,favorite_3_to_7,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
