juice_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
coin_flip,1076.0,0.48977695167286245,0.5102230483271375,0.0,-109.99814126394052,-110.01115241635688,-0.06498745648921794,-0.026009114993527382
moderate_favorite,4.0,0.75,0.25,0.0,-124.5,102.0,0.36475409836065575,-0.48
plus_money,14.0,0.35714285714285715,0.6428571428571429,0.0,104.57142857142857,-127.71428571428571,-0.2742857142857143,0.1450506316588053
