line_bucket,rows,avg_line,over_hit_rate,avg_actual_minus_line,std_actual_minus_line
<20,336,12.360119047619047,0.5148809523809523,4.895833333333333,16.531864678590978
20-40,286,28.611888111888113,0.4370629370629371,2.006993006993007,25.702855736892918
40-60,245,50.210204081632654,0.4816326530612245,4.275510204081633,30.63325185322935
60-80,188,67.47340425531915,0.5053191489361702,2.356382978723404,36.0942854988255
80+,39,86.14102564102564,0.6153846153846154,9.08974358974359,44.35723281004016
