projection_error_sigma,total_sigma,decimal_odds,breakeven_prob,projection_minus_line,p_over,edge_prob,ev_per_1_unit,ev_percent
0,68.488252,1.83,0.5464480874316939,0,0.5,-0.04644808743169393,-0.08499999999999996,-8.499999999999996
0,68.488252,1.83,0.5464480874316939,1,0.5058247669357622,-0.04062332049593176,-0.07434067650755521,-7.434067650755521
0,68.488252,1.83,0.5464480874316939,2,0.5116482922409993,-0.03479979519069465,-0.0636836251989713,-6.368362519897131
0,68.488252,1.83,0.5464480874316939,3,0.5174693350791425,-0.02897875235255143,-0.0530311168051692,-5.30311168051692
0,68.488252,1.83,0.5464480874316939,4,0.5232866562006897,-0.023161431231004226,-0.0423854191527378,-4.23854191527378
0,68.488252,1.83,0.5464480874316939,5,0.5290990187346243,-0.017349068697069647,-0.031748795715637546,-3.1748795715637543
0,68.488252,1.83,0.5464480874316939,6,0.5349051889773018,-0.011542898454392159,-0.021123504171537744,-2.1123504171537744
0,68.488252,1.83,0.5464480874316939,7,0.5407039371779638,-0.005744150253730096,-0.010511794964326138,-1.0511794964326138
0,68.488252,1.83,0.5464480874316939,8,0.5464940383200472,4.5950888353241126e-05,8.409012568638685e-05,0.008409012568638685
0,68.488252,1.83,0.5464480874316939,9,0.5522742728974601,0.005826185465766187,0.01066191940235206,1.066191940235206
0,68.488252,1.83,0.5464480874316939,10,0.5580434276850068,0.01159534025331288,0.0212194726635625,2.12194726635625
0,68.488252,1.83,0.5464480874316939,11,0.5638002965021484,0.017352209070454427,0.03175454259893151,3.175454259893151
0,68.488252,1.83,0.5464480874316939,12,0.5695436809692986,0.02309559353760471,0.04226493617381655,4.226493617381655
0,68.488252,1.83,0.5464480874316939,13,0.5752723912558668,0.028824303824172892,0.052748475998236344,5.274847599823635
0,68.488252,1.83,0.5464480874316939,14,0.5809852468192658,0.03453715938757185,0.06320300167925641,6.320300167925641
0,68.488252,1.83,0.5464480874316939,15,0.5866810771341253,0.04023298970243139,0.0736263711554494,7.36263711554494
0,68.488252,1.83,0.5464480874316939,16,0.5923587224109577,0.04591063497926373,0.08401646201205254,8.401646201205255
0,68.488252,1.83,0.5464480874316939,17,0.5980170343035403,0.05156894687184632,0.09437117277547868,9.437117277547868
0,68.488252,1.83,0.5464480874316939,18,0.603654876604302,0.05720678917260802,0.10468842418587265,10.468842418587265
0,68.488252,1.83,0.5464480874316939,19,0.6092711259270067,0.06282303849531279,0.11496616044642238,11.496616044642238
0,68.488252,1.83,0.5464480874316939,20,0.614864672376058,0.06841658494436409,0.12520235044818617,12.520235044818618
0,68.488252,1.83,0.5464480874316939,21,0.6204344202017582,0.07398633277006428,0.13539498896921753,13.539498896921753
0,68.488252,1.83,0.5464480874316939,22,0.6259792884408845,0.07953120100919053,0.1455420978468186,14.55420978468186
0,68.488252,1.83,0.5464480874316939,23,0.6314982115419572,0.08505012411026325,0.1556417271217817,15.56417271217817
0,68.488252,1.83,0.5464480874316939,24,0.6369901399746066,0.0905420525429127,0.16569195615353016,16.569195615353017
0,68.488252,1.83,0.5464480874316939,25,0.6424540408224595,0.09600595339076556,0.1756908947051009,17.56908947051009
