player,player_norm,player_id,season,week,team,opponent,game_id,market_key,line,over_price,under_price,projection,projection_minus_line,edge,recommended_side,recommended_prob,recommended_ev_percent,recommendation
D'Andre Swift,dandre swift,19210,2024,13,CHI,Detroit Lions,818a0f592da4fc2dea2a8caa3170bd6f,player_rush_yds,46.5,-110.0,-110,62.66,16.159999999999997,16.159999999999997,over,0.6531,24.682727272727277,over
Alexander Mattison,alexander mattison,18621,2024,1,FA,,a2f9dcdf49ccacf33036a0b795413a6e,player_rush_yds,15.5,-110.0,-110,25.47,9.969999999999999,9.969999999999999,over,0.6516,24.39636363636364,over
Trey Sermon,trey sermon,19425,2024,6,FA,,bdc58f80a5a9b4515ee631fddc63a2c8,player_rush_yds,49.5,-110.0,-110,64.88,15.379999999999995,15.379999999999995,over,0.6505,24.186363636363637,over
De'Von Achane,devon achane,23136,2024,5,MIA,New England Patriots,5cb3b58ed90ecfac2acac9115e08c017,player_rush_yds,47.5,-110.0,-110,63.59,16.090000000000003,16.090000000000003,over,0.64955,24.005,over
D'Andre Swift,dandre swift,19210,2024,6,CHI,Jacksonville Jaguars,c1bcc8bbec33008ae587584b1b3de2d0,player_rush_yds,50.5,-110.0,-110,66.15,15.650000000000006,15.650000000000006,over,0.6478,23.67090909090911,over
Tony Pollard,tony pollard,18705,2024,10,TEN,Los Angeles Chargers,6214d50d3a5b442078f670ff8e08945e,player_rush_yds,55.5,-110.0,-110,71.0,15.5,15.5,over,0.6476,23.632727272727273,over
Devin Singletary,devin singletary,18280,2024,12,NYG,Tampa Bay Buccaneers,28c6ab7cb99a26666b9c7d649bbd46f3,player_rush_yds,19.5,-110.0,-110,28.89,9.39,9.39,over,0.6473,23.575454545454544,over
Austin Ekeler,austin ekeler,16483,2024,2,FA,,495d9f2c316b05ef092099ef9401a180,player_rush_yds,17.5,-110.0,-110,26.84,9.34,9.34,over,0.6472,23.556363636363642,over
J.K. Dobbins,jk dobbins,19245,2024,10,DEN,,6214d50d3a5b442078f670ff8e08945e,player_rush_yds,57.5,-110.0,-110,73.01,15.510000000000005,15.510000000000005,over,0.64615,23.3559090909091,over
Braelon Allen,braelon allen,24346,2024,7,NYJ,Pittsburgh Steelers,6103604599da91e8a44ce683292242ec,player_rush_yds,18.5,-110.0,-110,27.87,9.370000000000001,9.370000000000001,over,0.6449,23.11727272727274,over
Jaleel McLaughlin,jaleel mclaughlin,25876,2024,7,DEN,New Orleans Saints,cc1d6e0125f5444f70609ce9e0829fa9,player_rush_yds,18.5,-110.0,-110,27.84,9.34,9.34,over,0.6445,23.04090909090909,over
James Conner,james conner,16447,2024,13,ARI,,2be5371e838993958fd7eb2eda6fc412,player_rush_yds,46.5,-110.0,-110,62.08,15.579999999999998,15.579999999999998,over,0.64235,22.630454545454548,over
Blake Corum,blake corum,23013,2024,1,LAR,Detroit Lions,fa20351fa9ca26c47f93abc8a9b2c941,player_rush_yds,21.5,-110.0,-110,33.49,11.990000000000002,11.990000000000002,over,0.64045,22.267727272727267,over
Austin Ekeler,austin ekeler,16483,2024,3,FA,,8e047915fdc9b7dc77d2276e740f55d2,player_rush_yds,18.5,-110.0,-110,27.06,8.559999999999999,8.559999999999999,over,0.6395,22.086363636363636,over
Tony Pollard,tony pollard,18705,2024,4,TEN,Miami Dolphins,a207d1faa78a276de49cdebb7ef4fc0e,player_rush_yds,50.5,-110.0,-110,64.85,14.349999999999994,14.349999999999994,over,0.6392,22.02909090909091,over
Chuba Hubbard,chuba hubbard,19792,2024,14,CAR,Philadelphia Eagles,757ca79be58cadb6fece7718e6e260a2,player_rush_yds,47.5,-110.0,-110,61.59,14.090000000000003,14.090000000000003,over,0.63755,21.7140909090909,over
Gus Edwards,gus edwards,17687,2024,4,FA,,b839e959b4e28cdd96341dbcf99d4a42,player_rush_yds,22.5,-110.0,-110,33.74,11.240000000000002,11.240000000000002,over,0.63665,21.54227272727274,over
