position,line_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,<20,6.0,0.5,0.5,0.0,-109.16666666666667,-110.83333333333333,-0.03823953823953822,-0.045454545454545414
RB,<20,432.0,0.5092592592592593,0.49074074074074076,0.0,-105.69907407407408,-107.93518518518519,-0.026483653250513214,-0.0634294820944856
RB,20-30,101.0,0.48514851485148514,0.5148514851485149,0.0,-110.0,-110.0,-0.07380738073807377,-0.01710171017101706
RB,30-40,24.0,0.4583333333333333,0.5416666666666666,0.0,-110.0,-110.0,-0.12499999999999996,0.03409090909090914
RB,40-50,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,<20,149.0,0.4966442953020134,0.5033557046979866,0.0,-109.8993288590604,-110.1006711409396,-0.051835626682431434,-0.039844019417990775
TE,20-30,155.0,0.5419354838709678,0.45806451612903226,0.0,-110.13548387096775,-107.30967741935484,0.03469440444585875,-0.12442607098723953
TE,30-40,83.0,0.5903614457831325,0.40963855421686746,0.0,-110.0,-110.0,0.12705366922234398,-0.2179627601314348
TE,40-50,77.0,0.4025974025974026,0.5974025974025974,0.0,-109.9090909090909,-110.0909090909091,-0.23140495867768587,0.1397717189642656
TE,50-60,28.0,0.5714285714285714,0.42857142857142855,0.0,-110.0,-110.0,0.09090909090909095,-0.1818181818181818
TE,60-75,20.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,<20,194.0,0.4896907216494845,0.5103092783505154,0.0,-107.83505154639175,-110.12371134020619,-0.06487103215027908,-0.02643785809094312
WR,20-30,224.0,0.5401785714285714,0.45982142857142855,0.0,-109.95535714285714,-110.04464285714286,0.03125000000000004,-0.1225119988706945
WR,30-40,222.0,0.481981981981982,0.5180180180180181,0.0,-109.08558558558559,-109.13063063063063,-0.0800603669456128,-0.011459298344544202
WR,40-50,197.0,0.5076142131979695,0.49238578680203043,0.0,-110.0,-110.0,-0.03091832025842174,-0.05999077065066909
WR,50-60,175.0,0.5142857142857142,0.4857142857142857,0.0,-110.02285714285715,-109.97714285714285,-0.018181818181818136,-0.07253124234256307
WR,60-75,185.0,0.4756756756756757,0.5243243243243243,0.0,-110.09189189189189,-108.83783783783784,-0.09189189189189186,0.001708201708201765
WR,75+,59.0,0.5254237288135594,0.4745762711864407,0.0,-110.03389830508475,-109.96610169491525,0.0030816640986132938,-0.093705415739314
