position,line_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,<=2.5,7.0,0.5714285714285714,0.42857142857142855,0.0,2.067142857142857,1.8842857142857141,0.06142857142857142,-0.3157142857142857
HB,<=2.5,276.0,0.605072463768116,0.39492753623188404,0.0,1.8052173913043479,2.0481884057971014,0.08583333333333333,-0.19865942028985506
HB,3.5,643.0,0.5038880248833593,0.49611197511664074,0.0,1.959113530326594,1.8767029548989111,-0.03780715396578537,-0.0883670295489891
HB,4.5,242.0,0.47107438016528924,0.5289256198347108,0.0,2.0029752066115702,1.823719008264463,-0.060991735537190096,-0.03884297520661156
HB,5.5,95.0,0.42105263157894735,0.5789473684210527,0.0,1.9778947368421056,1.8324210526315785,-0.17842105263157898,0.04831578947368423
HB,6.5,26.0,0.3076923076923077,0.6923076923076923,0.0,2.051923076923077,1.766923076923077,-0.40038461538461534,0.19653846153846155
HB,7+,2.0,1.0,0.0,0.0,2.085,1.7400000000000002,1.085,-1.0
TE,<=2.5,182.0,0.510989010989011,0.489010989010989,0.0,1.898131868131868,1.9498901098901098,-0.0514835164835165,-0.06269230769230767
TE,3.5,455.0,0.5560439560439561,0.44395604395604393,0.0,1.9244615384615384,1.9121318681318682,0.05226373626373627,-0.16745054945054944
TE,4.5,442.0,0.5090497737556561,0.49095022624434387,0.0,1.9687782805429865,1.8593891402714933,-0.003348416289592761,-0.09429864253393663
TE,5.5,229.0,0.4279475982532751,0.5720524017467249,0.0,1.986593886462882,1.8324890829694325,-0.1719650655021834,0.02646288209606987
TE,6.5,89.0,0.42696629213483145,0.5730337078651685,0.0,1.9857303370786512,1.8226966292134827,-0.16415730337078652,0.03595505617977527
TE,7+,48.0,0.4791666666666667,0.5208333333333334,0.0,1.9483333333333333,1.8541666666666667,-0.07854166666666666,-0.049375
WR,<=2.5,404.0,0.5198019801980198,0.4801980198019802,0.0,1.8720544554455445,1.9809158415841583,-0.051188118811881185,-0.07247524752475246
WR,3.5,835.0,0.4598802395209581,0.5401197604790419,0.0,1.9678443113772457,1.8747305389221558,-0.1185508982035928,-0.007700598802395197
WR,4.5,828.0,0.4577294685990338,0.5422705314009661,0.0,1.9534178743961352,1.8689975845410627,-0.12557971014492755,-0.005048309178743959
WR,5.5,776.0,0.46262886597938147,0.5373711340206185,0.0,1.9286855670103091,1.8823840206185567,-0.12056701030927837,-0.001159793814432988
WR,6.5,410.0,0.4560975609756098,0.5439024390243903,0.0,1.9559512195121953,1.8555853658536585,-0.11934146341463413,-0.0014878048780487792
WR,7+,261.0,0.4521072796934866,0.5478927203065134,0.0,1.9427969348659004,1.8586590038314177,-0.1388888888888889,0.0016091954022988504
