position,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,False,high_total_47_plus,1.0,0.0,1.0,0.0,2.12,1.68,-1.0,0.6799999999999999
FB,True,low_total_<42,1.0,1.0,0.0,0.0,1.52,2.5,0.52,-1.0
FB,True,mid_total_42_47,3.0,0.6666666666666666,0.3333333333333333,0.0,1.8566666666666667,2.0233333333333334,0.13666666666666663,-0.44
FB,True,high_total_47_plus,2.0,0.5,0.5,0.0,2.63,1.47,0.25,-0.28500000000000003
HB,False,low_total_<42,194.0,0.5051546391752577,0.4948453608247423,0.0,1.9430927835051548,1.891701030927835,-0.0427835051546392,-0.08577319587628865
HB,False,mid_total_42_47,288.0,0.5173611111111112,0.4826388888888889,0.0,1.9495833333333334,1.8843750000000001,-0.012361111111111107,-0.10972222222222222
HB,False,high_total_47_plus,172.0,0.5290697674418605,0.47093023255813954,0.0,1.943313953488372,1.888604651162791,0.0048837209302325674,-0.13098837209302328
HB,True,low_total_<42,201.0,0.5074626865671642,0.4925373134328358,0.0,1.914577114427861,1.9199502487562188,-0.05139303482587064,-0.07940298507462686
HB,True,mid_total_42_47,275.0,0.5127272727272727,0.48727272727272725,0.0,1.9360363636363636,1.9066545454545456,-0.02239999999999999,-0.08301818181818182
HB,True,high_total_47_plus,154.0,0.4805194805194805,0.5194805194805194,0.0,1.9361038961038959,1.8966883116883115,-0.08480519480519481,-0.024610389610389617
TE,False,low_total_<42,232.0,0.5646551724137931,0.4353448275862069,0.0,1.9651724137931037,1.8689224137931035,0.08969827586206898,-0.20637931034482757
TE,False,mid_total_42_47,318.0,0.46855345911949686,0.5314465408805031,0.0,1.9283647798742138,1.8990566037735845,-0.10930817610062893,-0.004622641509433942
TE,False,high_total_47_plus,185.0,0.4918918918918919,0.5081081081081081,0.0,1.945945945945946,1.8810810810810812,-0.06189189189189189,-0.06178378378378378
TE,True,low_total_<42,218.0,0.536697247706422,0.463302752293578,0.0,1.9642660550458715,1.868348623853211,0.042568807339449545,-0.14183486238532111
TE,True,mid_total_42_47,326.0,0.5030674846625767,0.49693251533742333,0.0,1.9572085889570552,1.871042944785276,-0.028220858895705518,-0.08260736196319016
TE,True,high_total_47_plus,166.0,0.46987951807228917,0.5301204819277109,0.0,1.9341566265060242,1.8967469879518073,-0.1175301204819277,-0.022650602409638558
WR,False,low_total_<42,522.0,0.4904214559386973,0.5095785440613027,0.0,1.9615134099616856,1.859214559386973,-0.05442528735632183,-0.06862068965517241
WR,False,mid_total_42_47,803.0,0.46450809464508097,0.5354919053549191,0.0,1.9355292652552927,1.8871855541718556,-0.11851805728518057,-0.0053175591531755845
WR,False,high_total_47_plus,431.0,0.40835266821345706,0.5916473317865429,0.0,1.9470069605568445,1.881136890951276,-0.2362412993039443,0.08406032482598609
WR,True,low_total_<42,514.0,0.49221789883268485,0.5077821011673151,0.0,1.9426653696498055,1.8851750972762646,-0.05760700389105058,-0.056984435797665385
WR,True,mid_total_42_47,801.0,0.46941323345817726,0.5305867665418227,0.0,1.9397128589263422,1.8858801498127342,-0.11038701622971286,-0.018863920099875142
WR,True,high_total_47_plus,443.0,0.4582392776523702,0.5417607223476298,0.0,1.9255530474040632,1.9042663656884875,-0.1330925507900677,0.016433408577878124
