bucket,rows,avg_fp_projection,avg_market_line,avg_actual,median_actual,mean_actual_minus_fp,median_actual_minus_fp,std_actual_minus_fp,mean_line_minus_fp,mean_actual_minus_line,actual_over_rate,fp_above_line_rate,mae_vs_fp,rmse_vs_fp
OVERALL,393,232.38167938931298,224.38295165394402,225.40458015267177,221.0,-6.977099236641221,-9.900000000000006,74.03635472628257,-7.9987277353689565,1.0216284987277353,0.48091603053435117,0.7862595419847328,59.05801526717558,74.27054731502443
<175,1,160.2,144.5,202.0,202.0,41.80000000000001,41.80000000000001,,-15.699999999999989,57.5,1.0,1.0,41.80000000000001,41.80000000000001
175-200,31,189.4322580645161,178.5,189.4516129032258,189.0,0.019354838709679988,-10.199999999999989,63.5765859382988,-10.932258064516127,10.951612903225806,0.5483870967741935,0.8709677419354839,53.787096774193536,62.54275440874233
200-225,117,213.5034188034188,203.35470085470087,201.03418803418805,204.0,-12.46923076923077,-9.699999999999989,71.47809100254916,-10.14871794871795,-2.3205128205128207,0.47863247863247865,0.811965811965812,57.35299145299145,72.25601385671327
225-250,143,238.23076923076923,231.87762237762237,233.45454545454547,231.0,-4.776223776223776,-7.599999999999994,78.28635766790607,-6.3531468531468525,1.5769230769230769,0.48951048951048953,0.7552447552447552,59.52027972027973,78.15822216701
250-275,97,259.1061855670103,252.11855670103094,254.69072164948454,244.0,-4.415463917525774,-18.0,73.30681860652268,-6.987628865979383,2.5721649484536084,0.4536082474226804,0.7731958762886598,60.73092783505155,73.0615155300408
275-300,4,278.3,274.5,224.75,192.5,-53.55,-85.14999999999998,101.94281076499051,-3.799999999999997,-49.75,0.25,0.75,96.99999999999999,103.25625889019996
