line_bucket,rows,avg_line,over_hit_rate,avg_actual_minus_line,std_actual_minus_line
<180,85,168.5235294117647,0.6,19.888235294117646,81.15990889795854
180-220,516,203.55251937984497,0.5038759689922481,-1.912984496124031,70.33464534587385
220-260,709,237.87940761636108,0.5105782792665726,2.3801128349788434,73.14375993935744
260-300,124,270.08870967741933,0.4032258064516129,-12.491935483870968,72.63501540503802
300+,1,301.5,0.0,-29.5,
