position,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,low_total_<42,1.0,1.0,0.0,0.0,1.52,2.5,0.52,-1.0
FB,mid_total_42_47,3.0,0.6666666666666666,0.3333333333333333,0.0,1.8566666666666667,2.0233333333333334,0.13666666666666663,-0.44
FB,high_total_47_plus,3.0,0.3333333333333333,0.6666666666666666,0.0,2.46,1.54,-0.16666666666666666,0.036666666666666625
HB,low_total_<42,395.0,0.5063291139240507,0.4936708860759494,0.0,1.9285822784810125,1.9060759493670885,-0.04716455696202534,-0.08253164556962025
HB,mid_total_42_47,563.0,0.5150976909413855,0.4849023090586146,0.0,1.9429662522202484,1.8952575488454706,-0.017264653641207817,-0.09667850799289522
HB,high_total_47_plus,326.0,0.5061349693251533,0.4938650306748466,0.0,1.9399079754601225,1.8924233128834358,-0.03748466257668711,-0.08073619631901838
TE,low_total_<42,450.0,0.5511111111111111,0.4488888888888889,0.0,1.9647333333333332,1.8686444444444443,0.06686666666666667,-0.1751111111111111
TE,mid_total_42_47,644.0,0.4860248447204969,0.5139751552795031,0.0,1.9429658385093167,1.8848757763975157,-0.06826086956521737,-0.04409937888198756
TE,high_total_47_plus,351.0,0.48148148148148145,0.5185185185185185,0.0,1.94037037037037,1.8884900284900281,-0.08820512820512819,-0.04327635327635328
WR,low_total_<42,1036.0,0.49131274131274133,0.5086872586872587,0.0,1.9521621621621623,1.8720945945945948,-0.05600386100386098,-0.06284749034749033
WR,mid_total_42_47,1604.0,0.4669576059850374,0.5330423940149626,0.0,1.9376184538653367,1.8865336658354115,-0.11445760598503739,-0.012082294264339146
WR,high_total_47_plus,874.0,0.43363844393592677,0.5663615560640732,0.0,1.9361327231121281,1.8928604118993138,-0.1839588100686499,0.04978260869565219
