position,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,6.0,0.5,0.5,0.0,-109.16666666666667,-110.83333333333333,-0.03823953823953822,-0.045454545454545414
RB,559.0,0.5026833631484794,0.49731663685152055,0.0,-106.67620751341681,-108.40429338103756,-0.039331650714984345,-0.05080775718214269
TE,512.0,0.515625,0.484375,0.0,-109.998046875,-109.228515625,-0.015590311177612901,-0.07529548169328787
WR,1256.0,0.5031847133757962,0.4968152866242038,0.0,-109.51433121019109,-109.69745222929936,-0.039370454450628374,-0.05162368462571648
