position,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,False,mid_total_42_47,3.0,0.6666666666666666,0.3333333333333333,0.0,-108.33333333333333,-111.66666666666667,0.28715728715728717,-0.3636363636363636
FB,False,high_total_47_plus,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
RB,False,low_total_<42,77.0,0.4805194805194805,0.5194805194805194,0.0,-107.42857142857143,-104.93506493506493,-0.08161399201707621,-0.0074993705710814425
RB,False,mid_total_42_47,130.0,0.49230769230769234,0.5076923076923077,0.0,-108.31538461538462,-110.17692307692307,-0.058770910249171075,-0.030740274218535067
RB,False,high_total_47_plus,76.0,0.6447368421052632,0.35526315789473684,0.0,-110.13157894736842,-107.34210526315789,0.22965678486273458,-0.32258129916470685
RB,True,low_total_<42,82.0,0.4878048780487805,0.5121951219512195,0.0,-97.08536585365853,-110.91463414634147,-0.06461238110644078,-0.02471309339691016
RB,True,mid_total_42_47,128.0,0.4609375,0.5390625,0.0,-108.4296875,-110.0390625,-0.11994755373416942,0.029021900879917226
RB,True,high_total_47_plus,66.0,0.48484848484848486,0.5151515151515151,0.0,-107.10606060606061,-103.89393939393939,-0.07370167504295666,-0.01515151515151511
TE,False,low_total_<42,70.0,0.5285714285714286,0.4714285714285714,0.0,-110.0,-110.0,0.009090909090909134,-0.09999999999999996
TE,False,mid_total_42_47,130.0,0.5307692307692308,0.46923076923076923,0.0,-110.06923076923077,-106.88461538461539,0.01326487719930349,-0.10380054727880812
TE,False,high_total_47_plus,60.0,0.4666666666666667,0.5333333333333333,0.0,-110.0,-110.0,-0.10909090909090906,0.018181818181818226
TE,True,low_total_<42,72.0,0.5277777777777778,0.4722222222222222,0.0,-109.95833333333333,-110.04166666666667,0.007809577254021748,-0.09855735368450706
TE,True,mid_total_42_47,119.0,0.5126050420168067,0.48739495798319327,0.0,-109.95798319327731,-110.04201680672269,-0.02102659245516384,-0.06948708337089772
TE,True,high_total_47_plus,61.0,0.5081967213114754,0.4918032786885246,0.0,-109.9672131147541,-110.0327868852459,-0.030454221473465912,-0.062016921068952395
WR,False,low_total_<42,165.0,0.5212121212121212,0.47878787878787876,0.0,-108.8,-108.8,-0.004958677685950371,-0.0859413810233482
WR,False,mid_total_42_47,302.0,0.46688741721854304,0.5331125827814569,0.0,-109.28807947019868,-110.05629139072848,-0.10865701147877936,0.017345881607893514
WR,False,high_total_47_plus,159.0,0.5031446540880503,0.4968553459119497,0.0,-110.0377358490566,-109.9622641509434,-0.03945111492281298,-0.051136338664521844
WR,True,low_total_<42,173.0,0.5895953757225434,0.41040462427745666,0.0,-110.0,-110.0,0.12559117183394647,-0.21650026274303721
WR,True,mid_total_42_47,292.0,0.5,0.5,0.0,-109.26369863013699,-110.0582191780822,-0.04514321295143209,-0.04558990741242077
WR,True,high_total_47_plus,165.0,0.4666666666666667,0.5333333333333333,0.0,-110.07272727272728,-108.72727272727273,-0.10963284107844462,0.018181818181818216
