bucket,rows,avg_ffa_projection,avg_market_line,avg_actual,median_actual,mean_actual_minus_ffa,median_actual_minus_ffa,std_actual_minus_ffa,mean_line_minus_ffa,mean_actual_minus_line,actual_over_rate,ffa_above_line_rate,mae_vs_ffa,rmse_vs_ffa
OVERALL,455,15.914637362637365,222.9879120879121,225.26813186813186,221.0,209.3534945054945,205.6,75.9195642505897,207.07327472527473,2.28021978021978,0.4857142857142857,0.0,209.42646153846155,222.66566472806534
<175,455,15.914637362637363,222.9879120879121,225.26813186813186,221.0,209.3534945054945,205.6,75.91956425058977,207.07327472527473,2.28021978021978,0.4857142857142857,0.0,209.42646153846155,222.66566472806534
