decimal_odds,breakeven_prob,projection_minus_line,p_over,edge_prob,ev_per_1_unit,ev_percent
1.75,0.5714285714285714,0,0.5,-0.0714285714285714,-0.125,-12.5
1.75,0.5714285714285714,1,0.5058247669357622,-0.06560380449280923,-0.11480665786241617,-11.480665786241618
1.75,0.5714285714285714,2,0.5116482922409993,-0.059780279187572116,-0.10461548857825126,-10.461548857825125
1.75,0.5714285714285714,3,0.5174693350791425,-0.053959236349428896,-0.0944286636115006,-9.44286636115006
1.75,0.5714285714285714,4,0.5232866562006897,-0.04814191522788169,-0.08424835164879302,-8.424835164879301
1.75,0.5714285714285714,5,0.5290990187346243,-0.042329552693947115,-0.0740767172144075,-7.40767172144075
1.75,0.5714285714285714,6,0.5349051889773018,-0.036523382451269626,-0.0639159192897219,-6.39159192897219
1.75,0.5714285714285714,7,0.5407039371779638,-0.030724634250607563,-0.05376810993856329,-5.3768109938563295
1.75,0.5714285714285714,8,0.5464940383200472,-0.024934533108524226,-0.04363543293991745,-4.363543293991745
1.75,0.5714285714285714,9,0.5522742728974601,-0.01915429853111128,-0.033520022429444796,-3.3520022429444793
1.75,0.5714285714285714,10,0.5580434276850068,-0.013385143743564587,-0.023424001551238083,-2.3424001551238085
1.75,0.5714285714285714,11,0.5638002965021484,-0.00762827492642304,-0.013349481121240347,-1.3349481121240347
1.75,0.5714285714285714,12,0.5695436809692986,-0.0018848904592727589,-0.0032985583037273836,-0.32985583037273836
1.75,0.5714285714285714,13,0.5752723912558668,0.003843819827295425,0.006726684697766938,0.6726684697766938
1.75,0.5714285714285714,14,0.5809852468192658,0.00955667539069438,0.01672418193371511,1.672418193371511
1.75,0.5714285714285714,15,0.5866810771341253,0.01525250570555392,0.026691884984719305,2.6691884984719305
1.75,0.5714285714285714,16,0.5923587224109577,0.020930150982386264,0.03662776421917591,3.6627764219175907
1.75,0.5714285714285714,17,0.5980170343035403,0.026588462874968855,0.04652981003119544,4.652981003119544
1.75,0.5714285714285714,18,0.603654876604302,0.03222630517573055,0.05639603405752841,5.639603405752841
1.75,0.5714285714285714,19,0.6092711259270067,0.03784255449843532,0.06622447037226176,6.622447037226175
1.75,0.5714285714285714,20,0.614864672376058,0.04343610094748662,0.07601317665810153,7.601317665810154
1.75,0.5714285714285714,21,0.6204344202017582,0.04900584877318681,0.08576023535307686,8.576023535307687
1.75,0.5714285714285714,22,0.6259792884408845,0.054550717012313066,0.09546375477154778,9.546375477154779
1.75,0.5714285714285714,23,0.6314982115419572,0.06006964011338578,0.10512187019842506,10.512187019842505
1.75,0.5714285714285714,24,0.6369901399746066,0.06556156854603523,0.11473274495556163,11.473274495556163
1.75,0.5714285714285714,25,0.6424540408224595,0.0710254693938881,0.12429457143930411,12.429457143930412
1.75,0.5714285714285714,26,0.6478888983589953,0.07646032693042393,0.13380557212824185,13.380557212824185
1.75,0.5714285714285714,27,0.6532937146058462,0.08186514317727478,0.1432640005602308,14.32640005602308
1.75,0.5714285714285714,28,0.6586675098730354,0.08723893844446395,0.1526681422778119,15.26681422778119
1.75,0.5714285714285714,29,0.6640093232806821,0.09258075185211068,0.16201631574119363,16.201631574119364
1.75,0.5714285714285714,30,0.6693182132617195,0.09788964183314808,0.17130687320800908,17.13068732080091
1.75,0.5714285714285714,31,0.6745932580452039,0.10316468661663247,0.18053820157910683,18.053820157910682
