position,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,False,low_total_<42,48.0,0.5,0.5,0.0,-109.89583333333333,-110.10416666666667,-0.04455266955266951,-0.045454545454545414
QB,False,mid_total_42_47,88.0,0.4431818181818182,0.5568181818181818,0.0,-102.81818181818181,-110.45454545454545,-0.15409128900620825,0.059519005908236805
QB,False,high_total_47_plus,37.0,0.6216216216216216,0.3783783783783784,0.0,-104.0,-110.8108108108108,0.1922411313715662,-0.2781370408489052
QB,True,low_total_<42,49.0,0.5102040816326531,0.4897959183673469,0.0,-106.36734693877551,-101.63265306122449,-0.02933536903019204,-0.06485112201985099
QB,True,mid_total_42_47,79.0,0.46835443037974683,0.5316455696202531,0.0,-101.87341772151899,-108.17721518987342,-0.10600779070017678,0.010098316327594774
QB,True,high_total_47_plus,43.0,0.5581395348837209,0.4418604651162791,0.0,-90.4186046511628,-106.6046511627907,0.06962491314759714,-0.1615264180199783
RB,False,low_total_<42,105.0,0.5142857142857142,0.4857142857142857,0.0,-110.0,-110.0,-0.01818181818181814,-0.07272727272727267
RB,False,mid_total_42_47,176.0,0.5,0.5,0.0,-110.02272727272727,-109.97727272727273,-0.04545454545454542,-0.04525962887883981
RB,False,high_total_47_plus,88.0,0.4772727272727273,0.5227272727272727,0.0,-110.0,-110.0,-0.08884297520661154,-0.002066115702479297
RB,True,low_total_<42,101.0,0.46534653465346537,0.5346534653465347,0.0,-109.95049504950495,-110.04950495049505,-0.11118254682611109,0.020702070207020744
RB,True,mid_total_42_47,168.0,0.44642857142857145,0.5535714285714286,0.0,-110.0297619047619,-109.9702380952381,-0.1477048658725677,0.057075860647289256
RB,True,high_total_47_plus,87.0,0.5172413793103449,0.4827586206896552,0.0,-109.94252873563218,-110.05747126436782,-0.012539184952978014,-0.07882422425151057
TE,False,low_total_<42,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,False,mid_total_42_47,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,True,low_total_<42,2.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,True,mid_total_42_47,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,True,high_total_47_plus,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,False,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,False,mid_total_42_47,7.0,0.5714285714285714,0.42857142857142855,0.0,-111.71428571428571,-108.57142857142857,0.0821043363416245,-0.17691742220044102
WR,False,high_total_47_plus,6.0,0.16666666666666666,0.8333333333333334,0.0,-72.33333333333333,-115.33333333333333,-0.6818181818181818,0.5567648314127188
WR,True,mid_total_42_47,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,True,high_total_47_plus,2.0,1.0,0.0,0.0,-4.0,-117.0,0.9645454545454546,-1.0
