line_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
<20,781.0,0.5019206145966709,0.4980793854033291,0.0,-107.05761843790013,-108.91421254801537,-0.04094604871510289,-0.04960303060239262
20-30,480.0,0.5291666666666667,0.4708333333333333,0.0,-110.02291666666666,-109.15208333333334,0.01025643173867222,-0.1009500030777717
30-40,329.0,0.5075987841945289,0.49240121580547114,0.0,-109.38297872340425,-109.41337386018238,-0.03108798454854557,-0.06023310487907623
40-50,276.0,0.4782608695652174,0.5217391304347826,0.0,-109.97463768115942,-110.02536231884058,-0.08695652173913039,-0.004154596191458151
50-60,203.0,0.5221674876847291,0.47783251231527096,0.0,-110.01970443349754,-109.98029556650246,-0.003134796238244472,-0.08760530295988977
60-75,205.0,0.47804878048780486,0.5219512195121951,0.0,-110.08292682926829,-108.95121951219512,-0.0873614190687361,-0.0028930419174321063
75+,59.0,0.5254237288135594,0.4745762711864407,0.0,-110.03389830508475,-109.96610169491525,0.0030816640986132938,-0.093705415739314
