line_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
<20,336.0,0.5148809523809523,0.4851190476190476,0.0,-101.11904761904762,-108.94047619047619,-0.01571374644275651,-0.07750234406650562
20-40,286.0,0.4370629370629371,0.5629370629370629,0.0,-110.0909090909091,-109.22377622377623,-0.16574532187180405,0.075277360420175
40-60,245.0,0.4816326530612245,0.5183673469387755,0.0,-110.0204081632653,-109.9795918367347,-0.08068080987335643,-0.010389610389610344
60-80,188.0,0.5053191489361702,0.4946808510638298,0.0,-110.02659574468085,-109.97340425531915,-0.03551004961735763,-0.055609284332688545
80+,39.0,0.6153846153846154,0.38461538461538464,0.0,-110.0,-110.0,0.17482517482517487,-0.26573426573426573
