player,market_line,over_odds,under_odds,fantasypros,pff,fantasy_points,etr,your_model,weighted_projection,projection_minus_line,projection_disagreement,consensus,total_sigma,p_over,p_under,over_ev_percent,under_ev_percent,recommended_side,recommended_prob,recommended_odds,recommended_ev_percent,recommendation
Lamar Jackson,225.5,1.91,1.91,210,214,212,,,212.30331753554506,-13.196682464454938,2.0,elite,68.51744786560212,0.42363485359260356,0.5763651464073964,-19.085742963812724,10.085742963812717,UNDER,0.5763651464073964,1.91,10.085742963812717,BET UNDER
Josh Allen,252.5,1.91,1.91,266,263,261,,,262.9289099526067,10.428909952606716,2.516611478423583,elite,68.53447304348985,0.5604736829620738,0.4395263170379262,7.050473445756089,-16.050473445756097,OVER,0.5604736829620738,1.91,7.050473445756089,BET OVER
Patrick Mahomes,261.5,1.91,1.91,258,255,260,,,257.61611374407585,-3.8838862559241534,2.516611478423583,elite,68.53447304348985,0.47740381714582847,0.5225961828541715,-8.815870925146768,-0.18412907485323982,UNDER,0.5225961828541715,1.91,-0.18412907485323982,PASS
