position,line_bucket,is_favorite,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
QB,<20,False,110.0,0.5272727272727272,0.4727272727272727,0.0,-102.14545454545454,-110.72727272727273,0.009084913880251221,-0.1004854362862241
QB,<20,True,103.0,0.4854368932038835,0.5145631067961165,0.0,-93.6504854368932,-105.32038834951456,-0.07287305163126045,-0.024736567515246197
QB,20-40,False,42.0,0.42857142857142855,0.5714285714285714,0.0,-110.11904761904762,-109.88095238095238,-0.18275926971579143,0.09090909090909095
QB,20-40,True,59.0,0.4915254237288136,0.5084745762711864,0.0,-110.28813559322033,-106.38983050847457,-0.06163328197226498,-0.027048971662088802
QB,40-60,False,21.0,0.47619047619047616,0.5238095238095238,0.0,-110.0,-110.0,-0.09090909090909087,4.229421046191072e-17
QB,40-60,True,9.0,0.7777777777777778,0.2222222222222222,0.0,-110.55555555555556,-109.44444444444444,0.4804567413263066,-0.5757575757575757
RB,<20,False,47.0,0.574468085106383,0.425531914893617,0.0,-110.0,-110.0,0.09671179883945846,-0.1876208897485493
RB,<20,True,57.0,0.49122807017543857,0.5087719298245614,0.0,-109.82456140350877,-110.17543859649123,-0.06068200805042906,-0.02864209271531923
RB,20-40,False,85.0,0.38823529411764707,0.611764705882353,0.0,-110.04705882352941,-109.95294117647059,-0.2588235294117647,0.16831803047119367
RB,20-40,True,94.0,0.4574468085106383,0.5425531914893617,0.0,-110.0,-110.0,-0.1266924564796904,0.035783365570599676
RB,40-60,False,93.0,0.4731182795698925,0.5268817204301075,0.0,-110.0,-110.0,-0.09677419354838705,0.00586510263929623
RB,40-60,True,122.0,0.4672131147540984,0.5327868852459017,0.0,-110.0,-110.0,-0.10804769001490308,0.017138599105812263
RB,60-80,False,111.0,0.5405405405405406,0.4594594594594595,0.0,-110.0,-110.0,0.03194103194103199,-0.12285012285012278
RB,60-80,True,77.0,0.45454545454545453,0.5454545454545454,0.0,-110.06493506493507,-109.93506493506493,-0.13274472563010106,0.04132231404958682
RB,80+,False,33.0,0.6060606060606061,0.3939393939393939,0.0,-110.0,-110.0,0.1570247933884298,-0.2479338842975206
RB,80+,True,6.0,0.6666666666666666,0.3333333333333333,0.0,-110.0,-110.0,0.27272727272727276,-0.3636363636363636
TE,<20,False,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,<20,True,3.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,20-40,False,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,20-40,True,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
WR,<20,False,12.0,0.3333333333333333,0.6666666666666666,0.0,-92.16666666666667,-111.83333333333333,-0.36877247046738565,0.2585139194227688
WR,<20,True,3.0,0.6666666666666666,0.3333333333333333,0.0,-39.333333333333336,-114.66666666666667,0.30969696969696975,-0.3636363636363636
WR,20-40,False,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
