position,line_bucket,is_favorite,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,<=2.5,False,1.0,0.0,1.0,0.0,2.12,1.68,-1.0,0.6799999999999999
FB,<=2.5,True,6.0,0.6666666666666666,0.3333333333333333,0.0,2.058333333333333,1.9183333333333332,0.23833333333333329,-0.48166666666666674
HB,<=2.5,False,151.0,0.5827814569536424,0.41721854304635764,0.0,1.8278145695364238,2.020662251655629,0.057682119205298,-0.16370860927152317
HB,<=2.5,True,125.0,0.632,0.368,0.0,1.77792,2.08144,0.11984000000000002,-0.24088
HB,3.5,False,327.0,0.5137614678899083,0.48623853211009177,0.0,1.980275229357798,1.8528746177370035,-0.011712538226299711,-0.12287461773700306
HB,3.5,True,316.0,0.4936708860759494,0.5063291139240507,0.0,1.937215189873418,1.901360759493671,-0.0648101265822785,-0.052658227848101244
HB,4.5,False,121.0,0.49586776859504134,0.5041322314049587,0.0,1.9859504132231407,1.8422314049586779,-0.029090909090909098,-0.08388429752066115
HB,4.5,True,121.0,0.4462809917355372,0.5537190082644629,0.0,2.02,1.805206611570248,-0.09289256198347107,0.006198347107438017
HB,5.5,False,42.0,0.4523809523809524,0.5476190476190477,0.0,1.9559523809523807,1.85,-0.12380952380952381,-0.0016666666666666629
HB,5.5,True,53.0,0.39622641509433965,0.6037735849056604,0.0,1.9952830188679245,1.8184905660377357,-0.2216981132075472,0.0879245283018868
HB,6.5,False,13.0,0.23076923076923078,0.7692307692307693,0.0,2.053076923076923,1.7623076923076921,-0.5523076923076923,0.3346153846153846
HB,6.5,True,13.0,0.38461538461538464,0.6153846153846154,0.0,2.050769230769231,1.771538461538462,-0.24846153846153843,0.05846153846153846
HB,7+,True,2.0,1.0,0.0,0.0,2.085,1.7400000000000002,1.085,-1.0
TE,<=2.5,False,86.0,0.5465116279069767,0.45348837209302323,0.0,1.9379069767441863,1.9229069767441855,0.04337209302325583,-0.1372093023255814
TE,<=2.5,True,96.0,0.4791666666666667,0.5208333333333334,0.0,1.8625,1.9740624999999998,-0.13645833333333338,0.004062500000000015
TE,3.5,False,223.0,0.5381165919282511,0.4618834080717489,0.0,1.905515695067265,1.9293273542600897,0.0023318385650224326,-0.13354260089686099
TE,3.5,True,232.0,0.5732758620689655,0.4267241379310345,0.0,1.9426724137931033,1.895603448275862,0.10025862068965516,-0.20004310344827586
TE,4.5,False,233.0,0.51931330472103,0.48068669527896996,0.0,1.9518884120171676,1.874334763948498,0.0027467811158798307,-0.11021459227467811
TE,4.5,True,209.0,0.49760765550239233,0.5023923444976076,0.0,1.9876076555023923,1.8427272727272728,-0.010143540669856439,-0.07655502392344497
TE,5.5,False,134.0,0.41044776119402987,0.5895522388059702,0.0,1.9814925373134327,1.833358208955224,-0.1991044776119403,0.06917910447761197
TE,5.5,True,95.0,0.45263157894736844,0.5473684210526316,0.0,1.9937894736842108,1.831263157894737,-0.13368421052631582,-0.03378947368421053
TE,6.5,False,38.0,0.47368421052631576,0.5263157894736842,0.0,1.9826315789473685,1.8297368421052636,-0.07131578947368421,-0.04710526315789475
TE,6.5,True,51.0,0.39215686274509803,0.6078431372549019,0.0,1.9880392156862745,1.8174509803921566,-0.2333333333333333,0.09784313725490194
TE,7+,False,21.0,0.47619047619047616,0.5238095238095238,0.0,1.9952380952380953,1.8076190476190477,-0.04285714285714283,-0.04761904761904764
TE,7+,True,27.0,0.48148148148148145,0.5185185185185185,0.0,1.9118518518518517,1.8903703703703707,-0.10629629629629626,-0.050740740740740725
WR,<=2.5,False,200.0,0.505,0.495,0.0,1.89695,1.9497499999999999,-0.06455,-0.055999999999999994
WR,<=2.5,True,204.0,0.5343137254901961,0.46568627450980393,0.0,1.8476470588235292,2.0114705882352943,-0.03808823529411765,-0.08862745098039215
WR,3.5,False,361.0,0.44321329639889195,0.556786703601108,0.0,1.978836565096953,1.867257617728532,-0.14537396121883656,0.019861495844875354
WR,3.5,True,474.0,0.47257383966244726,0.5274261603375527,0.0,1.9594725738396623,1.8804219409282699,-0.09812236286919833,-0.028691983122362857
WR,4.5,False,396.0,0.4595959595959596,0.5404040404040404,0.0,1.9666161616161615,1.854368686868687,-0.1178787878787879,-0.01709595959595961
WR,4.5,True,432.0,0.45601851851851855,0.5439814814814815,0.0,1.9413194444444446,1.8824074074074075,-0.1326388888888889,0.005995370370370372
WR,5.5,False,410.0,0.47073170731707314,0.5292682926829269,0.0,1.9185853658536585,1.8914878048780488,-0.1144146341463415,-0.015414634146341456
WR,5.5,True,366.0,0.453551912568306,0.546448087431694,0.0,1.94,1.872185792349727,-0.12745901639344262,0.014808743169398902
WR,6.5,False,220.0,0.42727272727272725,0.5727272727272728,0.0,1.9678636363636361,1.8432272727272727,-0.1756818181818182,0.039636363636363664
WR,6.5,True,190.0,0.48947368421052634,0.5105263157894737,0.0,1.942157894736842,1.869894736842105,-0.054105263157894726,-0.04910526315789471
WR,7+,False,169.0,0.4437869822485207,0.5562130177514792,0.0,1.9243786982248519,1.8775739644970415,-0.16431952662721896,0.026863905325443783
WR,7+,True,92.0,0.4673913043478261,0.532608695652174,0.0,1.9766304347826082,1.8239130434782607,-0.09217391304347826,-0.044782608695652176
