position,is_favorite,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
FB,False,6.0,0.5,0.5,0.0,-109.16666666666667,-110.83333333333333,-0.03823953823953822,-0.045454545454545414
RB,False,283.0,0.5300353356890459,0.46996466431095407,0.0,-108.56183745583039,-107.98939929328623,0.012471448522476036,-0.10279104564982522
RB,True,276.0,0.4746376811594203,0.5253623188405797,0.0,-104.7427536231884,-108.82971014492753,-0.09244859667223539,0.0024939480220390383
TE,False,260.0,0.5153846153846153,0.4846153846153846,0.0,-110.03461538461538,-108.4423076923077,-0.016094834127620975,-0.07462754636667676
TE,True,252.0,0.5158730158730159,0.48412698412698413,0.0,-109.96031746031746,-110.03968253968254,-0.015069771626017272,-0.07598462131598187
WR,False,626.0,0.4904153354632588,0.5095846645367412,0.0,-109.34984025559105,-109.70127795527156,-0.06374652804712531,-0.027272443244293263
WR,True,630.0,0.5158730158730159,0.48412698412698413,0.0,-109.67777777777778,-109.69365079365079,-0.01514914957537904,-0.07582031495074969
