player,player_norm,team,source,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,fpts
Tyson Bagent,tyson bagent,CHI,ESPN_CBS,0.8,4.8,0.1,0.0,0.1,0.5,0.0,0.5
Teddy Bridgewater,teddy bridgewater,DET,ESPN_CBS,0.6,4.7,0.1,0.0,0.1,0.3,0.0,0.5
Tyler Shough,tyler shough,NO,ESPN_CBS,0.8,4.9,0.1,0.0,0.1,0.5,0.0,0.4
Brandon Allen,brandon allen,NYG,ESPN_CBS,0.7,4.8,0.1,0.0,0.1,0.3,0.0,0.4
Anthony Richardson Sr.,anthony richardson,IND,ESPN_CBS,0.6,4.3,0.1,0.0,0.2,0.7,0.0,0.4
Drew Lock,drew lock,SEA,ESPN_CBS,0.7,4.6,0.1,0.1,0.1,0.5,0.0,0.4
Dillon Gabriel,dillon gabriel,CLE,ESPN_CBS,0.6,3.7,0.1,0.0,0.1,0.3,0.0,0.4
Trey Lance,trey lance,LAC,ESPN_CBS,0.8,5.0,0.0,0.0,0.2,0.6,0.0,0.3
Kyle Allen,kyle allen,BUF,ESPN_CBS,0.5,4.8,0.0,0.0,0.1,0.1,0.0,0.2
Trevor Siemian,trevor siemian,ATL,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,jeff driskel,WAS,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,nathan peterman,DEN,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Huntley,tyler huntley,BAL,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,shane buechele,BUF,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford,sean clifford,CIN,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle McCord,kyle mccord,GB,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,bailey zappe,NYJ,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson,skylar thompson,BAL,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendon Hooker,hendon hooker,TEN,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Oladokun,chris oladokun,KC,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Tune,clayton tune,HOU,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke,kurtis rourke,SF,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Miller,cam miller,MIA,ESPN_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Hurts,jalen hurts,PHI,FantasyPros,27.6,218.4,1.6,0.5,8.9,40.9,0.8,23.1
Lamar Jackson,lamar jackson,BAL,FantasyPros,29.2,235.9,1.8,0.4,7.9,51.3,0.2,22.4
Jayden Daniels,jayden daniels,WAS,FantasyPros,30.8,227.3,1.6,0.5,8.5,48.1,0.4,21.8
Josh Allen,josh allen,BUF,FantasyPros,32.5,240.7,1.6,0.5,7.3,33.8,0.5,21.6
Joe Burrow,joe burrow,CIN,FantasyPros,36.1,278.3,2.2,0.7,3.0,11.5,0.1,20.5
Baker Mayfield,baker mayfield,TB,FantasyPros,33.4,254.2,2.0,0.9,4.1,18.2,0.1,19.5
Patrick Mahomes II,patrick mahomes,KC,FantasyPros,35.7,254.0,1.7,0.6,4.5,22.6,0.1,19.4
Bo Nix,bo nix,DEN,FantasyPros,33.5,227.8,1.7,0.5,5.5,26.4,0.2,19.1
Kyler Murray,kyler murray,MIN,FantasyPros,32.4,234.4,1.4,0.8,5.5,35.7,0.3,18.9
Trevor Lawrence,trevor lawrence,JAC,FantasyPros,30.8,237.0,1.5,0.8,3.5,17.5,0.2,17.5
