player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kareem Hunt,11841,HB,KC,1,30,7,1,17.3,18,0,104,0,2,7,81,73.6,2,10,16,1,8,29.5,68.2,78.2,,78.9,65.2,67.0,60.0,18,0,26,3,32,31,0,0,3,33,1,104,81,2.7,3.5,0.81,20
Emanuel Wilson,154173,HB,GB,1,28,6,0,0.0,0,0,107,0,1,6,94,78.3,4,9,12,0,17,79.3,72.2,74.7,,66.0,90.7,66.7,60.0,12,0,18,2,3,29,0,0,2,30,2,107,94,3.36,3.8,6.0,11
Christian McCaffrey,11763,HB,SF,1,24,5,1,19.1,17,0,89,0,2,5,50,47.0,2,5,28,1,7,28.0,54.5,78.9,,17.8,87.5,46.2,60.0,17,0,53,7,31,26,0,0,7,31,1,89,50,2.08,3.7,1.71,15
Derrick Henry,10679,HB,BLT,1,21,2,1,26.6,17,0,64,0,1,2,55,34.2,1,3,3,0,8,77.7,57.5,74.2,,74.9,71.4,55.5,60.0,17,0,24,2,9,24,0,0,2,23,2,64,55,2.62,3.0,2.67,13
Javonte Williams,77803,HB,DAL,1,20,7,1,23.0,20,0,87,0,0,7,62,98.6,2,4,9,0,7,77.6,66.6,77.9,,45.1,59.5,68.9,60.0,20,0,14,2,21,23,0,0,3,22,0,87,62,3.1,4.4,0.67,13
Tyrone Tracy,84226,HB,NYG,1,20,3,0,0.0,0,0,62,1,0,3,49,32.0,2,3,21,0,6,77.6,53.0,75.9,,30.3,52.3,55.9,60.0,11,0,68,3,28,22,0,0,4,23,0,62,49,2.45,3.1,2.43,14
Chase Brown,77787,HB,CIN,1,19,0,1,19.6,21,0,107,0,0,0,45,0.0,3,7,7,0,9,77.4,73.5,79.9,,80.3,53.2,77.1,60.0,21,0,23,2,29,23,0,0,4,21,0,107,45,2.37,5.6,0.79,9
Jaylen Warren,98692,HB,PIT,1,18,3,0,0.0,0,0,68,0,0,3,43,39.8,1,6,25,0,11,76.5,70.6,73.4,,,51.4,71.8,59.7,12,0,0,0,11,23,0,0,0,18,1,68,43,2.39,3.8,0.0,7
TreVeyon Henderson,145059,HB,NE,1,18,1,0,0.0,0,0,66,0,1,1,41,21.7,0,4,19,0,9,77.3,64.3,75.5,,79.0,55.9,65.1,60.0,9,0,15,3,21,21,0,0,4,21,0,66,41,2.28,3.7,0.71,9
James Cook,83666,HB,BUF,1,17,1,2,56.0,65,0,116,0,0,1,92,27.1,3,3,4,0,6,76.7,64.2,74.4,,71.3,60.4,64.1,60.0,45,0,13,3,17,18,0,0,3,20,1,116,92,5.41,6.8,0.76,11
Ashton Jeanty,157196,HB,LV,1,17,4,0,0.0,0,0,50,0,5,4,52,110.1,1,1,23,0,6,77.5,71.1,79.7,,32.9,90.4,64.5,60.0,12,0,58,8,31,18,0,0,8,25,0,50,52,3.06,2.9,1.87,9
Quinshon Judkins,157128,HB,CLV,1,16,3,0,0.0,0,0,47,0,0,3,51,59.8,1,3,8,0,9,75.8,67.3,74.9,,78.3,56.3,66.1,60.0,11,0,0,0,5,17,0,0,0,16,2,47,51,3.19,2.9,0.0,7
Breece Hall,97636,HB,NYJ,1,16,0,0,0.0,0,0,44,0,1,0,40,12.5,0,3,22,1,5,25.6,68.3,76.7,,55.6,83.6,63.3,59.3,9,0,75,4,19,20,0,0,4,20,0,44,40,2.5,2.8,3.95,11
Woody Marks,124179,HB,HST,1,16,4,1,25.7,19,0,74,0,0,4,74,108.8,3,5,13,0,9,76.0,65.6,76.1,,42.6,53.9,69.0,60.0,19,0,-5,1,16,18,0,0,1,17,0,74,74,4.63,4.6,-0.31,6
Jonathan Taylor,57488,HB,IND,1,16,2,1,46.6,27,0,58,1,1,2,29,30.2,1,2,14,0,7,76.2,64.4,77.0,,86.1,34.8,69.6,,27,0,8,2,23,16,0,0,3,18,0,58,29,1.81,3.6,0.35,9
Jahmyr Gibbs,122474,HB,DET,1,15,5,3,76.3,167,0,219,0,2,5,111,199.2,4,7,11,0,6,77.7,91.4,76.6,,63.6,79.6,92.5,,69,0,45,11,28,16,0,0,12,26,2,219,111,7.4,14.6,1.61,8
Travis Etienne Jr.,57185,HB,JAX,1,15,1,1,52.3,45,0,86,1,1,1,74,54.8,1,1,15,0,4,76.1,55.2,77.9,,79.1,55.4,54.6,60.0,45,0,30,3,16,18,0,0,4,18,0,86,74,4.93,5.7,1.88,11
Devin Singletary,40485,HB,NYG,1,14,1,0,0.0,0,0,47,0,0,1,31,15.8,1,2,21,0,4,75.5,72.9,73.2,,82.1,55.8,70.2,60.0,13,0,0,0,4,17,0,0,0,14,0,47,31,2.21,3.4,0.0,10
Bijan Robinson,123126,HB,ATL,1,14,4,1,45.7,32,0,70,0,1,4,31,69.2,2,2,2,0,2,75.5,67.0,77.5,,82.1,91.3,53.6,,32,0,37,2,17,14,0,0,2,16,0,70,31,2.21,5.0,2.18,11
Kyren Williams,97118,HB,LA,1,12,2,0,0.0,0,0,46,0,0,2,32,41.0,0,2,26,0,7,76.5,61.6,75.7,,78.1,53.6,62.9,,9,0,2,1,21,12,0,0,1,13,0,46,32,2.67,3.8,0.1,5
Tyler Allgeier,83639,HB,ATL,1,12,1,0,0.0,0,0,44,0,0,1,28,17.9,1,2,2,0,3,74.5,59.8,72.8,,78.2,61.2,58.6,60.0,13,0,5,1,5,14,0,0,1,13,0,44,28,2.33,3.7,1.0,9
Sean Tucker,123056,HB,TB,1,12,2,0,0.0,0,0,42,0,0,2,32,41.0,0,2,30,0,4,74.5,63.3,74.4,,73.4,50.3,66.0,,9,0,4,1,13,12,0,0,2,13,0,42,32,2.67,3.5,0.31,8
Kyle Monangai,129891,HB,CHI,1,12,1,0,0.0,0,0,48,0,0,1,22,15.3,1,4,6,0,4,74.3,72.4,75.5,,48.6,49.9,78.3,60.0,12,0,0,0,17,14,0,0,0,12,1,48,22,1.83,4.0,0.0,7
Tony Pollard,27126,HB,TEN,1,11,1,0,0.0,0,0,20,0,0,1,20,12.1,0,0,31,0,5,75.5,56.2,75.7,,26.8,61.6,56.1,,5,0,21,4,22,12,0,0,5,15,0,20,20,1.82,1.8,0.95,6
Kenneth Walker III,97199,HB,SEA,1,11,6,2,47.9,34,0,71,0,0,6,51,198.7,4,4,29,0,4,74.6,85.5,73.4,,76.0,63.4,88.2,59.8,19,0,30,3,14,13,0,0,4,14,0,71,51,4.64,6.5,2.14,7
Saquon Barkley,45791,HB,PHI,1,10,1,0,0.0,0,0,22,0,0,1,32,18.8,0,1,24,1,5,23.8,49.4,80.1,,32.9,48.6,55.8,40.2,7,0,52,7,32,14,0,0,8,17,0,22,32,3.2,2.2,1.63,4
Taysom Hill,12112,TE,NO,1,10,0,0,0.0,0,0,17,0,0,0,11,0.0,0,4,20,1,2,73.6,60.2,77.5,58.0,78.4,54.8,64.3,53.6,4,1,0,0,5,16,0,0,0,10,0,17,11,1.1,1.7,0.0,5
Bam Knight,97432,HB,ARZ,1,10,2,0,0.0,0,0,12,0,1,2,21,45.0,0,1,1,0,8,74.9,61.7,76.8,,23.0,73.4,63.1,60.0,6,0,20,4,16,12,0,0,5,14,1,12,21,2.1,1.2,1.25,2
Kenneth Gainwell,77737,HB,PIT,1,10,0,1,59.8,55,0,92,0,1,0,24,15.0,1,3,25,0,5,76.0,66.4,0.0,,64.3,61.5,71.7,60.0,55,1,30,6,19,12,0,0,6,16,0,92,24,2.4,9.2,1.58,4
Aaron Jones,11937,HB,MIN,1,9,0,0,0.0,0,0,41,0,1,0,33,30.6,1,2,18,0,4,73.7,62.3,75.5,,50.0,61.8,62.6,,13,0,16,3,17,9,0,0,4,12,0,41,33,3.67,4.6,0.94,5
D'Andre Swift,57212,HB,CHI,1,8,1,0,0.0,0,0,15,0,1,1,12,33.3,0,1,6,1,3,21.2,50.6,77.1,,77.7,61.6,46.7,60.0,4,0,14,1,15,10,0,0,1,9,0,15,12,1.5,1.9,0.93,4
Chris Brooks,83644,HB,GB,1,8,3,0,0.0,0,0,21,0,0,3,29,120.8,1,2,12,0,6,71.9,71.5,73.3,,67.9,59.1,71.9,60.0,10,0,5,1,8,11,0,0,1,9,0,21,29,3.63,2.6,0.63,1
Jordan Mason,62946,HB,MIN,1,8,2,1,52.4,22,0,42,0,0,2,33,103.1,1,4,18,0,3,72.1,86.7,72.7,,,58.4,81.6,60.0,22,0,0,0,2,10,0,0,0,8,0,42,33,4.13,5.3,0.0,4
Bhayshul Tuten,150568,HB,JAX,1,7,4,0,0.0,0,0,17,0,0,4,23,187.8,0,2,15,0,2,72.4,68.2,71.6,,,53.9,69.5,,4,0,0,0,6,7,0,0,0,7,0,17,23,3.29,2.4,0.0,5
Jalen Hurts,40291,QB,PHI,1,7,3,0,0.0,0,0,22,0,0,3,16,192.0,0,3,24,0,1,80.9,72.3,79.0,70.5,,,65.5,60.0,8,0,0,0,0,16,11,2,0,5,2,33,21,3.0,4.7,,2
Blake Corum,129574,HB,LA,1,7,2,0,0.0,0,0,24,0,0,2,10,40.8,1,2,26,0,3,71.4,61.5,72.3,,76.5,51.9,62.7,,10,0,0,0,9,7,0,0,0,7,0,24,10,1.43,3.4,0.0,4
Lamar Jackson,46416,QB,BLT,1,7,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,3,1,0,78.2,60.9,79.0,62.5,,,47.1,61.0,6,0,0,0,0,31,13,5,0,2,0,11,6,0.86,1.6,,0
Rachaad White,131633,HB,TB,1,7,2,1,42.1,16,0,38,0,0,2,27,96.4,2,3,30,0,3,71.9,70.4,79.2,,83.5,50.9,78.6,60.0,16,0,4,1,26,9,0,0,1,8,0,38,27,3.86,5.4,0.15,4
