position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.6708,-204,0.32920000000000005,+204,6.1934
OT,6.5,0.7628,-322,0.23719999999999997,+322,6.132
WR,5.5,0.3278,+205,0.6722,-205,5.647
CB,3.5,0.5456,-120,0.4544,+120,3.4368
S,2.5,0.146,+585,0.854,-585,2.8518
LB,2.5,0.929,-1308,0.07099999999999995,+1308,2.0708
DT,1.5,0.3956,+153,0.6044,-153,1.6328852119958635
IOL,1.5,0.8792,-728,0.12080000000000002,+728,1.120835006021678
QB,1.5,0.9408,-1589,0.05920000000000003,+1589,1.0592
RB,1.5,0.9944,-17757,0.005600000000000049,+17757,1.0056
TE,1.5,0.9076,-982,0.09240000000000004,+982,1.0
