pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,10,5,4,2
3,11,7,6,3
4,12,8,6,6
5,13,10,7,6
6,17,11,10,5
7,17,11,9,6
8,18,11,10,6
9,19,13,10,7
10,20,13,9,3
11,22,15,10,6
12,24,13,10,4
13,25,10,8,4
14,24,13,8,5
15,24,10,7,5
16,29,19,13,7
17,25,11,6,5
18,27,12,6,4
19,29,16,12,4
20,28,18,12,6
21,32,11,10,7
22,34,16,12,8
23,28,16,14,6
24,34,15,8,7
25,34,11,5,4
26,35,15,12,7
27,34,18,12,8
28,37,14,9,5
29,38,16,13,6
30,39,17,13,7
31,38,17,12,6
32,34,10,9,6
