player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Isiah Pacheco,83747,HB,KC,1,24,4,1,25.8,23,0,89,0,0,4,60,40.0,3,4,16,1,10,27.1,63.7,79.0,,60.3,53.2,65.8,60.0,23,0,-1,1,21,25,0,0,1,25,1,89,60,2.5,3.7,-0.05,14
Aaron Jones,11937,HB,GB,1,21,4,2,39.0,46,0,118,0,0,4,64,55.4,4,9,12,0,2,77.8,89.7,73.7,,80.2,81.1,82.8,,27,0,13,1,9,22,0,0,1,22,3,118,64,3.05,5.6,1.44,19
James Cook,83666,HB,BUF,1,18,3,0,0.0,0,0,79,0,0,3,43,32.6,2,4,4,0,3,77.2,60.6,77.3,,26.6,62.5,60.7,60.0,12,0,5,4,18,22,0,0,4,22,0,79,43,2.39,4.4,0.28,15
Rachaad White,131633,HB,TB,1,18,3,0,0.0,0,0,72,1,2,3,61,89.2,2,6,30,0,8,76.7,59.0,76.2,,12.5,41.3,68.6,,12,0,3,1,27,18,0,0,3,19,0,72,61,3.39,4.0,0.11,10
Tony Pollard,27126,HB,DAL,1,15,1,0,0.0,0,0,56,0,0,1,29,8.8,1,4,9,0,4,76.8,69.2,81.8,,82.7,62.8,70.5,60.0,11,0,29,7,38,16,0,0,10,22,1,56,29,1.93,3.7,0.76,8
David Montgomery,45719,HB,DET,1,14,1,0,0.0,0,0,57,0,1,1,32,30.5,2,4,11,0,10,75.3,61.5,74.8,,11.8,64.1,65.4,,11,0,11,1,12,14,0,0,1,15,1,57,32,2.29,4.1,0.92,4
Devin Singletary,40485,HB,HST,1,13,4,2,72.7,48,0,66,0,0,4,53,101.9,2,3,13,0,8,75.4,82.3,73.6,,68.5,62.9,83.8,60.0,29,0,4,3,14,17,0,0,3,16,1,66,53,4.08,5.1,0.29,5
Kyren Williams,97118,HB,LA,1,13,0,1,24.6,15,0,61,0,1,0,27,14.8,2,3,26,0,8,74.9,65.4,74.6,,85.4,58.5,64.2,,15,0,9,1,18,13,0,0,1,14,0,61,27,2.08,4.7,0.5,5
Najee Harris,57121,HB,PIT,1,12,1,0,0.0,0,0,37,0,0,1,28,16.7,1,1,25,0,6,74.8,53.0,76.5,,68.8,53.7,53.4,,11,0,15,2,22,12,0,0,3,14,0,37,28,2.33,3.1,0.68,6
D'Andre Swift,57212,HB,PHI,1,10,2,1,50.0,17,0,34,0,2,2,28,80.0,1,2,24,0,5,74.4,60.0,78.3,,61.2,62.4,58.4,,17,0,32,4,22,10,0,0,4,14,0,34,28,2.8,3.4,1.45,5
Jerome Ford,83601,HB,CLV,1,9,0,0,0.0,0,0,17,0,0,0,14,0.0,0,0,8,0,5,74.3,58.5,79.9,,79.7,62.1,54.9,,7,0,15,4,29,9,0,0,4,13,0,17,14,1.56,1.9,0.52,3
Emanuel Wilson,154173,HB,GB,1,8,1,0,0.0,0,0,20,0,0,1,10,15.6,0,1,12,0,5,72.1,70.8,71.7,,,54.4,70.9,60.0,7,0,0,0,6,9,0,0,0,8,0,20,10,1.25,2.5,0.0,3
Kareem Hunt,11841,HB,CLV,1,8,2,0,0.0,0,0,26,0,0,2,14,26.9,1,2,8,0,6,73.8,68.2,78.2,,81.5,72.0,63.7,60.0,14,0,9,5,14,9,0,0,6,13,1,26,14,1.75,3.3,0.64,0
Ty Johnson,45769,HB,BUF,1,8,0,0,0.0,0,0,26,0,0,0,20,0.0,1,3,4,0,4,72.1,60.5,72.1,,73.4,56.3,61.3,60.0,11,0,0,0,5,9,0,0,2,8,0,26,20,2.5,3.3,0.0,4
Jaylen Warren,98692,HB,PIT,1,8,3,0,0.0,0,0,38,0,1,3,36,180.0,2,2,25,0,2,74.3,62.9,76.1,,11.7,64.1,66.8,60.0,12,0,16,2,17,9,0,0,2,10,0,38,36,4.5,4.8,0.94,3
Josh Allen,46601,QB,BUF,1,8,2,0,0.0,0,0,14,0,0,0,6,0.0,2,4,4,0,1,79.6,88.0,79.0,76.3,,,90.2,60.0,52,0,0,0,0,32,60,2,0,6,1,74,57,7.13,9.3,,1
Raheem Mostert,9783,HB,MIA,1,8,0,0,0.0,0,0,33,1,0,0,18,0.0,0,2,17,0,2,71.9,58.2,76.3,,68.8,40.0,70.7,,8,0,-3,1,18,7,0,0,2,9,0,33,18,2.25,4.1,-0.17,5
Jahmyr Gibbs,122474,HB,DET,1,8,3,0,0.0,0,0,25,0,5,3,23,191.7,2,2,11,0,3,74.0,68.3,73.8,,69.4,90.7,58.6,,11,0,43,4,9,9,0,0,4,12,1,25,23,2.88,3.1,4.78,5
Clyde Edwards-Helaire,57279,HB,KC,1,7,1,0,0.0,0,0,21,0,1,1,21,75.0,1,2,16,1,5,19.2,54.1,75.7,,52.2,66.4,52.2,,12,0,5,1,9,7,0,0,1,8,0,21,21,3.0,3.0,0.56,2
Chase Edmonds,45851,HB,TB,1,7,0,0,0.0,0,0,12,1,0,0,11,0.0,0,1,30,0,1,72.5,47.0,74.7,,78.9,37.7,51.4,60.0,5,0,8,1,9,9,0,0,2,8,0,12,11,1.57,1.7,0.89,6
De'Von Achane,124305,HB,MIA,1,6,1,0,0.0,0,0,9,0,0,1,12,22.2,0,1,17,0,3,72.7,62.9,73.4,,,68.5,59.2,60.0,3,0,21,3,15,8,0,0,6,9,0,9,12,2.0,1.5,1.4,3
Dak Prescott,10769,QB,DAL,1,6,0,0,0.0,0,0,0,0,0,0,,100.0,2,4,9,0,0,83.0,60.6,80.3,56.5,,,74.9,60.0,18,0,0,0,0,21,45,6,0,0,0,45,4,0.67,7.5,,0
Kenneth Gainwell,77737,HB,PHI,1,4,1,0,0.0,0,0,2,0,0,1,4,16.7,0,1,24,0,1,70.0,57.3,75.3,,68.6,74.2,45.5,60.0,4,0,10,2,7,5,0,0,2,6,0,2,4,1.0,0.5,1.43,3
Ronnie Rivers,57208,HB,LA,1,3,2,0,0.0,0,0,9,0,0,2,9,100.0,0,1,26,0,2,70.3,76.7,72.1,,82.6,78.6,72.2,60.0,7,0,35,3,9,4,0,0,3,6,0,9,9,3.0,3.0,3.89,1
Davis Mills,52269,QB,HST,1,3,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,13,0,0,68.2,62.5,70.6,60.4,,,60.5,60.0,-1,0,0,0,0,5,0,0,0,3,0,-4,0,0.0,-1.3,,0
Jared Goff,10635,QB,DET,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,11,1,0,25.1,82.7,78.5,81.3,,,60.5,60.0,-1,0,0,0,0,26,0,0,0,3,0,-3,0,0.0,-1.0,,0
Tua Tagovailoa,60326,QB,MIA,1,3,0,0,0.0,0,0,0,0,0,0,,100.0,2,2,17,0,0,80.0,58.7,78.9,55.5,,,70.7,60.0,14,1,0,0,0,14,25,3,0,0,0,25,10,3.33,8.3,,0
Joe Flacco,4332,QB,CLV,1,3,0,0,0.0,0,0,3,0,0,0,1,0.0,0,2,8,0,0,80.9,62.2,79.3,60.0,,,67.2,60.2,8,0,0,0,0,18,10,2,0,1,0,13,17,5.67,4.3,,0
Dameon Pierce,83659,HB,HST,1,3,1,0,,0,0,0,0,0,1,4,44.4,0,0,13,0,1,67.2,50.1,71.5,,,,53.7,60.0,1,0,0,0,0,6,0,0,0,3,0,0,4,1.33,0.0,,2
Patrick Taylor,40448,HB,GB,1,3,0,0,0.0,0,0,6,0,0,0,3,0.0,0,0,12,0,0,67.2,48.9,75.0,,,57.4,52.0,,3,0,0,0,3,3,0,0,0,3,0,6,3,1.0,2.0,0.0,3
Baker Mayfield,46518,QB,TB,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,30,0,0,79.5,77.0,79.3,72.4,,,74.8,60.0,9,0,0,0,0,27,16,2,0,0,0,16,13,6.5,8.0,,0
Patrick Mahomes,11765,QB,KC,1,2,1,0,0.0,0,0,0,0,0,0,,100.0,2,2,16,1,0,79.9,88.0,79.8,79.9,,,88.6,60.3,28,1,0,0,0,32,41,2,0,0,0,41,36,18.0,20.5,,0
Rico Dowdle,40693,HB,DAL,1,2,1,0,0.0,0,0,11,0,0,1,10,125.0,0,0,9,0,1,69.0,66.9,75.0,,35.0,65.8,67.9,,9,0,14,2,15,3,0,0,3,4,0,11,10,5.0,5.5,0.93,1
Mason Rudolph,46569,QB,PIT,1,2,1,0,0.0,0,0,0,0,0,0,,100.0,1,2,25,0,0,79.8,61.5,79.1,61.2,,,58.8,60.0,10,0,0,0,0,21,16,2,0,0,0,16,9,4.5,8.0,,0
Jaylen Waddle,84088,WR,MIA,1,1,0,0,0.0,0,0,9,1,0,0,3,0.0,0,0,17,0,0,64.0,59.3,78.7,,,62.0,,35.2,9,0,31,2,30,11,0,0,5,3,0,9,3,3.0,9.0,1.03,0
Deven Thompkins,84480,WR,TB,1,1,2,0,0.0,0,0,10,0,1,2,7,1050.0,1,1,30,0,0,71.5,72.6,69.5,,,71.1,,59.2,10,0,4,1,5,3,0,0,1,2,0,10,7,7.0,10.0,0.8,0
CeeDee Lamb,61570,WR,DAL,1,1,0,0,0.0,0,0,5,1,0,0,3,0.0,0,0,9,0,0,71.3,70.1,82.8,,,68.8,62.8,54.2,5,0,110,9,63,20,0,0,18,10,0,5,3,3.0,5.0,1.75,1
John Metchie III,97400,WR,HST,1,1,0,0,0.0,0,0,9,0,0,0,4,0.0,0,0,13,0,0,67.4,76.3,76.7,,,75.0,63.1,55.6,9,0,44,3,15,19,0,0,3,4,0,9,4,4.0,9.0,2.93,0
Nico Collins,61441,WR,HST,1,1,1,0,0.0,0,0,4,0,0,1,6,85.7,0,0,13,0,0,69.8,85.9,76.8,,,86.8,56.6,60.0,4,0,96,6,20,10,0,0,7,7,0,4,6,6.0,4.0,4.8,0
George Pickens,99229,WR,PIT,1,1,1,1,100.0,15,0,15,0,0,1,14,233.3,1,1,25,1,0,17.0,57.5,79.0,,,54.2,63.1,85.4,15,0,50,5,41,16,0,0,10,6,0,15,14,14.0,15.0,1.22,0
Trey Palmer,99248,WR,TB,1,1,0,0,0.0,0,0,9,0,2,0,6,600.0,0,0,30,0,0,64.6,75.3,0.0,,,77.5,63.1,59.6,9,1,56,1,14,10,0,0,2,2,0,9,6,6.0,9.0,4.0,0
Puka Nacua,100632,WR,LA,1,1,0,0,0.0,0,0,-2,0,5,0,0,0.0,0,0,26,1,0,20.2,92.6,80.0,,,93.1,50.6,77.7,-2,0,181,9,33,13,0,0,10,10,0,-2,0,0.0,-2.0,5.48,1
Mecole Hardman Jr.,42683,WR,KC,1,1,0,0,0.0,0,0,-4,0,1,0,1,50.0,0,0,16,0,0,64.6,45.9,77.8,,,48.9,56.2,60.5,-4,0,3,1,19,6,0,0,3,2,0,-4,1,1.0,-4.0,0.16,0
Jordan Love,40306,QB,GB,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,12,0,0,76.0,92.5,78.3,91.8,,,60.0,60.0,-1,0,0,0,0,31,0,0,0,1,0,-1,0,0.0,-1.0,,0
C.J. Stroud,129759,QB,HST,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,13,0,0,76.2,77.8,77.2,77.5,,,58.7,60.0,1,0,0,0,0,17,0,0,0,1,0,1,1,1.0,1.0,,1
Jalen Hurts,40291,QB,PHI,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,24,0,0,79.8,72.6,78.5,71.0,,,63.3,60.0,5,1,0,0,0,13,5,1,0,0,0,5,0,0.0,5.0,,0
Brandin Cooks,8655,WR,DAL,1,1,0,0,0.0,0,0,6,0,0,0,1,0.0,0,0,9,0,0,69.8,59.8,81.8,,,60.3,56.6,61.5,6,0,47,6,65,19,0,0,8,7,0,6,1,1.0,6.0,0.72,0
