player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Dak Prescott,10769,QB,DAL,1,71.2,59,60,9.5,3.01,1,3,4.8,68.3,41,0,17,2.4,70,1,0.05,29,9,83.0,60.6,56.5,74.9,0,2,74,0,51.4,23.5,89.8,5.7,4,6,0,0,3,3,4.1,403,6.7
Joe Flacco,4332,QB,CLV,1,81.8,44,46,7.0,2.8,0,1,2.1,73.9,34,0,21,5.6,52,2,-0.29,15,8,80.9,62.2,60.0,67.2,0,2,53,0,42.3,19.0,80.6,7.7,4,2,0,2,1,3,5.7,307,6.7
Patrick Mahomes,11765,QB,KC,1,78.1,32,41,8.5,2.61,2,0,0.0,56.1,23,0,15,8.0,43,2,0.26,16,16,79.9,88.0,79.9,88.6,0,0,47,1,51.2,0.0,83.6,0.0,0,2,0,7,1,0,0.0,262,6.4
Tua Tagovailoa,60326,QB,MIA,1,62.2,37,39,7.4,2.52,1,1,2.5,51.3,20,0,13,13.0,46,3,-0.23,10,17,80.0,58.7,55.5,70.7,0,1,47,1,32.6,15.4,63.9,4.3,2,3,0,1,1,1,2.1,199,5.1
Mason Rudolph,46569,QB,PIT,1,69.7,33,39,8.2,2.59,2,1,2.4,56.4,22,0,18,4.3,42,1,-0.12,16,25,79.8,61.5,61.2,58.8,2,1,45,0,47.6,5.6,80.0,2.4,1,2,1,1,2,1,2.2,229,5.9
Baker Mayfield,46518,QB,TB,1,74.3,35,36,9.0,2.7,0,1,2.8,61.1,22,0,14,15.4,43,4,0.35,14,30,79.5,77.0,72.4,74.8,0,0,43,0,51.2,28.6,119.8,9.3,4,2,0,1,3,1,2.3,337,9.4
Matthew Stafford,4924,QB,LA,1,78.8,33,36,9.5,2.62,1,4,10.3,69.4,25,0,13,3.8,38,1,0.53,15,26,79.2,88.5,86.1,,0,0,41,0,52.6,15.4,120.9,5.3,2,0,0,2,2,0,0.0,367,10.2
Jalen Hurts,40291,QB,PHI,1,81.3,32,35,7.9,2.79,0,1,2.6,71.4,25,0,22,3.8,39,1,-0.12,9,24,79.8,72.6,71.0,63.3,0,0,44,1,33.3,13.6,100.9,7.7,3,1,0,3,1,1,2.3,250,7.1
Josh Allen,46601,QB,BUF,1,76.7,30,30,6.6,2.39,0,2,6.5,70.0,21,0,15,8.7,34,2,0.23,12,4,79.6,88.0,76.3,90.2,0,0,35,0,44.1,13.3,121.9,5.9,2,2,0,0,3,0,0.0,203,6.8
Jared Goff,10635,QB,DET,1,88.0,25,27,5.4,2.51,0,2,7.4,81.5,22,0,11,0.0,30,0,0.42,16,11,25.1,82.7,81.3,60.5,1,0,30,0,60.0,27.3,121.8,10.0,3,0,0,1,1,1,3.3,277,10.3
C.J. Stroud,129759,QB,HST,1,85.0,20,21,10.5,2.46,1,2,8.7,76.2,16,0,8,5.9,21,1,0.57,10,13,76.2,77.8,77.5,58.7,0,0,23,0,57.1,0.0,157.2,0.0,0,0,0,0,3,1,4.3,274,13.0
Jordan Love,40306,QB,GB,1,81.0,21,21,11.3,2.66,0,2,9.5,76.2,16,0,7,5.9,21,1,1.07,11,12,76.0,92.5,91.8,60.0,0,0,22,0,76.2,0.0,157.2,0.0,0,0,0,0,3,0,0.0,272,13.0
Davis Mills,52269,QB,HST,1,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0,0.0,1,0,-1.41,0,13,68.2,62.5,60.4,60.5,0,0,1,0,0.0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
