player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,SF,1,22,2,0,0.0,0,0,69,0,4,2,45,39.6,1,6,28,0,5,79.1,59.9,80.7,,13.5,81.7,53.0,,13,0,73,9,29,23,0,0,10,31,0,69,45,2.05,3.1,2.52,16
Chase Brown,77787,HB,CIN,1,21,5,0,0.0,0,0,43,1,1,5,50,62.1,0,3,7,0,11,77.9,63.1,75.8,,75.2,36.1,68.3,,8,0,8,2,13,22,0,0,3,23,1,43,50,2.38,2.0,0.62,5
Ashton Jeanty,157196,HB,LV,1,19,4,0,0.0,0,0,38,0,0,4,44,44.1,0,2,23,0,6,77.1,53.3,78.3,,46.4,54.8,55.1,60.0,9,0,2,2,22,20,0,0,2,21,1,38,44,2.32,2.0,0.09,12
Josh Jacobs,45953,HB,GB,1,19,1,1,22.7,15,0,66,0,0,1,55,14.5,2,3,12,0,10,77.0,59.2,76.4,,42.0,53.1,65.1,35.7,15,0,4,1,15,21,0,0,1,20,1,66,55,2.89,3.5,0.27,9
Breece Hall,97636,HB,NYJ,1,19,2,3,47.7,51,0,107,0,1,2,90,67.7,4,7,22,0,1,77.1,81.5,76.3,,79.7,80.3,76.5,60.0,18,0,38,2,8,23,0,0,2,21,0,107,90,4.74,5.6,4.75,18
Kyren Williams,97118,HB,LA,1,18,2,0,0.0,0,1,66,0,0,2,42,24.6,0,3,26,0,13,77.0,56.9,76.7,,22.7,54.4,61.8,60.0,9,1,3,1,17,23,0,0,1,19,1,66,42,2.33,3.7,0.18,4
Jonathan Taylor,57488,HB,IND,1,18,2,1,21.1,15,0,71,0,1,2,41,32.5,2,3,14,0,7,77.3,64.7,77.6,,83.5,77.0,58.5,60.0,15,0,27,3,24,22,0,0,3,21,0,71,41,2.28,3.9,1.13,11
Tony Pollard,27126,HB,TEN,1,18,3,0,0.0,0,0,60,0,1,3,54,63.2,0,2,31,1,12,25.0,53.6,76.9,,38.4,68.0,53.6,,9,0,29,1,20,18,0,0,1,19,0,60,54,3.0,3.3,1.45,5
Derrick Henry,10679,HB,BLT,1,18,3,4,84.0,142,0,169,0,0,3,108,94.7,5,5,3,1,5,25.0,68.5,72.7,,66.6,74.3,65.5,60.0,49,0,13,1,5,19,0,0,1,19,2,169,108,6.0,9.4,2.6,13
Saquon Barkley,45791,HB,PHI,1,18,2,1,26.7,16,0,60,1,2,2,36,36.4,3,4,24,0,5,77.2,58.5,78.1,,27.4,63.0,58.4,60.0,16,0,24,4,27,20,0,0,5,22,1,60,36,2.0,3.3,0.89,12
D'Andre Swift,57212,HB,CHI,1,17,1,0,0.0,0,0,53,0,1,1,37,21.8,1,2,6,0,2,76.9,55.7,78.0,,84.5,64.6,50.9,,13,0,12,3,29,17,0,0,5,20,0,53,37,2.18,3.1,0.41,15
Travis Etienne Jr.,57185,HB,JAX,1,16,4,2,61.5,88,0,143,0,1,4,92,151.3,4,3,15,0,7,76.7,75.6,76.1,,25.0,66.9,76.8,60.0,71,0,13,3,15,21,0,0,3,19,0,143,92,5.75,8.9,0.87,9
J.K. Dobbins,57366,HB,DEN,1,16,3,1,30.2,19,0,63,0,0,3,51,53.1,2,2,10,0,9,76.2,68.3,74.6,,77.4,65.9,66.7,59.6,19,0,5,2,13,21,0,0,2,18,1,63,51,3.19,3.9,0.38,7
Chuba Hubbard,57373,HB,CAR,1,16,0,0,0.0,0,0,57,1,1,0,36,11.8,0,3,5,0,5,76.4,66.3,78.2,,27.1,68.1,66.4,60.0,9,0,32,3,19,17,0,0,4,19,0,57,36,2.25,3.6,1.68,11
Jordan Mason,62946,HB,MIN,1,15,3,2,54.4,37,0,68,0,1,3,56,93.3,2,3,18,0,8,76.0,73.2,73.4,,61.8,59.0,72.6,60.0,19,0,7,1,7,18,0,0,1,16,0,68,56,3.73,4.5,1.0,6
Javonte Williams,77803,HB,DAL,1,15,0,0,0.0,0,0,54,0,1,0,32,12.5,1,5,9,0,6,75.9,66.8,79.2,,19.2,54.0,73.6,60.0,11,0,10,2,27,16,0,0,2,17,2,54,32,2.13,3.6,0.37,8
Omarion Hampton,162750,HB,LAC,1,15,3,0,0.0,0,0,48,0,0,3,39,45.9,1,4,27,0,6,76.2,54.8,77.5,,18.7,56.0,59.0,60.0,11,0,13,2,25,21,0,0,2,17,0,48,39,2.6,3.2,0.52,9
Josh Allen,46601,QB,BUF,1,14,0,0,0.0,0,0,3,0,0,0,5,0.0,0,4,4,0,2,82.7,87.0,80.0,82.2,,,76.8,60.0,9,0,0,0,0,26,27,5,0,9,2,30,20,1.43,2.1,,0
Bucky Irving,144970,HB,TB,1,14,1,0,0.0,0,0,37,0,1,1,23,18.3,0,1,30,0,12,76.0,58.0,76.0,,48.8,61.8,57.2,60.0,9,0,8,4,21,16,0,0,4,18,0,37,23,1.64,2.6,0.38,2
Jalen Hurts,40291,QB,PHI,1,14,3,0,0.0,0,0,-1,0,0,0,1,0.0,1,7,24,0,0,79.2,88.6,78.9,70.7,,,90.7,60.0,15,1,0,0,0,28,63,9,0,5,2,62,38,2.71,4.4,,0
Nick Chubb,45783,HB,HST,1,13,5,0,0.0,0,0,60,0,0,5,33,97.6,2,4,13,0,9,75.5,63.9,75.1,,80.2,53.6,63.4,60.0,13,0,0,0,9,16,0,0,1,13,0,60,33,2.54,4.6,0.0,4
James Cook,83666,HB,BUF,1,13,1,0,0.0,0,0,44,0,4,1,32,68.4,1,3,4,0,7,75.8,64.7,78.4,,69.7,72.5,61.4,59.4,11,0,58,5,27,18,0,0,5,18,1,44,32,2.46,3.4,2.15,6
Dylan Sampson,163772,HB,CLV,1,12,1,0,0.0,0,0,29,0,3,1,27,45.0,0,2,8,0,7,76.1,70.8,75.9,,59.2,92.4,58.6,60.0,5,0,64,8,15,14,0,0,8,20,0,29,27,2.25,2.4,4.27,5
James Conner,11860,HB,ARZ,1,12,4,0,0.0,0,0,39,0,1,4,30,78.1,1,1,1,0,10,75.6,66.1,77.1,,25.7,70.6,67.8,60.0,12,0,5,4,21,14,0,0,4,16,0,39,30,2.5,3.3,0.24,2
