line_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
under_180,24,0.6666666666666666,170.125,195.91666666666666,25.791666666666668,-110.0,-110.0,0.2727272727272727,-0.3636363636363636
180_to_210,106,0.5,196.4433962264151,200.28301886792454,3.839622641509434,-110.04716981132076,-109.95283018867924,-0.045419032703692276,-0.04504614881973374
210_to_240,185,0.4918918918918919,226.28378378378378,226.48648648648648,0.20270270270270271,-110.0,-110.0,-0.06093366093366095,-0.029975429975429988
270+,9,0.4444444444444444,274.3888888888889,256.6666666666667,-17.72222222222222,-110.0,-110.0,-0.15151515151515152,0.06060606060606059
240_to_270,120,0.44166666666666665,250.84166666666667,252.14166666666668,1.3,-110.0,-110.0,-0.15681818181818183,0.06590909090909089
