week,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
12,26,0.7307692307692307,220.23076923076923,247.0,26.76923076923077,-110.0,-110.0,0.39510489510489505,-0.48601398601398604
11,26,0.6923076923076923,223.42307692307693,262.4230769230769,39.0,-110.0,-110.0,0.32167832167832167,-0.41258741258741255
16,22,0.6818181818181818,227.8181818181818,240.77272727272728,12.954545454545455,-110.0,-110.0,0.30165289256198347,-0.3925619834710744
8,25,0.6,219.18,232.72,13.54,-110.2,-109.8,0.145605119518163,-0.23463203463203464
6,22,0.5909090909090909,220.4090909090909,227.27272727272728,6.863636363636363,-110.0,-110.0,0.12809917355371903,-0.21900826446280994
5,24,0.5833333333333334,216.54166666666666,240.125,23.583333333333332,-110.0,-110.0,0.1136363636363636,-0.20454545454545456
17,18,0.5555555555555556,221.94444444444446,236.61111111111111,14.666666666666666,-110.0,-110.0,0.0606060606060606,-0.15151515151515152
14,26,0.5384615384615384,232.96153846153845,243.84615384615384,10.884615384615385,-110.0,-110.0,0.027972027972027965,-0.1188811188811189
3,32,0.5,215.84375,227.375,11.53125,-110.0,-110.0,-0.04545454545454547,-0.04545454545454547
13,33,0.48484848484848486,229.13636363636363,241.4848484848485,12.348484848484848,-110.0,-110.0,-0.07438016528925621,-0.016528925619834718
4,32,0.46875,216.71875,214.625,-2.09375,-110.0,-110.0,-0.10511363636363637,0.014204545454545456
10,24,0.4583333333333333,221.25,215.58333333333334,-5.666666666666667,-110.0,-110.0,-0.12500000000000003,0.03409090909090908
2,32,0.4375,221.59375,210.25,-11.34375,-110.0,-110.0,-0.1647727272727273,0.07386363636363635
9,24,0.3333333333333333,230.20833333333334,222.625,-7.583333333333333,-110.0,-110.0,-0.3636363636363636,0.2727272727272727
15,26,0.3076923076923077,232.42307692307693,207.46153846153845,-24.96153846153846,-110.0,-110.0,-0.41258741258741255,0.32167832167832167
7,24,0.2916666666666667,221.08333333333334,189.625,-31.458333333333332,-110.0,-110.0,-0.4431818181818182,0.35227272727272724
1,28,0.14285714285714285,233.42857142857142,191.92857142857142,-41.5,-110.0,-110.0,-0.7272727272727273,0.6363636363636364
