team_total_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
under_17,37,0.6216216216216216,186.63513513513513,202.1891891891892,15.554054054054054,-110.13513513513513,-109.86486486486487,0.18566392479435956,-0.27764127764127766
28+,12,0.5,245.5,248.75,3.25,-110.0,-110.0,-0.04545454545454547,-0.04545454545454545
24_to_28,121,0.49586776859504134,243.76446280991735,244.64462809917356,0.8801652892561983,-109.95867768595042,-110.04132231404958,-0.05298558191120176,-0.0375657400450789
17_to_20,98,0.47959183673469385,203.40816326530611,202.0408163265306,-1.3673469387755102,-110.05102040816327,-109.94897959183673,-0.08441558441558442,-0.006051771357893815
20_to_24,176,0.4602272727272727,227.60227272727272,230.28977272727272,2.6875,-110.0,-110.0,-0.12138429752066117,0.03047520661157023
