game_total_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
under_38,28,0.5714285714285714,184.21428571428572,188.39285714285714,4.178571428571429,-110.0,-110.0,0.0909090909090909,-0.18181818181818182
38_to_42,97,0.5670103092783505,207.67525773195877,222.61855670103094,14.943298969072165,-110.0,-110.0,0.08292051591020662,-0.17293702860713173
46_to_50,129,0.49612403100775193,238.5,241.72093023255815,3.2209302325581395,-110.0,-110.0,-0.0528541226215645,-0.038054968287526435
42_to_46,158,0.43670886075949367,222.70253164556962,219.9620253164557,-2.740506329113924,-110.03164556962025,-109.96835443037975,-0.1665332466102967,0.07537399309551207
50+,32,0.40625,252.59375,237.3125,-15.28125,-110.0,-110.0,-0.22443181818181818,0.13352272727272727
