spread_bucket,rows,over_rate,avg_line,avg_actual,avg_actual_minus_line,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
fav_7_to_10,32,0.65625,238.84375,259.9375,21.09375,-109.84375,-110.15625,0.25419372294372294,-0.34375
dog_10+,11,0.6363636363636364,196.77272727272728,209.36363636363637,12.590909090909092,-110.45454545454545,-109.54545454545455,0.21128278835788716,-0.3057851239669422
fav_10+,11,0.5454545454545454,228.5909090909091,215.36363636363637,-13.227272727272727,-110.0,-110.0,0.04132231404958677,-0.13223140495867772
dog_3_to_7,126,0.47619047619047616,215.9920634920635,219.32539682539684,3.3333333333333335,-110.0,-110.0,-0.09090909090909093,-3.52451753849256e-18
fav_3_to_7,125,0.472,233.324,234.256,0.932,-110.0,-110.0,-0.09890909090909092,0.007999999999999986
pickem,107,0.4672897196261682,225.39719626168224,227.57009345794393,2.1728971962616823,-110.0,-110.0,-0.1079014443500425,0.016992353440951558
dog_7_to_10,32,0.4375,203.71875,191.9375,-11.78125,-110.15625,-109.84375,-0.1647727272727273,0.07521645021645021
