position,avg_taken_round1,min,max
EDGE,6.335,3,9
OT,5.9162,3,7
WR,5.6234,3,6
CB,3.5202,1,6
S,2.6942,1,3
LB,2.1048,1,4
DT,1.8027794808910689,1,4
IOL,1.2156569965870307,1,3
QB,1.1024,1,3
RB,1.011059722501508,1,2
TE,1.0,1,1
