team,position,count,probability,moneyline
ARI,OT,1873,0.3746,+167
ARI,LB,1482,0.2964,+237
ARI,EDGE,1454,0.2908,+244
ARI,RB,110,0.022,+4445
ARI,WR,38,0.0076,+13058
ARI,CB,31,0.0062,+16029
ARI,S,12,0.0024,+41567
BAL,WR,2101,0.4202,+138
BAL,IOL,1399,0.2798,+257
BAL,TE,562,0.1124,+790
BAL,OT,374,0.0748,+1237
BAL,EDGE,257,0.0514,+1846
BAL,RB,93,0.0186,+5276
BAL,S,82,0.0164,+5998
BAL,CB,77,0.0154,+6394
BAL,LB,54,0.0108,+9159
BAL,QB,1,0.0002,+499900
BUF,EDGE,1753,0.3506,+185
BUF,WR,1706,0.3412,+193
BUF,DT,648,0.1296,+672
BUF,IOL,227,0.0454,+2103
BUF,OT,201,0.0402,+2388
BUF,S,196,0.0392,+2451
BUF,CB,138,0.0276,+3523
BUF,LB,79,0.0158,+6229
BUF,RB,31,0.0062,+16029
BUF,QB,13,0.0026,+38362
BUF,TE,8,0.0016,+62400
CAR,EDGE,1434,0.2868,+249
CAR,TE,1110,0.222,+350
CAR,WR,1081,0.2162,+363
CAR,OT,718,0.1436,+596
CAR,DT,280,0.056,+1686
CAR,S,145,0.029,+3348
CAR,CB,114,0.0228,+4286
CAR,RB,72,0.0144,+6844
CAR,IOL,29,0.0058,+17141
CAR,LB,16,0.0032,+31150
CAR,QB,1,0.0002,+499900
CHI,DT,2860,0.572,-134
CHI,S,1114,0.2228,+349
CHI,CB,322,0.0644,+1453
CHI,OT,229,0.0458,+2083
CHI,WR,197,0.0394,+2438
CHI,EDGE,166,0.0332,+2912
CHI,RB,40,0.008,+12400
CHI,LB,27,0.0054,+18419
CHI,IOL,19,0.0038,+26216
CHI,TE,16,0.0032,+31150
CHI,QB,10,0.002,+49900
CIN,S,2411,0.4822,+107
CIN,LB,876,0.1752,+471
CIN,OT,543,0.1086,+821
CIN,IOL,295,0.059,+1595
CIN,CB,287,0.0574,+1642
CIN,WR,269,0.0538,+1759
CIN,EDGE,159,0.0318,+3045
CIN,RB,111,0.0222,+4405
CIN,TE,48,0.0096,+10317
CIN,QB,1,0.0002,+499900
CLE,WR,4049,0.8098,-426
CLE,OT,3991,0.7982,-396
CLE,EDGE,486,0.0972,+929
CLE,RB,270,0.054,+1752
CLE,CB,258,0.0516,+1838
CLE,LB,237,0.0474,+2010
CLE,IOL,229,0.0458,+2083
CLE,S,209,0.0418,+2292
CLE,DT,140,0.028,+3471
CLE,QB,98,0.0196,+5002
CLE,TE,33,0.0066,+15052
DAL,CB,3447,0.6894,-222
DAL,EDGE,1916,0.3832,+161
DAL,S,1547,0.3094,+223
DAL,OT,1013,0.2026,+394
DAL,LB,700,0.14,+614
DAL,WR,483,0.0966,+935
DAL,DT,475,0.095,+953
DAL,RB,208,0.0416,+2304
DAL,TE,111,0.0222,+4405
DAL,IOL,98,0.0196,+5002
DAL,QB,2,0.0004,+249900
DET,OT,3979,0.7958,-390
DET,EDGE,265,0.053,+1787
DET,DT,167,0.0334,+2894
DET,S,151,0.0302,+3211
DET,WR,122,0.0244,+3998
DET,RB,97,0.0194,+5055
DET,TE,81,0.0162,+6073
DET,IOL,61,0.0122,+8097
DET,LB,43,0.0086,+11528
DET,CB,34,0.0068,+14606
HOU,OT,1944,0.3888,+157
HOU,DT,1847,0.3694,+171
HOU,IOL,302,0.0604,+1556
HOU,EDGE,241,0.0482,+1975
HOU,CB,211,0.0422,+2270
HOU,WR,159,0.0318,+3045
HOU,RB,135,0.027,+3604
HOU,LB,69,0.0138,+7146
HOU,S,34,0.0068,+14606
HOU,QB,30,0.006,+16567
HOU,TE,28,0.0056,+17757
KC,CB,3013,0.6026,-152
KC,EDGE,2960,0.592,-145
KC,OT,1719,0.3438,+191
KC,WR,1079,0.2158,+363
KC,S,793,0.1586,+531
KC,LB,153,0.0306,+3168
KC,DT,124,0.0248,+3932
KC,RB,52,0.0104,+9515
KC,IOL,46,0.0092,+10770
KC,TE,35,0.007,+14186
KC,QB,26,0.0052,+19131
LAC,EDGE,1874,0.3748,+167
LAC,WR,1311,0.2622,+281
LAC,DT,677,0.1354,+639
LAC,S,557,0.1114,+798
LAC,OT,262,0.0524,+1808
LAC,IOL,189,0.0378,+2546
LAC,CB,58,0.0116,+8521
LAC,RB,42,0.0084,+11805
LAC,TE,15,0.003,+33233
LAC,LB,12,0.0024,+41567
LAC,QB,3,0.0006,+166567
LAR,OT,2255,0.451,+122
LAR,WR,2185,0.437,+129
LAR,LB,158,0.0316,+3065
LAR,EDGE,108,0.0216,+4530
LAR,RB,73,0.0146,+6749
LAR,IOL,58,0.0116,+8521
LAR,CB,56,0.0112,+8829
LAR,S,55,0.011,+8991
LAR,TE,51,0.0102,+9704
LAR,QB,1,0.0002,+499900
LV,QB,5000,1.0,-inf
MIA,CB,2909,0.5818,-139
MIA,WR,2547,0.5094,-104
MIA,EDGE,1771,0.3542,+182
MIA,IOL,1135,0.227,+341
MIA,S,527,0.1054,+849
MIA,OT,383,0.0766,+1205
MIA,TE,315,0.063,+1487
MIA,DT,175,0.035,+2757
MIA,LB,143,0.0286,+3397
MIA,RB,68,0.0136,+7253
MIA,QB,27,0.0054,+18419
MIN,S,3464,0.6928,-226
MIN,RB,356,0.0712,+1304
MIN,CB,321,0.0642,+1458
MIN,OT,238,0.0476,+2001
MIN,DT,205,0.041,+2339
MIN,EDGE,145,0.029,+3348
MIN,WR,121,0.0242,+4032
MIN,TE,82,0.0164,+5998
MIN,IOL,44,0.0088,+11264
MIN,LB,24,0.0048,+20733
NE,EDGE,2216,0.4432,+126
NE,DT,887,0.1774,+464
NE,OT,879,0.1758,+469
NE,WR,426,0.0852,+1074
NE,LB,188,0.0376,+2560
NE,CB,177,0.0354,+2725
NE,TE,122,0.0244,+3998
NE,QB,40,0.008,+12400
NE,IOL,33,0.0066,+15052
NE,RB,18,0.0036,+27678
NE,S,14,0.0028,+35614
NO,CB,1961,0.3922,+155
NO,WR,1282,0.2564,+290
NO,EDGE,1153,0.2306,+334
NO,LB,232,0.0464,+2055
NO,OT,192,0.0384,+2504
NO,S,92,0.0184,+5335
NO,RB,68,0.0136,+7253
NO,IOL,18,0.0036,+27678
NO,TE,2,0.0004,+249900
NYG,WR,1275,0.255,+292
NYG,LB,1252,0.2504,+299
NYG,OT,963,0.1926,+419
NYG,S,699,0.1398,+615
NYG,RB,654,0.1308,+665
NYG,EDGE,115,0.023,+4248
NYG,CB,42,0.0084,+11805
NYJ,EDGE,3404,0.6808,-213
NYJ,LB,2750,0.55,-122
NYJ,WR,1920,0.384,+160
NYJ,IOL,472,0.0944,+959
NYJ,CB,440,0.088,+1036
NYJ,OT,430,0.086,+1063
NYJ,S,185,0.037,+2603
NYJ,RB,153,0.0306,+3168
NYJ,TE,127,0.0254,+3837
NYJ,QB,113,0.0226,+4325
NYJ,DT,6,0.0012,+83233
PHI,OT,2138,0.4276,+134
PHI,WR,1469,0.2938,+240
PHI,EDGE,861,0.1722,+481
PHI,S,319,0.0638,+1467
PHI,DT,62,0.0124,+7965
PHI,TE,53,0.0106,+9334
PHI,CB,41,0.0082,+12095
PHI,RB,25,0.005,+19900
PHI,LB,18,0.0036,+27678
PHI,IOL,11,0.0022,+45355
PHI,QB,3,0.0006,+166567
PIT,OT,3005,0.601,-151
PIT,WR,962,0.1924,+420
PIT,CB,453,0.0906,+1004
PIT,RB,180,0.036,+2678
PIT,EDGE,124,0.0248,+3932
PIT,QB,88,0.0176,+5582
PIT,S,78,0.0156,+6310
PIT,IOL,56,0.0112,+8829
PIT,DT,31,0.0062,+16029
PIT,LB,13,0.0026,+38362
PIT,TE,10,0.002,+49900
SEA,CB,2187,0.4374,+129
SEA,EDGE,1882,0.3764,+166
SEA,IOL,385,0.077,+1199
SEA,LB,139,0.0278,+3497
SEA,OT,110,0.022,+4445
SEA,DT,105,0.021,+4662
SEA,WR,54,0.0108,+9159
SEA,QB,48,0.0096,+10317
SEA,RB,46,0.0092,+10770
SEA,S,30,0.006,+16567
SEA,TE,14,0.0028,+35614
SF,OT,1613,0.3226,+210
SF,WR,1300,0.26,+285
SF,EDGE,1171,0.2342,+327
SF,CB,313,0.0626,+1497
SF,IOL,217,0.0434,+2204
SF,S,145,0.029,+3348
SF,DT,132,0.0264,+3688
SF,LB,53,0.0106,+9334
SF,RB,28,0.0056,+17757
SF,TE,21,0.0042,+23710
SF,QB,7,0.0014,+71329
TB,EDGE,2430,0.486,+106
TB,TE,1121,0.2242,+346
TB,CB,533,0.1066,+838
TB,IOL,374,0.0748,+1237
TB,OT,235,0.047,+2028
TB,WR,115,0.023,+4248
TB,RB,74,0.0148,+6657
TB,S,74,0.0148,+6657
TB,LB,44,0.0088,+11264
TEN,RB,1624,0.3248,+208
TEN,EDGE,1541,0.3082,+224
TEN,LB,965,0.193,+418
TEN,WR,706,0.1412,+608
TEN,OT,113,0.0226,+4325
TEN,S,32,0.0064,+15525
TEN,CB,19,0.0038,+26216
WAS,EDGE,1789,0.3578,+179
WAS,WR,1160,0.232,+331
WAS,LB,797,0.1594,+527
WAS,S,506,0.1012,+888
WAS,RB,400,0.08,+1150
WAS,OT,181,0.0362,+2662
WAS,CB,159,0.0318,+3045
WAS,TE,6,0.0012,+83233
WAS,IOL,2,0.0004,+249900
