position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.564,-129,0.43600000000000005,+129,6.335
OT,5.5,0.2676,+274,0.7323999999999999,-274,5.9162
WR,5.5,0.3364,+197,0.6636,-197,5.6234
CB,3.5,0.4774,+109,0.5226,-109,3.5202
S,2.5,0.2896,+245,0.7103999999999999,-245,2.6942
LB,2.5,0.8726,-685,0.12739999999999996,+685,2.1048
DT,1.5,0.2878,+247,0.7121999999999999,-247,1.8027794808910689
IOL,1.5,0.7434,-290,0.25660000000000005,+290,1.2156569965870307
QB,1.5,0.8978,-878,0.10219999999999996,+878,1.1024
RB,1.5,0.9836,-5998,0.01639999999999997,+5998,1.011059722501508
TE,1.5,0.7942,-386,0.20579999999999998,+386,1.0
