team,position,count,probability
ARI,OT,1873,0.3746
ARI,LB,1482,0.2964
ARI,EDGE,1454,0.2908
ARI,RB,110,0.022
ARI,WR,38,0.0076
ARI,CB,31,0.0062
ARI,S,12,0.0024
BAL,WR,2101,0.4202
BAL,IOL,1399,0.2798
BAL,TE,562,0.1124
BAL,OT,374,0.0748
BAL,EDGE,257,0.0514
BAL,RB,93,0.0186
BAL,S,82,0.0164
BAL,CB,77,0.0154
BAL,LB,54,0.0108
BAL,QB,1,0.0002
BUF,EDGE,1753,0.3506
BUF,WR,1706,0.3412
BUF,DT,648,0.1296
BUF,IOL,227,0.0454
BUF,OT,201,0.0402
BUF,S,196,0.0392
BUF,CB,138,0.0276
BUF,LB,79,0.0158
BUF,RB,31,0.0062
BUF,QB,13,0.0026
BUF,TE,8,0.0016
CAR,EDGE,1434,0.2868
CAR,TE,1110,0.222
CAR,WR,1081,0.2162
CAR,OT,718,0.1436
CAR,DT,280,0.056
CAR,S,145,0.029
CAR,CB,114,0.0228
CAR,RB,72,0.0144
CAR,IOL,29,0.0058
CAR,LB,16,0.0032
CAR,QB,1,0.0002
CHI,DT,2860,0.572
CHI,S,1114,0.2228
CHI,CB,322,0.0644
CHI,OT,229,0.0458
CHI,WR,197,0.0394
CHI,EDGE,166,0.0332
CHI,RB,40,0.008
CHI,LB,27,0.0054
CHI,IOL,19,0.0038
CHI,TE,16,0.0032
CHI,QB,10,0.002
CIN,S,2411,0.4822
CIN,LB,876,0.1752
CIN,OT,543,0.1086
CIN,IOL,295,0.059
CIN,CB,287,0.0574
CIN,WR,269,0.0538
CIN,EDGE,159,0.0318
CIN,RB,111,0.0222
CIN,TE,48,0.0096
CIN,QB,1,0.0002
CLE,WR,4049,0.8098
CLE,OT,3991,0.7982
CLE,EDGE,486,0.0972
CLE,RB,270,0.054
CLE,CB,258,0.0516
CLE,LB,237,0.0474
CLE,IOL,229,0.0458
CLE,S,209,0.0418
CLE,DT,140,0.028
CLE,QB,98,0.0196
CLE,TE,33,0.0066
DAL,CB,3447,0.6894
DAL,EDGE,1916,0.3832
DAL,S,1547,0.3094
DAL,OT,1013,0.2026
DAL,LB,700,0.14
DAL,WR,483,0.0966
DAL,DT,475,0.095
DAL,RB,208,0.0416
DAL,TE,111,0.0222
DAL,IOL,98,0.0196
DAL,QB,2,0.0004
DET,OT,3979,0.7958
DET,EDGE,265,0.053
DET,DT,167,0.0334
DET,S,151,0.0302
DET,WR,122,0.0244
DET,RB,97,0.0194
DET,TE,81,0.0162
DET,IOL,61,0.0122
DET,LB,43,0.0086
DET,CB,34,0.0068
HOU,OT,1944,0.3888
HOU,DT,1847,0.3694
HOU,IOL,302,0.0604
HOU,EDGE,241,0.0482
HOU,CB,211,0.0422
HOU,WR,159,0.0318
HOU,RB,135,0.027
HOU,LB,69,0.0138
HOU,S,34,0.0068
HOU,QB,30,0.006
HOU,TE,28,0.0056
KC,CB,3013,0.6026
KC,EDGE,2960,0.592
KC,OT,1719,0.3438
KC,WR,1079,0.2158
KC,S,793,0.1586
KC,LB,153,0.0306
KC,DT,124,0.0248
KC,RB,52,0.0104
KC,IOL,46,0.0092
KC,TE,35,0.007
KC,QB,26,0.0052
LAC,EDGE,1874,0.3748
LAC,WR,1311,0.2622
LAC,DT,677,0.1354
LAC,S,557,0.1114
LAC,OT,262,0.0524
LAC,IOL,189,0.0378
LAC,CB,58,0.0116
LAC,RB,42,0.0084
LAC,TE,15,0.003
LAC,LB,12,0.0024
LAC,QB,3,0.0006
LAR,OT,2255,0.451
LAR,WR,2185,0.437
LAR,LB,158,0.0316
LAR,EDGE,108,0.0216
LAR,RB,73,0.0146
LAR,IOL,58,0.0116
LAR,CB,56,0.0112
LAR,S,55,0.011
LAR,TE,51,0.0102
LAR,QB,1,0.0002
LV,QB,5000,1.0
MIA,CB,2909,0.5818
MIA,WR,2547,0.5094
MIA,EDGE,1771,0.3542
MIA,IOL,1135,0.227
MIA,S,527,0.1054
MIA,OT,383,0.0766
MIA,TE,315,0.063
MIA,DT,175,0.035
MIA,LB,143,0.0286
MIA,RB,68,0.0136
MIA,QB,27,0.0054
MIN,S,3464,0.6928
MIN,RB,356,0.0712
MIN,CB,321,0.0642
MIN,OT,238,0.0476
MIN,DT,205,0.041
MIN,EDGE,145,0.029
MIN,WR,121,0.0242
MIN,TE,82,0.0164
MIN,IOL,44,0.0088
MIN,LB,24,0.0048
NE,EDGE,2216,0.4432
NE,DT,887,0.1774
NE,OT,879,0.1758
NE,WR,426,0.0852
NE,LB,188,0.0376
NE,CB,177,0.0354
NE,TE,122,0.0244
NE,QB,40,0.008
NE,IOL,33,0.0066
NE,RB,18,0.0036
NE,S,14,0.0028
NO,CB,1961,0.3922
NO,WR,1282,0.2564
NO,EDGE,1153,0.2306
NO,LB,232,0.0464
NO,OT,192,0.0384
NO,S,92,0.0184
NO,RB,68,0.0136
NO,IOL,18,0.0036
NO,TE,2,0.0004
NYG,WR,1275,0.255
NYG,LB,1252,0.2504
NYG,OT,963,0.1926
NYG,S,699,0.1398
NYG,RB,654,0.1308
NYG,EDGE,115,0.023
NYG,CB,42,0.0084
NYJ,EDGE,3404,0.6808
NYJ,LB,2750,0.55
NYJ,WR,1920,0.384
NYJ,IOL,472,0.0944
NYJ,CB,440,0.088
NYJ,OT,430,0.086
NYJ,S,185,0.037
NYJ,RB,153,0.0306
NYJ,TE,127,0.0254
NYJ,QB,113,0.0226
NYJ,DT,6,0.0012
PHI,OT,2138,0.4276
PHI,WR,1469,0.2938
PHI,EDGE,861,0.1722
