season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Chuba Hubbard,chuba hubbard,CAR,19792,15261.0,chuba-hubbard.php,9.41,10.42,11.42,2.01,14.67,0.04,14.91,57.48,0.35,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tony Pollard,tony pollard,TEN,18705,14085.0,tony-pollard.php,8.84,9.91,10.98,2.14,15.04,0.06,12.4,51.7,0.33,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jordan Mason,jordan mason,MIN,22969,15972.0,jordan-mason.php,9.56,10.26,10.96,1.4,9.02,0.06,11.4,59.4,0.4,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Zack Moss,zack moss,FA,19263,14798.0,zack-moss.php,8.78,9.72,10.66,1.88,13.53,0.1,11.68,46.93,0.37,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Brian Robinson Jr.,brian robinson,ATL,20094,15716.0,brian-robinson-jr.php,8.72,9.58,10.43,1.7,13.83,0.1,12.56,50.46,0.31,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jaylen Warren,jaylen warren,PIT,24209,15742.0,jaylen-warren.php,7.31,8.75,10.2,2.89,20.76,0.08,7.62,36.42,0.21,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Austin Ekeler,austin ekeler,FA,16483,13404.0,austin-ekeler.php,7.21,8.68,10.14,2.93,23.19,0.12,7.77,31.43,0.21,,,,,,0.11,0.0,0.0
2024,1,fantasypros_api,STD,RB,Chase Brown,chase brown,CIN,25324,16181.0,chase-brown.php,7.66,8.87,10.08,2.42,20.11,0.11,8.98,36.61,0.23,,,,,,0.04,0.0,0.0
2024,1,fantasypros_api,STD,RB,Gus Edwards,gus edwards,FA,17687,13850.0,gus-edwards.php,8.76,9.24,9.72,0.95,7.62,0.02,12.61,53.71,0.44,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,J.K. Dobbins,jk dobbins,DEN,19245,14800.0,jk-dobbins.php,7.97,8.83,9.7,1.73,12.95,0.12,10.66,42.5,0.3,,,,,,0.04,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tyjae Spears,tyjae spears,TEN,25323,16165.0,tyjae-spears.php,7.17,8.35,9.53,2.36,18.75,0.1,8.66,35.25,0.21,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ezekiel Elliott,ezekiel elliott,FA,15498,12625.0,ezekiel-elliott.php,7.36,8.21,9.06,1.7,11.14,0.06,11.11,41.58,0.31,,,,,,0.06,0.0,0.0
2024,1,fantasypros_api,STD,RB,Antonio Gibson,antonio gibson,FA,19624,14852.0,antonio-gibson.php,5.93,7.09,8.25,2.32,18.41,0.07,7.73,29.32,0.14,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jaleel McLaughlin,jaleel mclaughlin,DEN,25876,16390.0,jaleel-mclaughlin.php,5.77,6.82,7.86,2.09,15.15,0.08,6.65,30.63,0.13,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Zach Charbonnet,zach charbonnet,SEA,23152,16169.0,zach-charbonnet.php,5.71,6.77,7.84,2.13,14.2,0.06,6.98,30.14,0.16,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Rico Dowdle,rico dowdle,PIT,19647,14823.0,rico-dowdle.php,6.41,7.12,7.83,1.41,10.7,0.07,9.44,38.77,0.19,,,,,,0.06,0.0,0.0
