season,week,home_team_abbr,away_team_abbr,home_spread,away_spread,game_total,spread_line,total_line,game_id,gameday,roof,surface,temp,wind
2023,5,BUF,JAX,-5.5,5.5,48.5,5.5,48.5,2023_05_JAX_BUF,2023-10-08,outdoors,,,
2023,6,TEN,BAL,5.5,-5.5,42.5,-5.5,42.5,2023_06_BAL_TEN,2023-10-15,outdoors,,,
2023,10,NE,IND,1.0,-1.0,42.0,-1.0,42.0,2023_10_IND_NE,2023-11-12,outdoors,grass,,
2023,12,NYJ,MIA,9.5,-9.5,40.0,-9.5,40.0,2023_12_MIA_NYJ,2023-11-24,outdoors,fieldturf,48.0,11.0
2023,13,PHI,SF,3.0,-3.0,46.5,-3.0,46.5,2023_13_SF_PHI,2023-12-03,outdoors,grass,52.0,44.0
2023,15,LV,LAC,-3.0,3.0,36.0,3.0,36.0,2023_15_LAC_LV,2023-12-14,dome,grass,,
2023,15,CAR,ATL,3.0,-3.0,32.0,-3.0,32.0,2023_15_ATL_CAR,2023-12-17,outdoors,grass,47.0,11.0
2023,15,CLE,CHI,-3.0,3.0,38.0,3.0,38.0,2023_15_CHI_CLE,2023-12-17,outdoors,grass,45.0,15.0
2023,15,GB,TB,-4.0,4.0,41.5,4.0,41.5,2023_15_TB_GB,2023-12-17,outdoors,grass,42.0,8.0
2023,15,TEN,HOU,-3.0,3.0,38.0,3.0,38.0,2023_15_HOU_TEN,2023-12-17,outdoors,grass,48.0,9.0
2023,15,MIA,NYJ,-7.5,7.5,36.0,7.5,36.0,2023_15_NYJ_MIA,2023-12-17,outdoors,grass,76.0,15.0
2023,15,NO,NYG,-6.0,6.0,39.5,6.0,39.5,2023_15_NYG_NO,2023-12-17,dome,sportturf,,
2023,15,ARI,SF,12.5,-12.5,48.0,-12.5,48.0,2023_15_SF_ARI,2023-12-17,open,grass,,
2023,16,KC,LV,-11.0,11.0,40.5,11.0,40.5,2023_16_LV_KC,2023-12-25,outdoors,grass,38.0,11.0
2023,16,PHI,NYG,-14.0,14.0,41.0,14.0,41.0,2023_16_NYG_PHI,2023-12-25,outdoors,grass,51.0,5.0
2023,17,CLE,NYJ,-6.5,6.5,33.5,6.5,33.5,2023_17_NYJ_CLE,2023-12-28,outdoors,grass,47.0,6.0
2023,17,DAL,DET,-5.5,5.5,53.0,5.5,53.0,2023_17_DET_DAL,2023-12-30,closed,matrixturf,,
2023,17,CHI,ATL,-3.0,3.0,39.0,3.0,39.0,2023_17_ATL_CHI,2023-12-31,outdoors,grass,32.0,5.0
2023,17,BAL,MIA,-3.0,3.0,47.0,3.0,47.0,2023_17_MIA_BAL,2023-12-31,outdoors,grass,50.0,7.0
2023,17,BUF,NE,-15.0,15.0,40.0,15.0,40.0,2023_17_NE_BUF,2023-12-31,outdoors,a_turf,35.0,4.0
2023,17,HOU,TEN,-5.0,5.0,44.0,5.0,44.0,2023_17_TEN_HOU,2023-12-31,closed,astroturf,,
2023,18,NO,ATL,-3.5,3.5,41.5,3.5,41.5,2023_18_ATL_NO,2024-01-07,dome,sportturf,,
2023,18,CAR,TB,5.0,-5.0,36.5,-5.0,36.5,2023_18_TB_CAR,2024-01-07,outdoors,grass,54.0,19.0
2023,18,GB,CHI,-2.5,2.5,45.5,2.5,45.5,2023_18_CHI_GB,2024-01-07,outdoors,grass,34.0,7.0
2023,18,WAS,DAL,13.0,-13.0,47.5,-13.0,47.5,2023_18_DAL_WAS,2024-01-07,outdoors,grass,48.0,13.0
2023,18,NYG,PHI,4.5,-4.5,43.0,-4.5,43.0,2023_18_PHI_NYG,2024-01-07,outdoors,fieldturf,36.0,12.0
