player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Derek Carr,8671,QB,LV,1,66.7,48,54,8.1,2.82,0,2,3.4,53.7,29,0,13,9.4,58,3,0.09,16,23,81.6,76.2,73.2,65.9,0,1,62,0,43.1,23.1,69.2,5.2,3,1,1,5,1,0,0.0,310,5.7
Ben Roethlisberger,1732,QB,PIT,1,72.7,44,44,7.9,2.03,0,3,6.5,65.9,29,0,8,9.4,46,3,-0.1,15,25,31.1,35.8,42.3,37.3,0,0,48,0,43.5,25.0,92.5,4.3,2,0,0,0,2,4,8.3,215,4.9
Jalen Hurts,40291,QB,PHI,1,60.0,40,43,11.4,2.98,1,2,4.3,53.5,23,0,18,4.2,46,1,-0.15,11,24,81.4,45.3,41.2,68.2,1,2,50,0,28.3,11.1,60.0,4.3,2,1,0,1,1,5,10.0,258,6.0
Dak Prescott,10769,QB,DAL,1,64.1,39,43,9.2,3.06,1,2,4.3,53.5,23,0,25,8.0,52,2,-0.17,12,9,35.2,59.3,61.3,50.0,1,1,55,1,36.5,20.0,69.3,9.6,5,3,1,1,1,3,5.5,254,5.9
Patrick Mahomes,11765,QB,KC,1,83.8,37,39,5.9,2.64,0,4,10.3,76.9,30,0,11,3.2,46,1,0.41,18,16,79.9,78.0,77.6,61.4,0,1,46,0,50.0,27.3,138.2,6.5,3,3,0,2,5,0,0.0,404,10.4
Mac Jones,60323,QB,NE,1,80.0,35,38,7.7,2.81,0,2,5.1,63.2,24,0,14,14.3,43,4,0.15,14,19,79.6,76.6,76.0,66.0,0,2,44,1,37.2,21.4,75.8,7.0,3,2,1,2,2,1,2.3,232,6.1
Tom Brady,698,QB,TB,1,88.9,36,37,4.9,2.2,0,1,2.6,78.4,29,0,6,9.4,41,3,0.09,14,30,79.3,78.5,76.9,,0,0,42,0,53.7,66.7,115.2,9.8,4,0,0,1,2,0,0.0,271,7.3
Joe Burrow,28022,QB,CIN,1,87.5,32,34,9.3,2.67,0,1,2.9,70.6,24,0,13,14.3,36,4,0.25,14,7,78.9,89.7,87.7,60.0,0,0,36,0,52.8,15.4,110.4,5.6,2,0,0,2,2,0,0.0,244,7.2
Kyler Murray,38334,QB,ARZ,1,57.6,33,34,7.6,2.8,0,2,5.6,55.9,19,0,15,0.0,37,0,-0.44,8,1,79.1,60.4,60.0,59.5,1,2,39,0,35.1,13.3,40.9,5.4,2,1,0,0,0,2,5.1,137,4.0
Jimmy Garoppolo,8697,QB,SF,1,72.7,22,25,6.4,2.68,2,0,0.0,64.0,16,0,11,0.0,26,0,0.02,10,28,76.8,54.5,59.5,58.3,0,1,27,3,42.3,0.0,67.4,0.0,0,1,0,1,0,2,7.4,172,6.9
Josh Allen,46601,QB,BUF,1,91.7,24,25,10.0,3.11,1,3,11.1,84.0,21,0,7,4.5,29,1,1.01,14,4,78.3,94.8,90.7,91.1,0,0,31,0,72.4,0.0,157.6,0.0,0,3,0,0,5,0,0.0,308,12.3
Matthew Stafford,4924,QB,LA,1,94.1,17,17,10.5,2.79,0,1,5.0,76.5,13,0,4,18.8,21,3,0.57,10,26,77.0,90.3,90.6,65.7,0,0,24,0,61.9,25.0,154.5,4.8,1,3,0,0,2,1,4.2,202,11.9
Odell Beckham Jr.,8647,WR,LA,1,100.0,1,1,27.0,3.0,0,1,100.0,100.0,1,0,1,0.0,1,0,1.41,1,26,68.8,89.9,79.9,,0,0,1,0,100.0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,40,40.0
Bryan Anger,7072,P,DAL,1,100.0,1,1,8.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,3.75,1,9,60.4,70.7,67.2,,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,16,16.0
Travis Kelce,7844,TE,KC,1,100.0,1,1,7.0,2.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0.78,1,16,68.8,87.0,71.9,,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0
