pick,players_total,players_ge_1pct,players_ge_2pct,players_ge_5pct
1,1,1,1,1
2,9,5,4,2
3,11,7,6,3
4,12,7,6,6
5,12,10,7,6
6,16,11,9,5
7,17,11,8,5
8,17,10,8,6
9,19,12,10,6
10,20,14,8,4
11,22,13,9,5
12,24,15,9,3
13,25,9,6,5
14,25,13,6,5
15,25,8,6,5
16,29,19,12,5
17,27,13,8,6
18,27,10,6,3
19,29,15,8,5
20,29,18,12,7
21,34,12,9,8
22,36,12,11,7
23,31,13,11,8
24,38,15,10,6
25,37,11,5,3
26,39,17,8,6
27,40,17,12,7
28,39,14,11,4
29,40,14,7,6
30,42,17,11,6
31,43,17,10,7
32,44,14,9,5
