position,line,under_probability,under_moneyline,over_probability,over_moneyline,avg_taken_round1
EDGE,6.5,0.5548,-125,0.44520000000000004,+125,6.3744
OT,5.5,0.232,+331,0.768,-331,5.9574
WR,5.5,0.313,+219,0.687,-219,5.6526
CB,3.5,0.4956,+102,0.5044,-102,3.4892
S,2.5,0.271,+269,0.729,-269,2.717
LB,2.5,0.9014,-914,0.09860000000000002,+914,2.091
DT,1.5,0.3076,+225,0.6924,-225,1.7566959721938253
IOL,1.5,0.81,-426,0.18999999999999995,+426,1.1589058258509084
QB,1.5,0.9372,-1492,0.06279999999999997,+1492,1.0628
RB,1.5,0.993,-14186,0.007000000000000006,+14186,1.0068013602720545
TE,1.5,0.8206,-457,0.1794,+457,1.0
