position,avg_taken_round1,min,max
EDGE,6.3744,4,8
OT,5.9574,2,7
WR,5.6526,3,6
CB,3.4892,1,6
S,2.717,1,3
LB,2.091,1,4
DT,1.7566959721938253,1,4
IOL,1.1589058258509084,1,3
QB,1.0628,1,2
RB,1.0068013602720545,1,2
TE,1.0,1,1
