player,position,avg_pick
Fernando Mendoza,QB,1.0
Arvell Reese,LB,2.9264
David Bailey,EDGE,3.3284
Carnell Tate,WR,6.087
Francis Mauigoa,OT,6.8902
Rueben Bain,EDGE,8.0558
Jeremiyah Love,RB,8.422684536907381
Sonny Styles,LB,9.001211142511103
Mansoor Delane,CB,9.888155262104842
Caleb Downs,S,10.276249749046377
Makai Lemon,WR,11.610809724733775
Jermod McCoy,CB,12.518308719401173
Jordyn Tyson,WR,13.366571892770105
Spencer Fano,OT,15.294657422512234
Monroe Freeling,OT,15.733510856206474
Olaivavega Ioane,IOL,16.815599830436625
Drew Allar,QB,17.666666666666668
Dillon Thieneman,S,17.67908117752007
Keldric Faulk,EDGE,17.741962077493817
Kenyon Sadiq,TE,17.844747745552034
Garrett Nussmeier,QB,18.5
Akheem Mesidor,EDGE,19.112611676708912
Kadyn Proctor,OT,19.26895074946467
Omar Cooper Jr.,WR,20.097773897861195
Emmanuel McNeil-Warren,S,21.325970873786407
Blake Miller,OT,22.67313432835821
Caleb Lomu,OT,23.001546961325968
Kevin Concepcion,WR,23.57196550961751
Peter Woods,DT,24.403460207612458
Ty Simpson,QB,24.627831715210355
Avieon Terrell,CB,25.456432668669763
Denzel Boston,WR,26.57458303969932
T.J. Parker,EDGE,26.58365758754864
Kayden McDonald,DT,26.616262879420773
Caleb Banks,DT,28.839563862928348
Cashius Howell,EDGE,28.8551475557558
Max Iheanachor,OT,28.891937290033596
Jadarian Price,RB,29.323529411764707
Emmanuel Pregnon,IOL,29.481366459627328
C.J. Allen,LB,29.71638655462185
Jacob Rodriguez,LB,30.27777777777778
Chase Bisontis,IOL,30.415686274509802
Zion Young,EDGE,30.434734101896616
Colton Hood,CB,30.516867002714232
Malachi Lawrence,EDGE,30.78272980501393
Christen Miller,DT,30.956521739130434
R Mason Thomas,EDGE,31.06382978723404
Anthony Hill Jr.,LB,31.142857142857142
Chris Johnson,CB,31.249749247743228
Brandon Cisse,CB,31.28358208955224
Lee Hunter,DT,32.0
