team,position,count,probability
ARI,OT,1725,0.345
ARI,EDGE,1624,0.3248
ARI,LB,1540,0.308
ARI,RB,68,0.0136
ARI,WR,31,0.0062
ARI,CB,10,0.002
ARI,S,2,0.0004
BAL,WR,2223,0.4446
BAL,IOL,1524,0.3048
BAL,TE,508,0.1016
BAL,OT,325,0.065
BAL,EDGE,167,0.0334
BAL,RB,99,0.0198
BAL,S,62,0.0124
BAL,CB,49,0.0098
BAL,LB,43,0.0086
BUF,WR,1893,0.3786
BUF,EDGE,1830,0.366
BUF,DT,579,0.1158
BUF,IOL,197,0.0394
BUF,S,161,0.0322
BUF,OT,148,0.0296
BUF,CB,101,0.0202
BUF,LB,63,0.0126
BUF,RB,12,0.0024
BUF,QB,8,0.0016
BUF,TE,8,0.0016
CAR,EDGE,1543,0.3086
CAR,TE,1354,0.2708
CAR,WR,970,0.194
CAR,OT,669,0.1338
CAR,DT,191,0.0382
CAR,S,98,0.0196
CAR,CB,72,0.0144
CAR,RB,60,0.012
CAR,LB,27,0.0054
CAR,IOL,16,0.0032
CHI,DT,3057,0.6114
CHI,S,1162,0.2324
CHI,CB,258,0.0516
CHI,OT,215,0.043
CHI,WR,152,0.0304
CHI,EDGE,85,0.017
CHI,RB,21,0.0042
CHI,TE,16,0.0032
CHI,LB,14,0.0028
CHI,IOL,13,0.0026
CHI,QB,7,0.0014
CIN,S,2650,0.53
CIN,LB,939,0.1878
CIN,OT,458,0.0916
CIN,IOL,261,0.0522
CIN,CB,232,0.0464
CIN,WR,194,0.0388
CIN,EDGE,124,0.0248
CIN,RB,115,0.023
CIN,TE,27,0.0054
CLE,OT,4241,0.8482
CLE,WR,4233,0.8466
CLE,EDGE,358,0.0716
CLE,RB,240,0.048
CLE,LB,205,0.041
CLE,CB,197,0.0394
CLE,IOL,189,0.0378
CLE,S,147,0.0294
CLE,DT,106,0.0212
CLE,QB,67,0.0134
CLE,TE,17,0.0034
DAL,CB,3725,0.745
DAL,EDGE,1923,0.3846
DAL,S,1513,0.3026
DAL,OT,936,0.1872
DAL,LB,726,0.1452
DAL,DT,441,0.0882
DAL,WR,440,0.088
DAL,RB,164,0.0328
DAL,TE,72,0.0144
DAL,IOL,60,0.012
DET,OT,4250,0.85
DET,EDGE,204,0.0408
DET,S,117,0.0234
DET,DT,112,0.0224
DET,WR,83,0.0166
DET,RB,73,0.0146
DET,TE,67,0.0134
DET,IOL,50,0.01
DET,LB,35,0.007
DET,CB,9,0.0018
HOU,DT,2056,0.4112
HOU,OT,1961,0.3922
HOU,IOL,303,0.0606
HOU,EDGE,197,0.0394
HOU,CB,186,0.0372
HOU,WR,138,0.0276
HOU,RB,67,0.0134
HOU,LB,44,0.0088
HOU,TE,19,0.0038
HOU,QB,15,0.003
HOU,S,14,0.0028
KC,CB,3158,0.6316
KC,EDGE,2998,0.5996
KC,OT,1684,0.3368
KC,WR,1055,0.211
KC,S,831,0.1662
KC,LB,107,0.0214
KC,DT,74,0.0148
KC,RB,37,0.0074
KC,TE,21,0.0042
KC,IOL,19,0.0038
KC,QB,16,0.0032
LAC,EDGE,1893,0.3786
LAC,WR,1381,0.2762
LAC,DT,664,0.1328
LAC,S,576,0.1152
LAC,IOL,200,0.04
LAC,OT,189,0.0378
LAC,CB,51,0.0102
LAC,LB,17,0.0034
LAC,RB,16,0.0032
LAC,TE,10,0.002
LAC,QB,3,0.0006
LAR,OT,2366,0.4732
LAR,WR,2287,0.4574
LAR,LB,99,0.0198
LAR,RB,61,0.0122
LAR,S,47,0.0094
LAR,EDGE,39,0.0078
