player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kimani Vidal,123727,HB,LAC,1,23,5,2,33.3,39,0,117,0,0,5,73,66.1,3,8,27,0,11,78.3,80.3,76.8,,77.1,61.6,77.1,72.4,21,0,10,1,18,24,0,0,2,24,1,117,73,3.17,5.1,0.56,12
Derrick Henry,10679,HB,BLT,1,21,1,0,0.0,0,0,71,1,0,1,52,11.8,1,6,3,0,5,77.4,52.9,74.3,,78.4,28.3,58.3,60.0,10,0,0,0,10,24,0,0,1,21,2,71,52,2.48,3.4,0.0,16
James Cook,83666,HB,BUF,1,19,7,3,50.5,109,0,216,0,0,7,53,102.8,7,10,4,0,4,77.1,92.6,72.3,,,53.4,91.7,,64,0,0,0,8,20,0,0,0,19,2,216,53,2.79,11.4,0.0,15
Breece Hall,97636,HB,NYJ,1,18,3,2,46.6,62,0,133,0,0,3,71,59.2,4,6,22,0,8,77.1,69.1,0.0,55.1,22.3,66.3,75.0,60.0,35,1,14,2,15,20,0,0,2,20,2,133,71,3.94,7.4,0.93,10
De'Von Achane,124305,HB,MIA,1,18,2,0,0.0,0,0,67,0,0,2,39,18.8,3,4,17,0,10,77.6,69.7,77.9,,25.8,74.6,65.2,58.2,12,0,24,5,19,24,0,0,6,23,0,67,39,2.17,3.7,1.26,8
Nick Chubb,45783,HB,HST,1,17,2,0,0.0,0,0,56,0,1,2,36,33.4,0,0,13,0,9,76.9,67.2,74.3,,28.8,60.9,68.5,60.0,9,0,13,2,9,19,0,0,2,19,0,56,36,2.12,3.3,1.44,6
J.K. Dobbins,57366,HB,DEN,1,15,3,4,68.5,76,0,111,0,0,3,49,57.6,4,5,10,0,12,76.2,83.8,75.5,,79.9,59.6,84.0,,25,0,10,2,13,16,0,0,2,17,0,111,49,3.27,7.4,0.77,3
Rhamondre Stevenson,98689,HB,NE,1,14,3,0,0.0,0,0,34,0,0,3,44,62.9,0,0,19,0,8,75.3,60.5,79.0,,68.2,68.7,56.3,60.0,9,0,15,1,24,17,0,0,2,15,0,34,44,3.14,2.4,0.63,6
Saquon Barkley,45791,HB,PHI,1,14,3,2,62.0,93,0,150,0,0,3,34,40.5,3,4,24,0,9,76.0,83.1,76.1,,73.8,66.4,84.2,60.0,65,0,24,4,18,15,0,0,4,18,1,150,34,2.43,10.7,1.33,5
Rachaad White,131633,HB,TB,1,13,1,0,0.0,0,0,35,0,0,1,34,17.4,0,2,30,0,11,75.2,59.6,75.2,,50.0,77.0,56.6,,9,0,26,2,12,13,0,0,2,15,0,35,34,2.62,2.7,2.17,2
Javonte Williams,77803,HB,DAL,1,13,3,0,0.0,0,0,41,0,0,3,28,46.2,0,4,9,0,5,74.9,52.6,78.7,,52.3,53.4,54.1,60.0,9,0,8,1,23,15,0,0,2,14,2,41,28,2.15,3.2,0.35,8
Josh Jacobs,45953,HB,GB,1,13,2,0,0.0,0,0,33,0,0,2,26,25.0,0,1,12,0,5,75.4,45.2,77.1,,28.7,61.6,45.9,,6,0,12,3,14,13,0,0,3,16,1,33,26,2.0,2.5,0.86,8
Jaylen Warren,98692,HB,PIT,1,13,0,1,27.4,17,0,62,0,2,0,28,28.7,1,2,25,0,1,75.2,62.8,77.5,,73.4,64.0,61.5,,17,0,11,2,23,13,0,0,2,15,0,62,28,2.15,4.8,0.48,12
Isiah Pacheco,83747,HB,KC,1,12,1,0,0.0,0,0,58,0,0,1,38,26.4,2,3,16,0,5,74.3,59.1,78.0,,77.9,50.9,61.3,60.0,13,0,0,0,24,13,0,0,0,12,0,58,38,3.17,4.8,0.0,5
Chase Brown,77787,HB,CIN,1,12,4,1,30.1,22,0,73,0,1,4,44,122.2,4,5,7,0,5,75.2,86.9,76.1,,76.4,90.0,80.5,,22,0,32,3,17,12,0,0,3,15,1,73,44,3.67,6.1,1.88,6
Sean Tucker,123056,HB,TB,1,12,2,1,35.7,15,0,42,0,0,2,31,43.1,1,3,30,1,9,23.6,55.3,73.0,,77.1,55.6,55.9,,15,0,0,0,5,13,0,0,0,12,1,42,31,2.58,3.5,0.0,3
Jonathan Taylor,57488,HB,IND,1,12,7,3,73.9,113,0,153,0,1,7,123,585.7,5,7,14,0,6,75.2,91.1,78.1,,55.9,80.1,90.8,,80,0,21,2,24,13,0,0,2,14,2,153,123,10.25,12.8,0.88,6
Chuba Hubbard,57373,HB,CAR,1,12,5,0,0.0,0,0,34,0,0,5,24,83.3,0,2,5,0,3,74.9,64.8,75.4,,33.0,50.8,70.6,60.0,5,0,0,0,16,14,0,0,1,12,1,34,24,2.0,2.8,0.0,9
Woody Marks,124179,HB,HST,1,11,0,1,37.1,23,0,62,0,2,0,24,29.1,2,2,13,0,5,75.2,71.9,73.8,,,73.5,69.8,60.0,23,0,49,4,17,15,0,0,4,15,0,62,24,2.18,5.6,2.88,5
Emanuel Wilson,154173,HB,GB,1,11,0,1,24.6,15,0,61,0,3,0,35,68.2,2,4,12,1,5,23.0,45.4,73.3,,15.3,29.2,58.7,,15,0,26,3,11,11,0,0,3,14,0,61,35,3.18,5.5,2.36,6
Tony Pollard,27126,HB,TEN,1,11,2,0,0.0,0,0,44,0,0,2,31,47.0,2,3,31,0,4,74.1,58.8,75.0,,46.0,59.1,59.4,60.0,11,0,9,1,17,13,0,0,2,12,0,44,31,2.82,4.0,0.53,7
D'Andre Swift,57212,HB,CHI,1,11,1,0,0.0,0,0,45,0,0,1,15,10.5,2,3,6,0,5,74.4,55.2,76.9,,16.7,67.4,60.0,,13,0,26,2,14,11,0,0,2,13,1,45,15,1.36,4.1,1.86,6
Jaret Patterson,77745,HB,LAC,1,11,1,0,0.0,0,0,30,0,0,1,31,25.6,0,2,27,0,5,73.8,61.7,70.3,,14.3,58.2,64.7,,7,0,0,0,1,11,0,0,0,11,0,30,31,2.82,2.7,0.0,6
Justin Fields,82118,QB,NYJ,1,11,0,0,0.0,0,0,15,0,0,0,4,0.0,0,3,22,0,1,80.1,77.8,79.4,80.8,,60.0,59.9,60.0,7,0,0,0,1,32,16,5,0,6,0,31,5,0.45,2.8,0.0,2
Tyrone Tracy,84226,HB,NYG,1,10,2,0,0.0,0,0,39,0,2,2,29,96.7,0,2,21,0,5,73.9,78.1,76.6,,77.0,69.0,78.8,60.0,6,0,14,2,17,13,0,0,2,12,0,39,29,2.9,3.9,0.82,5
Ollie Gordon II,157792,HB,MIA,1,10,2,0,0.0,0,0,46,0,0,2,16,29.1,2,6,17,0,6,74.3,82.8,72.8,,79.2,72.5,77.7,,13,0,20,1,5,10,0,0,1,11,0,46,16,1.6,4.6,4.0,4
TreVeyon Henderson,145059,HB,NE,1,10,5,2,60.0,45,0,75,0,0,5,44,220.0,3,6,19,1,6,22.1,62.5,70.2,,73.4,57.3,62.1,,27,0,0,0,3,10,0,0,0,10,0,75,44,4.4,7.5,0.0,2
Ray Davis,101072,HB,BUF,1,9,0,0,0.0,0,0,16,0,0,0,12,0.0,0,0,4,0,6,72.7,52.0,71.4,,73.0,72.9,50.7,60.0,5,0,0,0,3,11,0,0,1,9,0,16,12,1.33,1.8,0.0,3
Quinshon Judkins,157128,HB,CLV,1,9,1,0,0.0,0,0,19,0,0,1,15,13.9,0,0,8,0,7,73.7,55.4,72.9,,23.9,68.9,56.0,60.0,6,0,-2,3,5,10,0,0,3,12,0,19,15,1.67,2.1,-0.4,2
Jacory Croskey-Merritt,102382,HB,WAS,1,9,2,0,0.0,0,0,25,0,0,2,14,34.6,0,2,32,0,5,72.7,58.5,75.5,,76.7,53.0,59.3,59.2,5,0,0,0,13,15,0,0,0,9,0,25,14,1.56,2.8,0.0,4
Jaylen Wright,146934,HB,MIA,1,9,1,0,0.0,0,0,28,0,0,1,25,27.8,0,1,17,0,5,73.1,63.7,70.1,,,60.3,63.1,,7,0,0,1,1,9,0,0,1,10,0,28,25,2.78,3.1,0.0,4
Tank Bigsby,123974,HB,PHI,1,9,5,3,61.5,64,0,104,0,0,5,79,487.7,5,5,24,0,8,72.7,94.7,73.5,,73.4,57.0,92.1,60.0,29,0,0,0,3,12,0,0,0,9,0,104,79,8.78,11.6,0.0,1
Kareem Hunt,11841,HB,KC,1,9,0,0,0.0,0,0,40,0,0,0,22,0.0,1,4,16,0,6,73.1,72.6,77.9,,76.4,65.2,71.8,60.0,11,0,2,1,9,11,0,0,1,10,1,40,22,2.44,4.4,0.22,3
Bijan Robinson,123126,HB,ATL,1,9,0,0,0.0,0,0,25,0,0,0,18,0.0,0,1,2,1,2,19.8,42.4,74.3,,18.7,63.7,41.6,,7,0,23,3,14,9,0,0,3,12,0,25,18,2.0,2.8,1.64,7
