player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
C.J. Stroud,129759,QB,HST,1,51.2,43,47,9.0,2.92,0,0,0.0,42.6,20,0,25,9.1,52,2,-0.55,10,13,80.9,27.3,27.5,62.5,2,4,54,0,34.6,12.0,28.0,5.8,3,2,0,2,1,6,11.1,212,4.5
Bo Nix,97790,QB,DEN,1,74.4,39,46,8.2,2.86,2,4,8.3,56.5,26,0,14,10.3,50,3,0.1,15,10,40.6,80.1,78.8,66.3,1,1,52,1,48.0,0.0,87.1,0.0,0,4,0,4,3,2,3.8,279,6.1
Matthew Stafford,4924,QB,LA,1,52.6,38,42,9.8,2.82,1,3,7.0,47.6,20,0,14,0.0,46,0,-0.04,14,26,24.5,42.2,42.2,60.0,0,0,47,0,39.1,28.6,67.4,8.7,4,0,0,3,0,3,6.4,258,6.1
Caleb Williams,144622,QB,CHI,1,64.3,42,42,9.4,3.06,0,3,7.1,54.8,23,0,19,14.8,47,4,0.01,13,6,80.4,65.8,58.8,82.6,0,3,47,0,51.1,0.0,59.3,0.0,0,3,0,0,2,4,8.5,257,6.1
Josh Allen,46601,QB,BUF,1,71.8,39,39,9.5,2.91,0,3,7.7,64.1,25,0,19,10.7,46,3,0.12,15,4,22.7,73.8,75.5,59.1,0,2,46,0,45.7,15.8,90.0,6.5,3,4,0,0,3,2,4.3,283,7.3
Brock Purdy,77672,QB,SF,1,69.6,23,27,8.8,4.23,0,1,3.7,55.6,15,0,20,6.3,33,1,-0.55,11,28,27.0,59.3,56.4,65.1,1,1,33,0,36.4,10.0,54.6,6.1,2,4,0,3,0,2,6.1,140,5.2
Drake Maye,143969,QB,NE,1,65.4,26,27,10.3,2.7,1,2,7.1,59.3,16,0,8,5.9,33,1,-0.29,8,19,16.3,49.1,54.4,38.9,0,1,34,0,30.3,62.5,100.7,15.2,5,1,0,0,3,2,5.9,179,6.6
Sam Darnold,29048,QB,SEA,1,81.3,16,17,9.6,2.74,0,2,11.1,70.6,12,0,8,7.7,19,1,0.16,7,29,75.1,73.5,72.1,,0,0,20,0,52.6,25.0,110.9,10.5,2,0,0,1,1,0,0.0,124,7.3
Mac Jones,60323,QB,SF,1,50.0,4,4,8.8,3.46,0,0,0.0,50.0,2,0,1,0.0,5,0,-0.31,1,28,68.0,55.8,50.1,63.3,0,0,5,0,20.0,0.0,56.3,0.0,0,1,0,0,0,0,0.0,4,1.0
