player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jalen Hurts,40291,QB,PHI,1,80.0,35,38,11.3,3.0,0,5,12.8,71.1,27,0,12,3.6,42,1,0.27,12,24,30.3,92.2,92.9,68.5,0,0,43,1,42.9,16.7,103.4,4.8,2,2,0,3,1,0,0.0,304,8.0
Patrick Mahomes,11765,QB,KC,1,84.0,25,27,6.1,2.85,0,1,3.6,77.8,21,0,11,0.0,31,0,0.44,14,16,78.2,89.5,80.8,84.6,0,0,32,0,61.3,0.0,131.8,0.0,0,4,0,2,3,0,0.0,182,6.7
