"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",9,19.7,0.928,0.919,18.4,21.1,11.4,12.2,9.51,1,1,1,1,"1",29,NA,NA,19,5
"Derrick Henry","RB","TEN",6,18.8,1.07,1.05,17.7,20.4,10.5,11.5,8.8,2,2,3,2,"2",32,NA,NA,29,6
"Travis Kelce","TE","KC",8,16,1.13,4.05,14.5,17.2,9.55,9.25,9.39,3,5,2,1,"1",36,NA,NA,58,9
"Austin Ekeler","RB","LAC",8,17.8,1.15,0.664,16.4,19.5,9.43,10.1,7.87,4,3,5,3,"2",30,NA,NA,37,NA
"Justin Jefferson","WR","MIN",7,18,1.53,1.23,15.8,19.8,8.85,8.05,8.71,5,8,4,1,"1",26,NA,NA,49,2
"Josh Jacobs","RB","LVR",6,17.1,1.42,0.491,15.7,19.1,8.76,9.46,7.55,6,4,9,4,"3",28,NA,NA,56,3
"Jonathan Taylor","RB","IND",14,16.6,1.42,1.66,14.8,18.5,8.27,8.56,6.88,7,6,16,5,"4",27,NA,NA,53,2
"Jalen Hurts","QB","PHI",7,24.6,1.18,0.423,22.7,25.6,7.76,7.37,7.2,8,9,11,1,"1",27,NA,NA,35,2
"Ja'Marr Chase","WR","CIN",10,16.7,1.63,0.0163,15.1,18.9,7.61,7.33,7.81,9,10,6,2,"1",26,NA,NA,54,1
"Davante Adams","WR","LVR",6,16.7,1.65,0.301,14.8,18.4,7.6,6.96,7.24,10,12,10,3,"1",33,NA,NA,56,8
"Josh Allen","QB","BUF",7,24.2,0.549,0.161,23.4,24.8,7.34,8.09,6.37,11,7,19,2,"1",29,NA,NA,9,4
"Tyreek Hill","WR","MIA",11,16.4,2.31,0.77,13.6,18.9,7.3,5.86,7.8,12,21,7,4,"2",32,NA,NA,76,6
"Patrick Mahomes","QB","KC",8,24,1.82,3.03,21.8,26.2,7.17,6.42,7.79,13,15,8,3,"2",30,NA,NA,82,5
"Dalvin Cook","RB","MIN",7,15,1.15,0.05,13,16.2,6.62,6.77,4.66,14,13,38,6,"4",30,NA,NA,36,5
"Alvin Kamara","RB","NO",14,14.9,0.994,0.0669,13.5,16,6.57,7.23,4.42,15,11,42,7,"4",30,NA,NA,24,5
"A.J. Brown","WR","PHI",7,15.6,1.53,0.116,14.2,18,6.53,6.38,6.9,16,16,15,5,"2",28,NA,NA,50,3
"James Conner","RB","ARI",13,14.8,1.62,0.351,12.9,17.2,6.5,6.68,5.57,17,14,23,8,"5",31,NA,NA,66,5
"Stefon Diggs","WR","BUF",7,15.5,1.61,0.178,13.8,17.5,6.41,5.96,6.43,18,20,18,6,"2",32,NA,NA,51,7
"Amon-Ra St. Brown","WR","DET",6,15.3,2.08,0.417,13.4,18.1,6.23,5.62,6.93,19,23,13,7,"2",26,NA,NA,69,1
"Aaron Jones","RB","GB",14,14.5,1.92,0.0899,12.4,17.4,6.15,6.14,5.81,20,19,20,9,"5",31,NA,NA,80,5
"Joe Mixon","RB","CIN",10,14.4,1.08,0.552,12.6,15.6,6.06,6.32,3.98,21,17,48,10,"5",29,NA,NA,30,5
"CeeDee Lamb","WR","DAL",9,14.9,1.39,0.929,13.3,16.5,5.82,5.47,5.35,22,24,27,8,"3",27,NA,NA,47,2
"Miles Sanders","RB","PHI",7,13.9,1.42,0.0224,12,16.1,5.51,5.71,4.5,23,22,41,11,"5",29,NA,NA,54,3
"Mark Andrews","TE","BAL",10,12,2.24,1.82,9.92,14.9,5.5,4.65,7.11,24,28,12,2,"2",30,NA,NA,88,4
"Nick Chubb","RB","CLE",9,13.8,1.82,0.134,11.4,16.3,5.48,5.16,4.74,25,25,37,12,"5",30,NA,NA,71,4
"Saquon Barkley","RB","NYG",9,13.7,0.816,0.0162,12.6,14.4,5.35,6.3,2.83,26,18,65,13,"5",29,NA,NA,9,4
"Tony Pollard","RB","DAL",9,13.7,1.99,1.43,11.2,15.7,5.33,4.91,4.08,27,26,47,14,"6",29,NA,NA,87,3
"Keenan Allen","WR","LAC",8,14,3.01,0.243,10.8,18,4.89,2.96,6.92,28,46,14,9,"3",34,NA,NA,94,9
"DK Metcalf","WR","SEA",11,13.8,2.11,0.386,11.4,16.4,4.64,3.64,5.3,29,35,28,10,"4",28,NA,NA,72,3
"Tyler Lockett","WR","SEA",11,13.4,2.09,0.175,11.2,16.1,4.26,3.4,4.95,30,37,34,11,"4",33,NA,NA,71,7
"Justin Herbert","QB","LAC",8,21,0.675,0.697,20.1,21.9,4.15,4.76,3.49,31,27,56,4,"2",28,NA,NA,15,2
"DeAndre Hopkins","WR","ARI",13,13.2,1.2,0.0438,11.6,15,4.08,3.78,3.86,32,33,50,12,"4",33,NA,NA,39,9
"Jerry Jeudy","WR","DEN",9,13.2,1.89,0.0047,10.7,15.4,4.04,2.91,4.33,33,48,45,13,"4",27,NA,NA,61,2
"Garrett Wilson","WR","NYJ",10,13.1,2.15,0.0425,10.2,15.7,4.03,2.38,4.56,34,58,40,14,"4",25,NA,NA,74,0
"Christian Watson","WR","GB",14,13.1,2.88,0.0175,8.83,16.8,3.99,1.04,5.65,35,82,21,15,"4",27,NA,NA,93,0
"Chris Olave","WR","NO",14,13.1,2.65,0.176,10.3,16.5,3.97,2.52,5.37,36,53,24,16,"4",25,NA,NA,85,0
"Isiah Pacheco","RB","KC",8,12.2,2.54,0.0539,9.71,16.2,3.9,3.45,4.65,37,36,39,15,"6",27,NA,NA,97,0
"Ezekiel Elliott","RB","DAL",9,12.2,1.8,0.109,10.3,14.4,3.85,4.06,2.85,38,31,64,16,"6",30,NA,NA,70,6
"Christian Kirk","WR","JAC",11,12.9,2.62,0.00747,10.3,16.5,3.8,2.47,5.35,39,54,25,17,"4",29,NA,NA,83,4
"Terry McLaurin","WR","WAS",14,12.9,1.9,0.00354,11.5,16.2,3.79,3.69,5.1,40,34,31,18,"4",30,NA,NA,62,3
"Mike Williams","WR","LAC",8,12.9,2.76,0.0195,9.73,16.4,3.79,1.94,5.26,41,68,30,19,"4",31,NA,NA,89,5
"DeVonta Smith","WR","PHI",7,12.9,1.62,0.0599,11.7,14.9,3.77,3.87,3.74,42,32,54,20,"4",27,NA,NA,53,1
"Brian Robinson","RB","WAS",14,12.1,1.97,0.00838,9.63,15,3.74,3.37,3.39,43,38,58,17,"6",27,NA,NA,86,0
"David Montgomery","RB","CHI",14,12.1,1.95,0.154,9.33,14.3,3.73,3.07,2.76,44,43,66,18,"6",28,NA,NA,83,3
"Amari Cooper","WR","CLE",9,12.8,1.88,0.0454,10.6,15,3.71,2.77,3.85,45,50,51,21,"4",31,NA,NA,60,7
"T.J. Hockenson","TE","MIN",7,10.2,1.93,0.0863,8.54,13.5,3.68,3.27,5.62,46,39,22,3,"2",28,NA,NA,82,3
"Tee Higgins","WR","CIN",10,12.8,2.32,0.161,9.73,15.1,3.66,1.94,3.98,47,67,49,22,"4",27,NA,NA,78,2
"Dalton Schultz","TE","DAL",9,10.1,1.71,0.79,8.28,12.8,3.6,3.02,4.94,48,44,35,4,"3",29,NA,NA,76,4
"Najee Harris","RB","PIT",9,11.9,1.24,0.0998,10.8,14,3.58,4.53,2.38,49,29,68,19,"6",28,NA,NA,44,1
"Michael Pittman","WR","IND",14,12.6,2.04,0.237,10.7,16.1,3.5,2.94,5,50,47,33,23,"5",28,NA,NA,68,2
"Rachaad White","RB","TB",11,11.8,2.48,0.0839,9.34,16,3.48,3.09,4.37,51,42,43,20,"6",27,NA,NA,96,0
"Joe Burrow","QB","CIN",10,20.3,1.37,0.112,18.4,22.2,3.45,3.09,3.8,52,41,52,5,"3",29,NA,NA,50,2
"Raheem Mostert","RB","MIA",11,11.7,2.28,0.141,10.6,15.8,3.39,4.31,4.22,53,30,46,21,"6",34,NA,NA,91,NA
"Justin Fields","QB","CHI",14,20.2,1.63,0.943,18.3,22.8,3.34,2.97,4.37,54,45,44,6,"3",27,NA,NA,68,1
