"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Austin Ekeler","RB","LAC",8,19.9,1.55,1.6,17.6,21.6,13.6,13.2,13.4,1,1,1,1,"1",30,NA,NA,62,NA
"Alvin Kamara","RB","NO",14,18.3,1.35,0.748,16.6,20.1,12,12.2,11.9,2,2,2,2,"1",30,NA,NA,41,5
"Derrick Henry","RB","TEN",6,17.5,1.54,0.679,14.9,18.9,11.3,10.5,10.7,3,3,4,3,"2",32,NA,NA,60,6
"Rhamondre Stevenson","RB","NE",10,16.9,2.53,0.241,13.6,19.7,10.6,9.26,11.5,4,10,3,4,"2",28,NA,NA,93,1
"Travis Etienne","RB","JAC",11,16.6,1.82,0.174,13.9,18.6,10.4,9.47,10.4,5,9,6,5,"2",27,NA,NA,78,1
"Cooper Kupp","WR","LAR",7,18.1,1.36,0.675,16.1,19.5,10.3,10.3,9.63,6,5,8,1,"1",32,NA,NA,31,5
"Aaron Jones","RB","GB",14,16.4,1.51,0.0504,14.8,18.7,10.2,10.5,10.5,7,4,5,6,"2",31,NA,NA,57,5
"Josh Jacobs","RB","LVR",6,16.4,1.52,1.12,14.1,18.1,10.2,9.73,9.86,8,7,7,7,"3",28,NA,NA,59,3
"Justin Jefferson","WR","MIN",7,17.4,1.12,0.355,16,18.6,9.64,10.2,8.76,9,6,15,2,"1",26,NA,NA,17,2
"Travis Kelce","TE","KC",8,16,0.871,5.48,14.4,16.7,9.48,8.89,8.78,10,14,12,1,"1",36,NA,NA,36,9
"Tyreek Hill","WR","MIA",11,17.1,1.82,0.35,14.6,18.8,9.29,8.78,9.01,11,16,10,3,"1",32,NA,NA,60,6
"Joe Mixon","RB","CIN",10,15.3,1.45,0.145,13.3,16.9,9.03,8.95,8.74,12,13,16,8,"3",29,NA,NA,47,5
"Stefon Diggs","WR","BUF",7,16.7,1.39,0.77,15.3,18.6,8.94,9.49,8.77,13,8,13,4,"2",32,NA,NA,36,7
"Dalvin Cook","RB","MIN",7,15.1,1.49,0.24,13.6,17.2,8.89,9.22,8.98,14,11,11,9,"3",30,NA,NA,54,5
"Dameon Pierce","RB","HOU",6,14.9,1.65,0.314,12.7,17.5,8.65,8.36,9.25,15,18,9,10,"4",26,NA,NA,71,0
"DOnta Foreman","RB","CAR",13,14.6,0.94,0.0387,13.3,16,8.33,8.95,7.77,16,12,21,11,"4",30,NA,NA,18,5
"Kenneth Walker III","RB","SEA",11,14.5,1.2,0.0018,12.7,16,8.3,8.32,7.75,17,19,22,12,"4",25,NA,NA,34,0
"Leonard Fournette","RB","TB",11,14.5,1.4,1.09,13.1,16.7,8.29,8.76,8.48,18,17,17,13,"5",29,NA,NA,44,5
"A.J. Brown","WR","PHI",7,16,1.55,0.231,14.6,18.2,8.17,8.81,8.34,19,15,19,5,"2",28,NA,NA,39,3
"DeAndre Hopkins","WR","ARI",13,15.7,1.87,0.206,13.9,18.3,7.94,8.05,8.44,20,21,18,6,"2",33,NA,NA,63,9
"Davante Adams","WR","LVR",6,15.5,2.18,1.23,13.4,18.6,7.73,7.57,8.77,21,22,14,7,"3",33,NA,NA,79,8
"Miles Sanders","RB","PHI",7,13.4,0.841,0.546,12.6,14.3,7.2,8.22,6.06,22,20,31,14,"5",29,NA,NA,12,3
"Raheem Mostert","RB","MIA",11,12.9,1.88,1.76,10.9,16,6.65,6.51,7.84,23,25,20,15,"6",34,NA,NA,81,NA
"Tee Higgins","WR","CIN",10,14.3,1.75,0.217,12.6,16.5,6.5,6.76,6.7,24,24,25,8,"3",27,NA,NA,53,2
"Jaylen Waddle","WR","MIA",11,14.1,1.65,0.138,12.2,15.8,6.29,6.38,5.95,25,26,33,9,"3",27,NA,NA,47,1
"Josh Allen","QB","BUF",7,24.5,0.67,0.428,23.6,25.4,6.17,7.56,5.4,26,23,36,1,"1",29,NA,NA,3,4
"Mike Evans","WR","TB",11,13.9,1.97,0.169,11.7,16.6,6.15,5.9,6.79,27,28,24,10,"3",32,NA,NA,70,8
"Amon-Ra St. Brown","WR","DET",6,13.8,2.5,1.13,11.3,17.2,5.98,5.52,7.35,28,29,23,11,"4",26,NA,NA,87,1
"Patrick Mahomes","QB","KC",8,24.1,1.53,0.373,22,25.9,5.75,6,5.87,29,27,34,2,"1",30,NA,NA,65,5
"Jalen Hurts","QB","PHI",7,23.7,1.66,1.18,21.4,25.3,5.37,5.33,5.28,30,33,39,3,"2",27,NA,NA,71,2
"David Montgomery","RB","CHI",14,11.1,1.73,0.202,9.33,13.5,4.9,4.95,5.3,31,37,38,16,"6",28,NA,NA,72,3
"Tyler Lockett","WR","SEA",11,12.6,1.33,0.116,11.3,14.6,4.85,5.51,4.77,32,30,49,12,"4",33,NA,NA,30,7
"D.J. Moore","WR","CAR",13,12.5,1.87,0.0536,11.2,15.4,4.74,5.4,5.55,33,32,35,13,"4",29,NA,NA,64,4
"Cordarrelle Patterson","RB","ATL",14,10.9,2.59,0.081,7.48,14.8,4.7,3.1,6.64,34,54,26,17,"6",35,NA,NA,94,9
"Chris Olave","WR","NO",14,12.5,2.64,0.0771,9.15,16,4.68,3.34,6.16,35,53,29,14,"4",25,NA,NA,89,0
"Devin Singletary","RB","BUF",7,10.9,2.34,0.267,7.73,14.3,4.61,3.35,6.11,36,52,30,18,"6",28,NA,NA,85,3
"DK Metcalf","WR","SEA",11,12.4,2.21,0.0127,11,15.8,4.61,5.23,5.98,37,35,32,15,"4",28,NA,NA,83,3
"Tyler Boyd","WR","CIN",10,12.4,1.75,0.119,11.1,15.1,4.59,5.25,5.23,38,34,41,16,"4",31,NA,NA,54,6
"Chris Godwin","WR","TB",11,12.3,1.8,0.213,10.8,15,4.47,5,5.15,39,36,42,17,"4",30,NA,NA,57,5
"Deon Jackson","RB","IND",14,10.6,1.07,0.203,9.82,12.6,4.35,5.44,4.39,40,31,53,19,"6",27,NA,NA,25,1
"JuJu Smith-Schuster","WR","KC",8,12.1,3.05,0.114,8.82,16.4,4.26,3.02,6.62,41,55,27,18,"4",29,NA,NA,96,5
"Lamar Jackson","QB","BAL",10,22.5,1.56,1.31,20.5,24.3,4.19,4.45,4.3,42,40,55,4,"3",29,NA,NA,68,4
"D'Andre Swift","RB","DET",6,10.4,1.82,0.131,8.13,12.6,4.15,3.75,4.38,44,44,54,20,"7",27,NA,NA,76,2
"Christian Kirk","WR","JAC",11,11.9,1.82,0.00935,10.6,14.8,4.15,4.82,4.93,43,38,47,19,"4",29,NA,NA,59,4
"Terry McLaurin","WR","WAS",14,11.9,2.69,0.0538,9.59,16,4.14,3.78,6.17,45,43,28,20,"5",30,NA,NA,91,3
"Gabriel Davis","WR","BUF",7,11.9,2.35,0.105,9.53,14.9,4.08,3.73,5.09,46,45,44,21,"5",27,NA,NA,86,2
"Jamaal Williams","RB","DET",6,10.3,2.36,0.734,6.75,12.8,4.01,2.37,4.59,47,60,52,21,"7",NA,NA,NA,87,5
"Gerald Everett","TE","LAC",8,10.5,1.9,0.416,7.83,13.1,4,2.35,5.24,48,61,40,2,"1",31,NA,NA,88,5
"Jakobi Meyers","WR","NE",10,11.8,2,0.054,10.3,14.8,3.98,4.47,5,49,39,46,22,"5",29,NA,NA,71,3
"DeVonta Smith","WR","PHI",7,11.7,2.13,0.256,9.78,14.9,3.92,3.97,5.04,50,42,45,23,"5",27,NA,NA,77,1
"Cole Holcomb","LB","WAS",14,10.3,NA,2.55,NA,NA,3.72,NA,NA,51,NA,NA,1,"1",29,NA,NA,NA,3
"Michael Pittman","WR","IND",14,11.5,2.1,0.743,9.47,14.5,3.67,3.66,4.68,52,46,51,24,"5",28,NA,NA,76,2
"Dallas Goedert","TE","PHI",7,10.1,0.722,0.535,9.06,11.1,3.58,3.58,3.15,53,47,60,3,"2",31,NA,NA,30,4
"Michael Carter","RB","NYJ",10,9.52,1.56,0.457,7.87,11.3,3.28,3.49,3.14,54,48,61,22,"8",27,NA,NA,65,1
